beck_dmm_id,beck_greek_lemma,beck_latin_lemma,beck_degree,berendes_teitok_ids,berendes_chapter_keys,berendes_terms,desmoulins_pages,laguna_pages,wechel_pages,mattioli_chapters
DMM1052,σουσίνου σκευασία,Preparation of unguent of lily,1,e-69,1.62,Die Bereitung des susischen Salböls,64,41,33,1.51
DMM1053,ναρκίσσινον,Preparation of unguent of narcissus,1,e-70,1.63,Die Bereitung des Narzissensalböls,64,42,35,1.52
DMM1054,κρόκινον,Preparation of unguent of saffron,1,e-71,1.64,Die Bereitung des Safransalböls,65,42,35,1.53
DMM1055,κυπρίνου στύψις καὶ σκευασία,Thickening and preparation of unguent of henna,1,e-72,1.65,Die Verdichtung und Bereitung des (Lawsonien-) Hennasalböls,65,43,36,1.54
DMM1056,ἰρίνου στύψις,Thickening of unguent of iris,1,e-73,1.66,Die Verdichtung des Schwertlilienöls,65,43,37,1.55
DMM1057,γλεύκινον,Unguent of new sweet wine,1,e-74,1.67,Die Bereitung des Mostöls,65,44,38,1.56
DMM1058,ἀμαράκινον,Unguent of marjoram,1,e-75,1.68,Amarakinon (Majoransalböl),66,44,38,1.57
DMM1059,μετώπιον,Metopion,1,e-78,1.71,Metopion,66,45,39,1.60
DMM1060,στακτή,Stacte,1,e-80,1.73,Stakte,66,45,40,1.62
DMM1061,κιναμώμινον,Unguent of cinnamon,1,e-81,1.74,Zimmtsalböl,67,46,40,1.63
DMM1062,νάρδινον μύρον,Unguent of spikenard,1,e-82,1.75,Nardensalböl,67,46,41,1.64
DMM1063,μαλαβάθρινον,Unguent of the leaf of malabar,1,e-83,1.76.5,Jasminöl,67,46,,
DMM1064,σμύρνα,Myrrh,1,e-84,1.77,Myrrhe,68,47,41,1.67
DMM1065,Βοιωτικὴ σμύρνα,Boiotian myrrh,1,e-85,1.78,Böotische Myrrhe,68,,43,
DMM1066,στύραξ,Storax,1,e-86,1.79,Styrax,70,48,43,1.68
DMM1067,βδέλλιον,Bdellium,1,e-87,1.80,Bdellion,71,49,44,1.69
DMM1068,λίβανος,Frankincense,1,e-88,1.81,Weihrauch,73,49,45,1.70
DMM1069,πίτυς,Pitys pine,1,e-93,1.86,Pinie,77,,47,1.74
DMM1070,σχῖνος,Mastic,1,e-96,1.89,Schinos,84,54,49,1.75
DMM1071,τέρμινθος,Terebinth,1,e-98,1.91,Terebinthe,86,56,50,1.76
DMM1072,πίσσα,Pitch,1,e-101,1.94,Flüssiges Pech,88,57,52,1.78
DMM1073,ἀσφαλτος,Asphalt,1,e-106,1.99,Asphalt,89,61,53,1.83
DMM1074,κυπάρισσος,Cypress,1,e-109,1.102,Cypresse,92,61,54,1.86
DMM1075,ἄρκευθος,Juniper,1,e-110,1.103,Wachholder,93,62,55,1.87
DMM1076,βράθυ,Savin,1,e-111,1.104,Sadebaum,94,62,55,1.88
DMM1077,κέδρος,Cedar,1,e-112,1.105,Ceder,96,63,56,1.89
DMM1078,δάφνη,Sweet bay,1,e-113,1.106,Lorbeer,99,64,57,1.90
DMM1079,πλάτανος,Plane,1,e-114,1.107,Platane,100,65,58,1.91
DMM1080,μελία,Manna ash,1,e-115,1.108,Manna-Esche,101,66,58,1.92
DMM1081,λεύκη,White poplar,1,e-116,1.109,Weisspappel,102,67,58,1.93
DMM1082,μάκιρ,Mace,1,e-118,1.111,Makir,106,69,58,1.94
DMM1083,αἴγειρος,Black poplar,1,e-117,1.110,Schwarzpappel,102,67,59,
DMM1084,πτελέα,Elm,1,e-119,1.112,Ulme,107,69,59,1.95
DMM1085,κάλαμος,Reed,1,e-121,1.114,Rohr,109,70,59,1.97
DMM1086,πάπυρος,Papyrus,1,e-122,1.115,Papyrus,110,71,60,1.98
DMM1087,μυρίκη,Tamarisk,1,e-123,1.116,Tamariske,110,71,60,1.99
DMM1088,ἐρείκη,Tree heath,1,e-124,1.117,Heide,111,72,61,1.100
DMM1089,ἀκακαλλίς,Acacallis,1,e-125,1.118,Akakalis,112,73,61,1.101
DMM1090,ῥάμνος,Boxthorn,1,e-126,1.119,Wegdorn,113,72,61,1.102
DMM1091,ἅλιμον,Tree purslane,1,e-127,1.120,Melde,114,73,62,1.103
DMM1092,παλίουρος,Christ’s-thorn,1,e-128,1.121,Paliuros,115,74,62,1.104
DMM1093,ὀξυάκανθα,Fiery thorn,1,e-129,1.122,Oxyankantha,116,75,62,1.105
DMM1094,κυνόσβατος,White rose,1,e-130,1.123,Kynosbatos,120,76,63,1.106
DMM1095,κύπρος,Henna,1,e-131,1.124,Lawsonia,120,77,63,1.107
DMM1096,φιλύρα,Lime tree,1,e-132,1.125,Phillyrea,122,77,63,1.108
DMM1097,κισθός,Rock rose,1,e-133,1.126,Kistos,123,78,64,1.109
DMM1098,ἔβενος,Ebony,1,e-136,1.129,Ebenholz,126,81,65,1.111
DMM1099,ῥόδα,Roses,1,e-137,1.130,Rosen,129,83,66,1.112
DMM1100,λύκιον,Dyer’s buckthorn,1,e-139,1.132,Lykion,131,85,67,1.114
DMM1102,ἀμόργη,Amorge,1,,,,,,,
DMM1103,ἄγνος ἢ λύγος,Chaste tree,1,e-141,1.134,Keuschlammstrauch,135,88,70,1.116
DMM1104,ἰτέα,Willow,1,e-142,1.135,Weide,137,89,70,1.117
