beck_dmm_id,beck_greek_lemma,beck_latin_lemma,beck_degree,berendes_teitok_ids,berendes_chapter_keys,berendes_terms,desmoulins_pages,laguna_pages,wechel_pages,mattioli_chapters
DMM2143,τραγοπώγων,Salsify,1,e-367,2.172,Bocksbart,325,226,147,2.137
DMM2144,ὄρνιθος γάλα,Starflower,1,e-368,2.173,Vogelmilch,327,226,147,2.138
DMM2145,ὕδνον,Truffle,1,e-369,2.174,Tr?ffel,328,227,148,2.139
DMM2146,σμῖλαξ κηπαία,Cowpea,1,e-370,2.175,Vietsbohne,328,227,148,2.140
DMM2147,Μηδική,Alfalfa,1,e-371,2.176,Luzerne,329,228,148,2.141
DMM2148,ἀφάκη,Tare,1,e-372,2.177,Vogelwicke,330,229,148,2.142
DMM2149,πράσον κεφαλωτόν,Leek,1,e-373,2.178,Lauch,330,229,149,2.143
DMM2150,ἀμπελόπρασον,Wild leek,1,e-374,2.179,Weinlauch,332,230,149,2.144
DMM2151,κρόμυον,Onion,1,e-375,2.180,Zwiebeln,332,230,149,2.145
DMM2152,σκόρδον,Garlic,1,e-376,2.181,Knoblauch,334,231,150,2.146
DMM2153,σκορδόπρασον,Garlic leek,1,e-377,2.182,Skorodoprason,335,233,151,2.147
DMM2154,σίνηπι ἢ νᾶπι,Mustard,1,e-378,2.183,Senf,336,233,151,2.148
DMM2155,καρδάμον,Garden cress,1,e-379,2.184,Kardamon,337,234,152,2.149
DMM2156,θλάσπι,Shepherd’s-purse,1,e-380,2.185,Hirtent?schlein,337,235,152,2.150
DMM2157,δράβη,Arabian mustard,1,e-381,2.186,T?rkische Kresse,339,,153,2.151
DMM2158,ἐρύσιμον,Hedge mustard,1,e-382,2.187,Vielschotige Rauke,340,236,153,2.152
DMM2159,πέπερι,Pepper,1,e-383,2.188,Pfeffer,341,237,154,2.153
DMM2160,ζιγγίβερι,Ginger,1,e-384,2.189,Ingwer,344,238,155,2.154
DMM2161,ὑδροπέπερι,Smartweed,1,e-385,2.190,Wasserpfeffer,345,239,155,2.155
DMM2162,πταρμική,Sneezewort,1,e-386,2.191,Niesgarbe,346,239,155,2.156
DMM2163,στρούθιον,Soapwort,1,e-387,2.192,Seifenkraut,347,240,156,2.157
DMM2164,κυκλάμινος,Cyclamen,1,e-388,2.193,Erdscheibe,347,240,156,2.158
DMM2165,κυκλάμινος ἑτέρα,Another cyclamen,1,e-389,2.194,Der andere Kyklaminos,348,241,157,2.159
DMM2166,δρακόντιον,Dragon arum,1,e-390,2.195,Grosse Drachenwurz,349,242,158,2.160
DMM2167,ἄρον,Cuckoopint,1,e-392,2.197,Aron,351,243,159,2.162
DMM2168,ἀρίσαρον,Hooded arum,1,e-393,2.198,Arisaron,353,244,159,2.163
DMM2169,ἀσφόδελος,Asphodel,1,e-394,2.199,Asphodelos,354,244,159,2.164
DMM2170,βολβὸς ἐδώδιμος,Purse tassels,1,e-395,2.200,Speisezwiebel,354,246,160,2.165
DMM2171,σκίλλα,Squill or Scilla,1,e-397,2.202,Meerzwiebel,355,247,161,2.167
DMM2172,παγκράτιον,Sea daffodil,1,e-398,2.203,Gilge,356,247,162,2.168
DMM2173,κάππαρις,Caper,1,e-399,2.204,Kapper,356,248,162,2.169
DMM2174,λεπίδιον,Pepperwort,1,e-400,2.205,Gartenkresse,358,250,163,2.170
DMM2175,βατράχιον,sp. Ranunculus,1,e-402,2.206,Batrachion,358,250,163,2.171
DMM2176,ἀνεμώνη,Poppy anemone,1,e-403,2.207,Anemone,360,252,164,2.172
DMM2177,ἀργεμώνη,Wind-rose,1,e-404,2.208,Argemone,362,253,165,2.173
DMM2178,ἀναγαλλίς,Pimpernel,1,e-405,2.209,Gauchheil,362,253,165,2.174
DMM2179,κισσός,Ivy,1,e-406,2.210,Epheu,364,255,166,2.175
DMM2180,χελιδόνιον μέγα,Celandine,1,e-407,2.211,Grosses Chedonion,365,256,167,2.176
DMM2181,χελιδόνιον τὸ μικρόν,Pilewort,1,e-408,2.212,Kleines Chelidonion,367,257,167,2.177
DMM2182,ὀθόννα,Othonna,1,e-409,2.213,Othonna,367,257,168,2.178
DMM2183,μυὸς ὦτα,Madwort,1,e-410,2.214,Mauseohr,368,258,168,2.179
DMM2184,ἰσάτις,Woad,1,e-XXX,2.215,Waid,,,,
DMM2185,ἰσάτις ἄγρια,Wild woad,1,e-411,2.216,Wilder Waid,369,259,169,
DMM2186,τηλεφώνιον,Telephonion,1,e-412,2.217,Wachsblume,370,260,169,2.181
DMM3001,ἀγαρικόν,Agaric,1,e-414,3.1,L?rchenschwamm,371,261,170,3.1
DMM3002,ῥᾶ,Rhubarb,1,e-415,3.2,Rhapontik,372,262,171,3.2
DMM3003,γεντιανή,Gentian,1,e-416,3.3,Enzian,376,264,172,3.3
DMM3004,ἀριστολόχεια,Birthwort,1,e-417,3.4,Osterluzei,377,265,173,3.4
DMM3005,γλυκύρριζα,Licorice,1,e-418,3.5,S?ssholz,380,266,174,3.5
DMM3006,κενταύριον τὸ μέγα,Centaury,1,e-419,3.6,Grosses Kentaurion,381,268,174,3.6
DMM3007,κενταύρειον τὸ λεπτόν ἢ μικρόν,Feverfew,1,e-420,3.7,Kleines Kentaurion,382,268,175,3.7
DMM3008,χαμαιλέων λευκός,Pine thistle,1,e-421,3.8,Weisses Chamaileon,383,269,176,3.8
DMM3009,[χαμαιλέων] ὁ μέλας,Chameleon thistle,1,e-422,3.9,Schwarzes Chamaileon,383,270,177,3.9
DMM3010,κροκοδείλεον,Sea holly,1,e-423,3.10,Krokodeilion,385,271,177,3.10
DMM3011,δίψακος,Teasle,1,e-424,3.11,Karde,385,272,177,3.11
DMM3012,ἄκανθα λευκή,Fish thistle,1,e-425,3.12,Weisse Akantha,386,272,178,3.12
DMM3013,ἄκανθα Ἀραβική,Smaller milk thistle,1,e-426,3.13,Arabische Akantha,388,273,178,3.13
DMM3014,σκόλυμος,Golden thistle,1,e-427,3.14,Golddistel,388,273,179,3.14
DMM3015,ποτίρριον,Goat’s thorn,1,e-428,3.15,Poterion,389,275,179,3.15
DMM3016,ἀκάνθιον,Cotton thistle,1,e-429,3.16,Eselsdistel,390,275,179,3.16
DMM3017,ἄκανθος,Bear’s-foot,1,e-430,3.17,Akantha,390,276,179,3.17
DMM3018,ἀνωνίς,Rest harrow,1,e-431,3.18,Hauhechel,391,276,180,3.18
DMM3019,λευκάκανθα,Tuberous thistle,1,e-432,3.19,Leukakantha,392,277,180,3.19
DMM3020,τραγακάνθα,Tragacanth,1,e-433,3.20,Tragakantha,393,278,180,3.20
DMM3021,ἠρύγγη,Eryngo,1,e-434,3.21,Mannstreu,394,278,181,3.21
DMM3022,ἀλόη,Aloe,1,e-435,3.22,Alo?,395,279,181,3.22
DMM3023,ἀψίνθιον,Wormwood,1,e-436,3.23,Wermuth,397,280,183,3.23
DMM3024,ἀβρότονον,Wormwood,1,e-439,3.26,Abrotonon,399,282,184,3.25
DMM3025,ὕσσωπος,Hyssop,1,e-440,3.27,Hyssopos,401,283,185,3.26
DMM3026,στοιχάς,French lavender,1,e-441,3.28,Stoichas,402,284,186,3.27
DMM3027,ὀρίγανος Ἡρακλεωτική,Oregano,1,e-442,3.29,Dosten,403,,186,3.28
DMM3028,ὀνῖτις,Oregano onitis,1,e-443,3.30,Onetis,403,,186,
DMM3029,ἀγριορίγανος,Marjoram,1,e-444,3.31,Wilder Dosten,403,285,186,
DMM3030,τραγορίγανος,Goat’s marjoram,1,e-445,3.32,Tragoriganon,403,286,187,3.29
DMM3031,γλήχων,Pennyroyal,1,e-446,3.33,Polei,405,287,187,3.30
DMM3032,δίκταμνον,Dittany of Crete,1,e-447,3.34,Diptam,406,287,188,3.31
DMM3033,ἐλελίσφακον,Sage,1,e-448,3.35,Salbei,407,289,189,3.34
DMM3034,ἡδύοσμον,Green mint,1,e-449,3.36,Gebaute Minze,409,290,190,3.35
DMM3035,καλαμίνθη,Catmint,1,e-450,3.37,Kalamintha,411,291,190,3.36
DMM3036,θύμος,Cretan thyme,1,e-451,3.38,Saturei,413,292,190,3.37
DMM3037,θύμβρα,Savory,1,e-452,3.39,Thymbra,413,293,191,3.38
DMM3038,ἕρπυλος,Tufted thyme,1,e-453,3.40,Quendel,414,294,191,3.39
DMM3039,σάμψουχον,Marjoram,1,e-454,3.41a,Majoran,416,295,192,3.40
DMM3040,μελίλωτος,King’s clover,1,e-455,3.41b,Steinklee,417,295,192,3.41
DMM3041,σισύβριον,Bergamot,1,,,,,,,
DMM3042,μᾶρον ἢ ὑσόβρυον,Maron or Hysobryon,1,e-456,3.42,Maron,417,296,193,3.42
DMM3043,ἄκινος ἢ ἄκονος,Wild basil,1,e-457,3.43,Akinos,418,296,193,3.43
DMM3044,βάκχαρις,Sowbread,1,e-458,3.44,Bakcharis,418,297,193,3.44
DMM3045,πήγανον,Rue,1,e-459,3.45,Raute,420,298,193,3.45
DMM3046,πήγανον ἄγριον,Wild rue,1,e-460,3.46,Wilde Raute,421,299,195,3.46
DMM3047,μῶλυ,Garlic,1,e-461,3.47,Moly,423,300,196,3.47
DMM3048,πάνακες Ἡράκλειον,Hercules’ woundwort,1,e-462,3.48,Panakes,424,300,196,3.48
DMM3049,πάνακες Ἀσκληπίειον,Aesculapius’ allheal,1,e-463,3.49,Asklepisches Panakes,424,301,197,3.49
DMM3050,πάνακες Χειρώνιον,Panaces olympicum Chiron’s allheal,1,e-464,3.50,Cheironisches Panakes,424,301,197,3.50
DMM3051,λιγυστικόν,Lovage,1,e-465,3.51,Ligustikon,425,302,198,3.51
DMM3052,σταφυλῖνος ἄγριος,Wild carrot,1,e-466,3.52,M?hre,426,302,198,3.52
DMM3053,σέσελι,Massilian hartwort,1,e-467,3.53,Massiliensisches Seseli,428,304,199,3.53
DMM3054,τόρδιλον,Cretan hartwort,1,e-468,3.54,Aethiopisches Seseli,428,304,199,
DMM3055,σίνων,Stone parsley,1,e-469,3.55,Peleponnesisches Seseli,428,305,199,
DMM3056,ἄνησσον,Anise,1,e-470,3.56,Tordylion,428,305,200,3.54
DMM3057,καρώ,Caraway,1,e-473,3.59,K?mmel,430,306,200,3.57
DMM3058,ἄνηθον,Dill,1,e-474,3.60,Dill,430,307,201,3.58
DMM3059,κύμινον ἥμερον,Cultivated cumin,1,e-475,3.61,Mutterk?mmel,431,307,201,3.59
DMM3060,κύμινον ἄγριον,Wild cumin,1,e-476,3.62,Wilder Mutterk?mmel,431,308,201,3.60
DMM3061,ἕτερον γένος ἀγρίου κυμίνου,Another kind of wild cumin,1,,,,,,,
DMM3062,ἄμι,Ajowan,1,e-477,3.63,Ammi,432,309,202,3.61
DMM3063,κόριον,Coriander,1,e-478,3.64,Koriander,433,309,202,3.62
DMM3064,σέλινον κηπαῖον,Garden celery,1,e-481,3.67,Gartensellerie,436,311,203,3.64
DMM3065,ὀρεοσέλινον,Mountain parsley,1,e-483,3.69,Oreoselinon,436,311,203,
DMM3066,πετροσέλινον,Parsley,1,e-484,3.71,Petroselinon,436,312,,
DMM3067,ἱπποσέλινον,Alexanders,1,e-485,3.71,Hipposelinon,436,312,,
DMM3068,σμύρνιον,Cretan alexanders,1,e-486,3.72,Smyrnion,438,313,204,3.65
DMM3069,ἐλαφοβόσκον,Parsnip,1,e-487,3.73,Pastinak,440,315,205,3.66
DMM3070,μάραθον,Fennel,1,e-488,3.74,Fenchel,441,316,205,3.67
DMM3071,ἱππομάραθον,Horse fennel,1,e-489,3.75,Hippomarathron,441,,206,3.68
DMM3072,δαῦκος,Daucos,1,e-490,3.76,Daukos,441,317,206,3.69
DMM3073,πύρεθρος,Pellitory,1,e-492,3.78,Bertramwurz,445,319,207,3.71
DMM3074,λιβανωτίς,Rosemary frankincense,1,e-493,3.79,Libanotis,446,320; 321,208; 209,3.72; 3.73
DMM3075,λιβανωτίς,Rosemary,1,,,,,,,
DMM3076,σφονδύλιον,Cow-parsnip,1,e-494,3.80,B?renklau,446,321,209,3.74
DMM3077,νάρθηξ,Giant fennel,1,e-495,3.81,Steckenkraut,447,322,210,3.75
DMM3078,πευκέδανον,Sulphurwort,1,e-496,3.82,Haarstrang,448,323,210,3.76
DMM3079,μελάνθιον,Black cumin,1,e-497,3.83,Schwarzk?mmel,449,324,211,3.77
DMM3080,σίλφιον,Laserwort,1,e-498,3.84,Silphion,450,325,212,3.78
DMM3081,σαγάπηνον,Sagapenon,1,e-499,3.85,Sagapenon,451,327,214,3.79
DMM3082,εὐφόρβιον,Spurge,1,e-500,3.86,Euphorbion,453,327,214,3.80
DMM3083,χαλβάνη,Galbanum,1,e-501,3.87,Galbanum,454,328,215,3.81
DMM3084,ἀμμωνιακόν,Gum ammoniac,1,e-502,3.88,Ammoniakum,455,329,216,3.82
DMM3085,σαρκοκόλλα,Sarcocolla,1,e-503,3.89,Sarkokolla,455,329,217,3.83
DMM3086,γλαύκιον,Glaucion,1,e-504,3.90,Glaukion,456,329,217,3.84
DMM3087,κόλλα,Glue,1,e-505,3.91,Leim,456,330,217,3.85
DMM3088,ἰχθυκόλλα,Fish glue,1,e-506,3.92,Ichthyokolla,456,330,217,3.86
DMM3089,ἰξός,Oak-mistletoe,1,e-507,3.93,Ixos,457,330,217,3.87
DMM3090,ἀπαρίνη,Cleavers,1,e-508,3.94,Wandlabkraut,457,331,218,3.88
DMM3091,ἄλυσσον,Madwort,1,e-509,3.95,Alysson,458,332,218,3.89
DMM3092,ἀσκληπιάς,Swallowwort,1,e-510,3.96,Asklepias,458,332,219,3.90
DMM3093,ἀτρακτυλίς,Spindle thistle,1,e-511,3.97,Atraktylis,459,333,219,3.91
DMM3094,πολύκνημον,Field basil,1,e-512,3.98,Polyknemon,460,334,219,3.92
DMM3095,κλινοπόδιον,Horse thyme,1,e-513,3.99,Wirbeldosten,462,334,219,3.93
DMM3096,λεοντοπέταλον,Leontopetalon,1,e-514,3.100,Leontopetalon,462,334,220,3.94
DMM3097,Τεύκριον,Tree germander,1,e-515,3.101,Gamander (Teukrion),463,335,220,3.95
DMM3098,χαμαίρωψ,Wall germander,1,e-516,3.102,Chamaidrys,463,335,220,3.96
DMM3099,λευκάς,Dead nettle,1,e-517,3.103,Leukas,464,336,221,3.97
DMM3100,λυχνὶς στεφανωματική,Rose campion,1,e-518,3.104,Kranznelke,465,336,221,3.98
DMM3101,λυχνὶς ἀγρία,Corn cockle,1,e-519,3.105,Wilde Nelke,465,336,221,
DMM3102,κρίνον,Lily,1,e-520,3.106,Lilie,466,337,221,3.99
DMM3103,βαλλωτή,Black horehound,1,e-521,3.107,Ballote,467,337,222,3.100
DMM3104,μελισσόφυλλον,Balm,1,e-522,3.108,Melisse,468,338,222,3.101
DMM3105,πράσιον,Horehound,1,e-523,3.109,Prasion,469,339,223,3.102
DMM3106,στάχυς,Base horehound,1,e-524,3.110,Ziest,470,339,223,3.103
DMM3107,φυλλῖτις,Hart’s tongue,1,e-525,3.111,Hirschzunge (111),471,340,224,3.104
DMM3108,φαλλάγγιον,Spiderwort,1,e-526,3.112,Phalangion,471,341,224,3.105
DMM3109,τρίφυλλον,Treacle clover,1,e-527,3.113,Asphaltklee,472,341,224,3.106
DMM3110,πόλιον,Hulwort,1,e-528,3.114,Gamander (Polion),474,343,225,3.107
DMM3111,σκόρδιον,Garlic germander,1,e-529,3.115,Knoblauch-Gamander,475,343,225,3.108
DMM3112,βήχιον,Colt’s foot,1,e-530,3.116,Huflattich,476,344,226,3.109
DMM3113,ἀρτεμισία,Wormwood,1,e-531,3.117,Beifuss,478,345,226,3.110
DMM3114,ἀμβροσία,Ambrose,1,e-533,3.119,Ambrosia,480,346,227,3.112
DMM3115,βότρυς,Oak of Jerusalem,1,e-534,3.120,Traubenkraut,481,347,227,3.113
DMM3116,γεράνιον,Cranesbill,1,e-535,3.121,Storchschnabel,481,347,228,3.114
DMM3117,γναφάλλιον,Cottonweed,1,e-536,3.122,Gnaphalion,484,348,228,3.115
DMM3118,τύφη,Reed mace,1,e-537,3.123,Rohkolben,485,348,228,3.116
DMM3119,κιρκαία,Black swallow- wort,1,e-538,3.124,Kirkaia,485,349,228,3.117
DMM3120,οἰνάνθη,Dropwort,1,e-539,3.125,Oinanthe,486,349,229,3.118
DMM3121,κόνυζα,Fleabane,1,e-540,3.126,Konyza,487,350,229,3.119
DMM3122,ἡμεροκαλλές,Martagon lily,1,e-541,3.127,Hemerokallis,488,351,229,3.120
DMM3123,λευκόϊον,Gillyflower,1,e-542,3.128,Goldlack,489,352,230,3.121
DMM3124,κραταιόγονον,Willow weed,1,e-543,3.129,Krataiogonon,490,353,230,3.122
DMM3125,φύλλον,Dog mercury,1,e-544,3.130,Phyllon,491,353,230,3.123
DMM3126,ὄρχις,Orchid,1,e-545,3.131,Knabenkraut,491,353,231,3.124
DMM3127,ὄρχις ἕτερος,Another orchid,1,e-546,3.132,Anderes Knabenkraut,491,354,231,3.125
DMM3128,σατύριον,Man orchis,1,e-547,3.133,Satyrion,491,354,232,3.126
DMM3129,ὅρμινον,Clary,1,e-549,3.135,Kleiner Salbei,494,356,232,3.128
DMM3130,ἡδύσαρον,Axweed,1,e-550,3.136,Hedysaron,495,356,232,3.129
DMM3131,ὄνοσμα,Stone bugloss,1,e-551,3.137,Onosma,496,357,233,3.130
DMM3132,νυμφαία,White water lily,1,e-552,3.138,Weisse Seerose,497,357,233,3.131
DMM3133,ἀνδρόσακες,Sea navel,1,e-554,3.140,Androsakes,498,358,234,3.133
DMM3134,ἄσπληνος,Miltwaste,1,e-555,3.141,Milzfarn,499,358,234,3.134
DMM3135,ἡμιονῖτις,Mule fern,1,e-556,3.142,Hirschzunge (142),500,359,234,3.135
DMM3136,ἀνθυλλίς,Anthyllis,1,e-557,3.143,Anthyllis,501,360,235,3.136
DMM3137,ἀνθεμίς,Camomile,1,e-558,3.144,Kamille,502,360,235,3.137
DMM3138,παρθένιον,Feverfew,1,e-559,3.145,Parthenion,503,362,236,3.138
DMM3139,βούφθαλμον,Oxeye,1,e-560,3.146,Wucherblume,504,363,236,3.139
DMM3140,γλυκισίδη,Peony,1,e-561,3.147,Gichtrose,506,364,237,3.140
DMM3141,λιθόσπερμον,Groomwell,1,e-562,3.148,Steinsamen,507,365,237,3.141
DMM3142,φαληρίς,Canary grass,1,e-563,3.149,Glanzgras,508,366,238,3.142
DMM3143,ἐρυθρόδανον ἢ ἐρευθέδανον,Madder,1,e-564,3.150,Krapp,508,366,238,3.143
DMM3144,λογχῖτις,Lonchitis,1,e-565,3.151,Zungensumpfwurz,509,367,239,3.144
DMM3145,λογχῖτις ἕτερα,Holy fern,1,e-566,3.152,Andere Zungensumpfwurz,509,367,239,3.145
DMM3146,ἀλθαία,Marsh mallow,1,e-567,3.153,Eibisch,510,367,239,3.146
DMM3147,ἀλκαία,Vervain mallow,1,e-568,3.154,Malope,511,368,240,3.147
DMM3148,κάνναβις,Hemp,1,e-569,3.155,Gebauter Hanf,512,369,240,3.148
DMM3149,ἀγρία κάνναβις,Hemp mallow,1,e-570,3.156,Wilder Hanf,512,369,240,
DMM3150,ἀνάγυρος,Stinking bean trefoil,1,e-571,3.157,Stinkstrauch,513,369,241,3.149
DMM3151,κηπαία,Cepaia,1,e-572,3.158,Zwiebelpfeffer,514,370,241,3.150
DMM3152,ἄλισμα,Water plantain,1,e-573,3.159,Froschl?ffel,514,370,241,3.151
DMM3153,ὀνοβρυχίς,Cock’s head,1,e-574,3.160,Esparset,515,371,242,3.152
DMM3154,ὑπερικόν,St. John’s wort,1,e-575,3.161,Hartheu,515,371,242,3.153
DMM3156,ἀνδρόσαιμον,St. John’s wort,1,e-577,3.163,Androsaimon,515,372,242,3.155
DMM3157,κόρις,St. John’s wort,1,e-578,3.164,Koris,515,372,243,3.156
DMM3158,χαμαίπιτυς,Ground pine,1,e-579,3.165,Chamaipitys,517,373,243,3.157
DMM4001,κέστρον,Betony,1,e-580,3.166,Andere Chamaipitys,517,374,244,
DMM4002,βρεττανική,Water dock,1,e-582,4.1,Kestron,519,375,245,4.1
DMM4003,λυσιμάχειος,Loosestrife,1,e-583,4.2,Bretannika,520,376,246,4.2
DMM4004,πολύγονον ἄρρεν,Knotgrass,1,e-584,4.3,Lysimachion,522,377,246,4.3
DMM4005,πολύγονον θῆλυ,Mare’s tail,1,e-585,4.4,M?nnliches Polygonon,523,378,247,4.4
DMM4006,πολυγόνατον,P. officinale,1,e-586,4.5,Weibliches Polygonon,523,379,247,4.5
DMM4007,κληματίς,Periwinkle,1,e-587,4.7,Immergr?n,525,379; 380,248,4.6; 4.7
DMM4008,πολεμώνιον,Jacob’s ladder,1,e-588,4.8,Polemonion,525,381,248,4.8
DMM4009,σύμφυτον πετραῖον,Low pine,1,e-589,4.9,Felsensymphyton,526,381,248,4.9
DMM4010,σύμφυτον ἄλλο,Comfrey,1,e-590,4.10,Anderes Symphyton,527,382,249,
DMM4011,ὁλόστεον,Allbone,1,e-591,4.11,Holosteon,530,383,249,4.10
DMM4012,στοιβή,Thorny burnet,1,e-592,4.12,Becherblume,531,383,249,4.11
DMM4013,κλύμενον,Bearbind,1,e-593,4.13,Klymenon,532,384,250,4.12
DMM4014,περικλύμενον,Honeysuckle,1,e-594,4.14,Periklymenon,532,384,250,4.13
DMM4015,τρίβολος χερσαῖος,Caltrops,1,e-595,4.15,Tribolos,533,385,250,4.14
DMM4016,λειμώνιον,Sea lavender,1,e-597,4.16,Limoneion,536,386,251,4.16
DMM4017,λαγώπουν,Hare’s foot trefoil,1,e-598,4.17,Hasenklee,537,387,251,4.17
DMM4018,μήδιον,Medion,1,e-599,4.18,Medion,539,387,251,4.18
DMM4019,ἐπιμήδιον,Epimedion,1,e-600,4.19,Epimedion,539,387,252,4.19
DMM4020,ξίφιον,Corn flag,1,e-601,4.20,Siegwurz,540,388,252,4.20
DMM4021,σπαργάνιον,Bur reed,1,e-602,4.21,Sparganion,540,388,252,4.21
DMM4022,ξυρίς,Gladwyn,1,e-603,4.22,Xyris,541,389,253,4.22
DMM4023,ἄγχουσα,Alkanet,1,e-604,4.23,Ochsenzunge,541,389,253,4.23
DMM4024,ἄγχουσα ἑτέρα,Another alkanet,1,e-605,4.24,Andere Anchusa,541,390,253,
DMM4025,ἄγχουσα ἄλλη,Another alkanet,1,e-606,4.25,Weitere Anchusa,541,390,254,
DMM4026,λυκαψός,Viper’s herb,1,e-607,4.26,Natternkopf,542,391,254,4.24
DMM4027,ἕχιον,Echion,1,e-608,4.27,Echion,543,392,254,4.25
DMM4028,ὠκιμοειδές,Catchfly,1,e-609,4.28,Okimoeides,543,392,255,4.26
DMM4029,ἄγρωστις,Dogs-tooth grass,1,e-611,4.30,Agrostis,544,393,255,4.28
DMM4030,καλαμάγρωστις,Calamagrostis,1,e-612,4.31,Kalamagrostis,544,394,255,
DMM4031,ἡ δέ ἐν τῷ Παρνασσῷ ἄγρωστις,Grass of Parnassus,1,e-613,4.32,Agrostis aus Parnass,544,394,255,
DMM4032,ἡ δέ ἐν Κιλικίᾳ γεννωμένη [ἄγρωστις],Wall barley,1,,,,,,,
DMM4033,σιδηρῖτις,Iron wo rt,1,e-614,4.33,Sideritis,546,395,256,4.29
DMM4034,ἄλλη σιδηρῖτις,Burnet,1,e-615,4.34,Andere Sideritis,546,395,256,4.30
DMM4035,σιδηρῖτις ἑτέρα,Figwort,1,e-616,4.35,Weitere Sideritis,546,395,256,4.31
DMM4036,Ἀχίλλειος,Achilles woundwort,1,e-617,4.36,Garbe,548,396,257,4.32
DMM4037,βάτος,Bramble,1,e-618,4.37,Brombeer,549,397,257,4.33
DMM4038,βάτος Ἰδαία,Raspberry,1,e-619,4.38,Himbeer,549,397,257,4.34
DMM4039,ἑλξίνη,Bindweed,1,e-620,4.39,Ackerwinde,550,398,258,4.35
DMM4040,ἐλατίνη,Cankerwort,1,e-621,4.40,Elatine,550,398,258,4.36
DMM4041,Εὐπατόριος,Agrimony,1,e-622,4.41,Odermenning,551,399,258,4.37
DMM4042,πεντέφυλλον,Cinquefoil,1,e-623,4.42,G?nsefuss,553,400,258,4.38
DMM4043,φοῖνιξ,Rye grass,1,e-624,4.43,Phoinix,555,401,259,4.39
DMM4044,Ἰδαία ῥιζα,Idaia rhiza,1,e-625,4.44,Id?ische Wurzel,555,402,260,4.40
DMM4045,Ῥοδία ῥίζα,Shodia rhiza,1,e-626,4.45,Rhodiaswurzel,555,402,260,4.41
DMM4046,ἵππουρις,Horsetail,1,e-627,4.46,Hippuris,556,402,260,4.42
DMM4047,ἑτέρα ἵππουρις,Another horse tail,1,e-628,4.47,Andere Hippuris,556,403,260,
DMM4048,κόκκος βαφική,Kermes oak,1,e-629,4.48,F?rberkokkos,557,403,260,4.43
DMM4049,τράγιον,Stinking tutsan,1,e-630,4.49,Tragion,558,405,261,4.44
DMM4050,τράγιον ἄλλο,Pimpinell,1,e-631,4.50,Anderes Tragion,558,405,261,4.45
DMM4051,τράγος,Tragos,1,e-632,4.51,Tragos (Skorpion),560,405,261,4.46
DMM4052,σχοῖνος ἐλείας,Rush,1,e-633,4.52,Sumpfschoinos,560,406,262,4.47
DMM4053,λειχήν ὁ ἐπὶ τῶν πετρῶν,The lichen growing on stones,1,e-634,4.53,Flechte,561,407,262,4.48
DMM4054,παρωνυχία,Paronychia,1,e-635,4.54,Paronychia,562,407,262,4.49
DMM4055,χρυσοκόμη,Immortelle,1,e-636,4.55,Goldhaar,563,408,262,4.50
DMM4056,χρυσόγονον,Black turrnip,1,e-637,4.56,Chrysogonon,563,408,263,4.51
DMM4057,ἐλίχρυσον ἢ χρυσάνθεμον,Gold flower,1,e-638,4.57,Elichryson,563,408,263,4.52
DMM4058,ἀγήρατον,Pot marjoram,1,e-640,4.59,Ageraton,566,409,263,4.54
DMM4059,περιστέριον,Vervain,1,e-641,4.60,Taubenkraut,567,410,264,4.55
DMM4060,ἱερὰ βοτάνη,Holy vervain,1,e-642,4.61,Zur?ckgebogenes Peristereon,568,410,264,4.56
DMM4061,ἀστράγαλος,Milk vetch,1,e-643,4.62,Walderbse,569,411,265,4.57
DMM4062,ὑάκινθος,Wild hyacinth,1,e-644,4.63,Hyacinthe,569,411,265,4.58
DMM4063,μήκων ῥοιάς,Corn poppy,1,e-645,4.64,Mekon Rhoias,570,412,265,4.59
DMM4064,μήκων,Opium poppy,1,e-646,4.65,Gartenmohn,570,413,266,4.60
DMM4065,μήκων κερατῖτις,Horned poppy,1,e-647,4.66,Hornmohn,572,415,268,4.61
DMM4066,μήκων ἀφρώδης,Frothy poppy,1,e-648,4.67,Mekon aphrodes,572,416,268,4.62
DMM4067,ὑπήκοον,Horned cumin,1,e-649,4.68,Hypekoon,573,416,269,4.63
DMM4068,ὑοσκύαμος,Henbane,1,e-650,4.69,Bilsenkraut,573,416,269,4.64
DMM4069,ψύλλιον,Fleawort,1,e-651,4.70,Flohkraut,575,418,270,4.65
DMM4070,στρύχνον κηπαῖον,Hound’s berry,1,e-652,4.71,Strychnos,576,419,271,4.66
DMM4071,ἕτερον στρύχνον,Another hound’s,1,e-653,4.72,Strychnos Halikakabos,577,419,271,4.67
DMM4072,στρύχνον ὑπνωτικόν,Sleepy nightshade,1,e-654,4.73,Schlafstrychnos,577,420,271,4.68
DMM4073,στρύχνον μανικόν,Thorn apple,1,e-655,4.74,Strychnos manikos,577,420,272,4.69
DMM4074,δορύκνιον,Convulvulus oleaefolius Desr. Dorycnion,1,e-656,4.75,Doryknion,580,422,273,4.70
DMM4075,μανδραγόρας,Mandrake,1,e-657,4.76,Alraun,580,422,273,4.71
DMM4076,ἀκόνιτον,Leopard’s bane,1,e-658,4.77,Akoniton,582,425,275,4.72
DMM4077,ἀκόνιτον ἕτερον,Wolfsbane,1,e-659,4.78,Anderes Akoniton,582,425,275,4.73
DMM4078,κώνειον,Hemlock,1,e-660,4.79,Schierling,589,427,276,4.74
