beck_id beck_greek_name beck_english_name
DMM4124	ψευδοβούνιον	Cretan pimpinel
DMM4125	χαμαίκισσος	Ground ivy
DMM4126	χαμαιπεύκη	Fishbone thistle
DMM4127	βούγλωσσον	Bugloss
DMM4128	φύτευμα	Montpellier rocket
DMM4129	ὑπόγλωσσον	Horse tongue
DMM4130	ἀντίρρινον	Calf' s snout
DMM4131	κατανάγκη	Vetch
DMM4132	τριπόλιον	Sea starwort
DMM4133	κῆμος	Cemos
DMM4134	ἀδίαντον	Maidenhair
DMM4135	τριχομανές	Waterwort
DMM4136	ξάνθιον	Broad-leaved burweed
DMM4137	αἰγίλωψ	Haver grass
DMM4138	γλαύξ	Wart cress
DMM4139	πολύγαλον	Milkwort
DMM4140	ὄσιρις	Poet’s cassia
DMM4141	ἐχῖνος	Echinos
DMM4142	μῖλαξ τραχεῖα	Rough bindweed
DMM4143	μῖλαξ λεία	Great bindweed
DMM4144	μυρσίνη ἀγρία	Butcher’s broom
DMM4145	δάφνη Ἀλεξάνδρεια	Daphne
DMM4146	δαφνοειδές	Spurge laurel
DMM4147	χαμαιδάφνη	Chamaidaphne
DMM4148	ἐλλέβορος	White hellebore
DMM4149	σησαμοειδὲς τὸ μέγα	Bastard rocket
DMM4150	σίκυς ἄγριος	Squirting cu- cumber
DMM4151	ἡμέρου σικύου ἡ ῥιζα	Root of the cultivated cucumber
DMM4152	σταφὶς ἁγρία	Stavesacre
DMM4153	θαψία	Deadly carrot
DMM4154	σπάρτιον	Spanish broom
DMM4155	σίλλυβον	Milk thistle
DMM4156	βολβός ὁ ἐμετικός	Narcissus tazetta
DMM4157	βάλανος μυρεψική	Moringa sp. Ben
DMM4158	νάρκισσος	Narcissus
DMM4159	ἱπποφαές	Spurge
DMM4160	ἱππόφαιστον	Hippophaiston
DMM4161	κίκι	Castor oil tree
DMM4162	ἐλλέβορος ὁ μέλας	Black hellebore
DMM4163	σεσαμοειδὲς τὸ μικρόν	Purple rock
DMM4164	τιθύμαλλος	Euphorbia L. sp. Spurge
DMM4165	πιτυούσα	Quacksalver’s spurge
DMM4166	λαθυρίς	Caper spurge
DMM4167	πέπλος	Wartweed
DMM4168	πεπλίς	Wild purslane
DMM4169	χαμαισύκη	Thyme spurge
DMM4170	σκαμμωνία	Scam mony
DMM4171	χαμελαία	Spurge olive
DMM4172	θυμελαία ἢ χαμελαία	Spurge flax
DMM4173	ἀκτῆ	Elder
DMM4174	πυκνόκομον	Motherwort
DMM4175	ἄπιος	Tuberous spurge
DMM4176	κολόκυνθα ἀγρία	Colocynth
DMM4177	ἐπίθυμον	Epithymon
DMM4178	ἄλυπον	Herb terrible
DMM4179	ἔμπετρον	Sea heath
DMM4180	κληματίς	Traveler’s joy
DMM4181	ἄμπελος ἀγρία	Wild grapevine
DMM4182	ἄμπελος λευκή	Bryony
DMM4183	ἄμπελος μέλαινα	Black bryony
DMM4184	πετρίς	Male fern
DMM4185	θηλυπτερίς	Bracken
DMM4186	πολυπόδιον	Polypody
DMM4187	δρυπτερίς	Black oak fern
DMM4188	κνῆκος	Safflower
DMM4189	λινόζωστις	Mercury
DMM4190	ἡλιοτρόπιον τὸ μέγα	Large heliotrope
DMM4191	ἡλιοτρόπιον τὸ μικρόν	Small heliotrope
DMM4192	σκορπιοειδές	Scorpionwort
DMM5001	ἄμπελος οἰνοφόρος	Grapevine
DMM5002	ἄμπελος ἀγρία	Wild grapevine
DMM5003	σταφυλή	Grape
DMM5004	οἰνάνθη	Oinanthe
DMM5005	ὀμφάκιον	Omphacion
DMM5006	οἶνοι	Wines
DMM5007	μελιλίτης	Melitites
DMM5008	οἰνόμελι	Wine and honey mixture
DMM5009	μελίκρατον	Mixture of honey and water = Hydromel
DMM5010	ὕδωρ	Water
DMM5011	θαλάττιον ὕδωρ	Seawater
DMM5012	θαλασσόμελι	Seawater mixed with honey
DMM5013	ὄξος	Vinegar
DMM5014	ὀξύμελι	Oxymel
DMM5015	ὀξάλμη	Brine vinegar
DMM5016	θυμοξάλμη	Brine vinegar flavored with Cretan thyme
DMM5017	τὸ σκιλλητικὸν ὄξος	Vinegar flavored with squill
DMM5018	ὁ ἀπὸ τῆς σκίλλης οἶνος	Wine from squill
DMM5019	οἱ διὰ θαλάττης οἶνοι	Wines made with seawater
DMM5020	ὁ κυδωνίτης	Wine flavored with quinces
DMM5021	μηλόμελι	Honey flavored with quinces
DMM5022	ὑδρόμηλον	Water and honey flavored with quinces
DMM5023	ὀμφακόμελι	Unripe grapes and honey drink
DMM5024	ἀπίτης	Pear wine
DMM5025	οἰνάνθινος	Wine flavored with flowers of the wild grape
DMM5026	ῥοίτης	Pomegranate wine
DMM5027	ῥοδίτης	Wine flavored with roses
DMM5028	μυρτίτης	Myrtle wine
DMM5029	μυρσινίτης	Wine flavored with myrtles
DMM5306	σχίνινος	Mastic wine
DMM5031	φοινικίτης	Date palm wine
DMM5032	ὁ τροχίτης	Fig wine
DMM5033	ὁ ἐκ τῶν συκομόρων	Wine of sycamore figs
DMM5034	ὁ ῥητινίτης	Wine flavored with resin
DMM5035	6 στροβιλίτης	Wine flavored with strobilos pine cones
DMM5036	ὁ κέδρινος ἢ ἀρκεύθινος ἢ κυπαρίσσινος ἢ δάφνινος πιτύινος ἢ ἐλάτινος	Wine flavored with cedar or juniper or cypress or sweet bay or pitys pine or fir
DMM5037	κεδρίτης	Wine flavored with resin of Syrian cedar
DMM5038	οἶνος πισσίτης	Wine flavored with pitch
DMM5039	ἀψινθίτης	Wine flavored with wormwood artemisia absinthium
DMM5040	ὑσσωπίτης	Wine flavored with hyssop
DMM5041	ὁ χαμαιδρυίτης	Wine flavored with germander
DMM5042	ὁ > στοιχαδίτης	Wine flavored with French lavender
DMM5043	ὂξος διὰ στοιχάδος	French lavender vinegar
DMM5044	ἐκ κέστρου τοῦ ψυχροτρόφου οἶνος	Wine made from betony
DMM5045	τραγοριγανίτης	Wine flavored with goat’s marjoram
DMM5046	οἶνος διὰ βουνίου	Wine flavored with earthnuts
DMM5047	δικταμνίτης	Wine flavored with dittany of Crete
DMM5048	ὁ διὰ πρασίου	Wine flavored with horehound
DMM5049	θυμίτης	Wine flavored with Cretan thyme
DMM5050	θυμβρίτης	Wine flavored with savory
DMM5051	οἶνος ὀριγανίτης	Wine flavored with oregano
DMM5052	οἶνος καλαμινθίτης	wormwood artemisia abrotonon
DMM5053	οἶνος κονυζίτης	Wine flavored with fleabane
DMM5054	οἶνος ἀρωματίτης	Wine made with aromatics
DMM5055	οἶνος πρὸς κατάρρους	Wine for catarrhs
DMM5056	ὁ νεκταρίτης	Wine flavored with elecampane
DMM5057	ὁ διὰ Συριακῆς νάρδου καὶ Κελτικῆς καὶ μαλαβάθρου	and leaf of malabar
DMM5058	ἀσαρίτης	Wine flavored with hazelwort
DMM5059	ὁ διὰ τῆς ἀγρίας ἀγρίας	Wine flavored with Cretan spikenard
DMM5060	δαυκίτης	Wine flavored with daucos
DMM5061	ἐλελισφακίτης	Wine flavored with sage
DMM5062	πανακίτης	Wine flavored with allheal
DMM5063	ἀκορίτης καὶ ὁ ἀπὸ γλυκορρίζης	Wine flavored with yellow flag and wine flavored with licorice
DMM5064	σελινίτης	Wine flavored with celery
DMM5065	μαραθίτης καὶ ἀνήθινος καὶ πετροσελινίτης	and wine flavored parsley
DMM5066	δι' ἁλὸς ἄνθους οἶνος	Wine from salt-water froth
DMM5067	φθόριος ἐμβρύων οἶνος	Abortifacient wine
DMM5068	θυμελαίτης	Wine flavored with spurge flax
DMM5069	χαμελαίτης	Wine flavored with spurge olive
DMM5070	χαμαιπιτύινος	Wine flavored with ground pine
DMM5071	μανδραγορίτης	Wine flavored with mandrake
DMM5072	ἐλλεβορίτης	Wine flavored with hellebore
DMM5073	σκαμμωνίτης	Wine flavored with scammony
DMM5074	καδμεία	Calamine
DMM5075	πομφόλυξ	Pompholyx
DMM5076	κεκαυμένος χαλκός	Burned copper
DMM5077	χαλχοῦ ἄνθος	Flower of copper
DMM5078	λεπίς	Flake [of copper ore]
DMM5079	ἰὸς ξυστός	Verdigris
DMM5080	ἰὸς σιδίρου	Iron rust
DMM5081	πεπλυμένος μόλυβδος	Washed lead
DMM5082	σκωρία μολύβδου	Lead dross
DMM5083	ὁ μολυβδοειδὴς λίθος	Leadstone
DMM5084	στίβι	Antimony
DMM5085	μολύβδαινα	Galena
DMM5086	ἡ τοῦ ἀργρύρου σκωρία	Silver dross
DMM5087	λιθάργυρος	Litharge
DMM5088	ψιμύθιον	White lead
DMM5089	χρυσοκόλλα	Basic copper carbonate
DMM5090	Ἀρμένιον	Azurite
DMM5091	κύανος	Lapis lazuli
DMM5092	Ἰνδικόν	Indigo
DMM5093	ὦχρα	Yellow ocher
DMM5094	κιννάβαρι	Cinnabar
DMM5095	ὑδράργυρος	Mercury
DMM5096	μίλτος Σινωπική	Sinopic red earth
DMM5097	Λημνία γῆ	Lemnian earth
DMM5098	χαλκανθές	Vitriol
DMM5099	χαλκῖτις	Rock alum
DMM5100	μίσυ	Misy
DMM5101	μελαντηρία	Shoemaker’s black
DMM5102	σῶρι	Melanterite
DMM5103	διφρυγές	Pyrites
DMM5104	ἀρσενικόν	Yellow orpiment
DMM5105	σανδαράκη	Arsenic sulfide
DMM5106	στυπτηρία	Alum
DMM5107	θεῖον	Sulfur
DMM5108	κίσηρις	Pumice stone
DMM5109	ἅλς	Salt
DMM5110	ἁλὸς ἄχνη	Salt froth
DMM5111	ἅλμη	Brine
DMM5112	ἄνθος ἁλός	Salt efflorescenee/Salt scum
DMM5113	νίτρον	Soda
DMM5114	τρύξ	Wine lees
DMM5115	ἄσβεστος	Unslaked lime
DMM5116	γύψος	Gypsum
DMM5117	τέφρα κλημαντίνη	Ash of vine twigs
DMM5118	ἀλκυόνιον	Alcyonion
DMM5119	ἀδάρκης	Adarces
DMM5120	σπόγγοι	Sponges
DMM5121	τὸ κοράλιον	Coral
DMM5122	ἀντιπαθές	Antipathes
DMM5123	λίθος Φρύγιος	Phrygian stone
DMM5124	Ἄσσιος λίθος	Assian stone
DMM5125	πυρίτης λίθος	Copper pyrites
DMM5126	αἱματίτης λίθος	Hematite
DMM5127	σχιστὸς λίθος	Talc
DMM5128	Γαγάτης	Lignite
DMM5129	Θρακίας	Thracian stone
DMM5130	μαγνῆτις λίθος	Magnet
DMM5131	Ἀραβικὸς λίθος	Arabian stone
DMM5132	γαλακτίτης	Milkstone
DMM5133	μελιτίτης	Honeystone
DMM5134	λίθος μόροχθος	Pipe clay
DMM5135	λίθος ἀλαβαστρίτης	Alabaster
DMM5136	θυίτης	Thyites
DMM5137	Ἰουδαικὸς λίθος	Judaic stone
DMM5138	λίθος ἀμίαντος	Asbestos
DMM5139	λίθος σάπφειρος	Lapis lazuli
DMM5140	λίθος Μεμφίτης	~ Memphitic stone
DMM5141	λίθος σεληνίτης	Selenite
DMM5142	λίθος ἴασπις	Jasper
DMM5143	λίθος ὀφίτης	Serpentine
DMM5144	λίθοι οἱ ἐν τοῖς σπόγγοις	The stones in the sponges
DMM5145	λιθοκόλλα	Stone glue
DMM5146	λίθος ὀστρακίτης	Clay stone
DMM5147	σμύρις	Emery
DMM5148	ἄμμος	Sand
DMM5149	ἀκόνης Ναξίας ἀπότριμμα	Naxian whetstone powder
DMM5150	λίθος γεώδης	Earth-like stone
DMM5151	γῆ	Earth
DMM5152	Ἑρετριάδος γῆ	Eretrian earth
DMM5153	Σαμία γῆ	Samian earth
DMM5154	ἐν τῇ Σαμίᾳ γῇ λίθος	Stone found in Samian earth
DMM5155	Χία γῆ	Chian earth
DMM5156	Κιμωλία γῆ	Cimolian earth
DMM5157	πνιγῖτις γῆ	Pnigitis earth
DMM5158	ὄστρακα	Potsherds
DMM5159	Μηλία γῆ	Melian earth
DMM5160	ἀμπελῖτις γῆ	Ampelitis earth
DMM5161	ἀσβόλη	Soot
DMM5162	μέλαν	Black ink
