beck_id beck_greek_name beck_english_name
DMM2010	καρκίνων ποταμίων καέντων ἡ τέφρα	Ash of calcined riverine crabs.
DMM2011	σκόρπιος χερσαῖος	Land scorpion
DMM2012	θαλασσίου σκορπίου	Bile of sea scorpion
DMM2013	δράκων θαλάσσιος	Greater weever
DMM2014	σκολοπένδρα θαλασσία	Sea scolopendra
DMM2015	νάρκη θαλασσία	Electric ray
DMM2016	ἐχίδνη	Viper
DMM2017	ὄφις	Serpent
DMM2018	λαγωὸς θαλάσσιος	Sea hare
DMM2019	τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος	The brain of the land hare
DMM2020	τρυγόνος θαλασσίας τὸ κέντρον	Stingray sting
DMM2021	σηπίας τὸ μέλαν	Ink of boiled cuttlefish
DMM2022	τρίγλα	Red mullet
DMM2023	ὄρχις ἱπποποτάμου	Testicle of hippopotamus
DMM2024	καὶ ὁ τοῦ κάστορος ὄρχις	Testicle of beaver
DMM2025	γαλῆ κατοικίδιος	Domesticated weasel
DMM2026	βάτραχοι	Frogs
DMM2027	σίλουρος	Sheatfish
DMM2028	σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα	Head of salted smarts
DMM2029	καὶ ἡ τῆς μαινίδος κεφαλὴ	Head of Mainis
DMM2030	κωβίος	Goby
DMM2031	ὠμοτάριχος	Omotarichos
DMM2032	γάρος	Garum
DMM2033	ζωμὸς ἰχθύων	Fish broth
DMM2034	κόρεις οἱ ἀπὸ κλίνης	Bed-bugs
DMM2035	ὄνοι οἱ ὑπὸ τὰς ὑδρίας	Wood lice
DMM2036	σίλφη	Cockroach
DMM2037	πνεύμων θαλάσσιος	Jellyfish
DMM2038	ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων	Pig, lamb, [and bear] lung
DMM2039	ἀλώπεκος πνεύμων	Lung of fox
DMM2040	ἧπαρ ὄνειον	Ass’s liver
DMM2041	αἰδοῖον ἄρρενος ἐλάφου	Genitalia of stag
DMM2042	ὄνυχες ὄνων	Asses’ hooves
DMM2043	λειχῆνες ἵππων	Chestnuts of horses
DMM2044	οἱ δὲ τῶν αἰγων ὄνύχες	Hooves of she-goats
DMM2045	τοῦ δὲ ἤπατος τῆς αἰγὸς ἰχώρ	Juice of she-goat liver
DMM2046	τὸ δὲ τοῦ κάπρου ἧπαρ	Boar’s liver
DMM2047	κυνὸς δὲ λυσσῶντος ἧπαρ	Liver of rabid dog
DMM2048	κασσυμάτων παλαιὰ δέρματα	Leather of shoe soles
DMM2049	ἀλεκτορίδες	Hens
DMM2050	ᾠόν	Egg
DMM2051	τέττιγες	Cicadas
DMM2052	ἀκρίδες	Locusts
DMM2053	φήνη	Phene
DMM2054	κορυδαλλός	Lark
DMM2055	ἧπαρ	Liver of shearwater
DMM2056	χελιδὸνος νεοσσοί	Swallow’s nestlings
DMM2057	ἐλέφαντος ὀδούς	Elephant’s tooth
DMM2058	ἀστράγαλος ὑός	Hog’s hock
DMM2059	ἐλάφου κέρας	Hart’s horn
DMM2060	κάμπαι	Caterpillars
DMM2061	κανθαρίδες	Blister beetles
DMM2062	σαλαμάνδρα	Salamander
DMM2063	ἀράχνη τὸ ζῷον	Spider
DMM2064	σαύρας ἡ κεφαλὴ	Head of lizard
DMM2065	σήψ	Seps
DMM2066	σκίγκος	Skink
DMM2067	γῆς ἔντερα	Earthworms
DMM2068	μυογαλῆ	Shrewmouse
DMM2069	μύες	Mice
DMM2070	γάλα	Milk
DMM2071	τυρός	Cheese
DMM2072	βούτυρον	Butter
DMM2073	ἔρια οἰσυπηρά	Greasy wool
DMM2074	οἴσυπος	Fat from greasy wool
DMM2075	πιτύα	Rennet
DMM2076	στέαρ	Fat
DMM2077	μυελός	Marrow
DMM2078	χολή	Bile
DMM2079	αἷμα	Blood
DMM2080	ἀπόπατος	Dung
DMM2081	οὖρον	Urine
DMM2082	μέλι	Honey
DMM2083	κηρός	Wax
DMM2084	πρόπολις	Bee glue
DMM2085	πυροί	Wheat
DMM2086	κριθή	Barley
DMM2087	ζύθος	Beer
DMM2088	κοῦρμι	Courmi
DMM2089	ζέα	Zea
DMM2090	κρίμνον	Crimnon
DMM2091	ὄλυρα	Rice-wheat
DMM2092	ἀθήρα	Gruel
DMM2093	τράγος	Spelt
DMM2094	βρόμος	Oats
DMM2095	ὄρυζα	Rice
DMM2096	χόνδρος	Groats
DMM2097	κέγχρος	Millet
DMM2098	ἔλυμος	Italian millet
DMM2099	σήσαμον	Sesame
DMM2100	αἶρα	Darnel
DMM2101	ἄμυλον	Starch
DMM2102	τέλεως ἄλευρον	Meal of fenugreek
DMM2103	λινόσπερμον	Linseed
DMM2104	ἐρέβινθος ὁ ἥμερος	Cultivated chick- pea
DMM2105	κύαμος Ἑλληνικός	Greek bean
DMM2106	Αἰγύπτιος κύαμος	Egyptian bean
DMM2107	φακός	Lentil
DMM2108	ὄροβος	Bitter vetch
DMM2109	θέρμος	Lupine
DMM2110	γογγύλη	Turnip
DMM2111	βουνιάς	French turnip
DMM2112	ῥαφανίς	Radish
DMM2113	σίσαρον	Parsnip
DMM2114	λάπαθον	Monk’s rhubarb
DMM2115	ἱππολάπαθον	Dock sorrel
DMM2116	λαμψάνη	Charlock
DMM2117	βλίτον	Blite
DMM2118	μολόχη	Mallow
DMM2119	ἀνδράφαξυς	Orach
DMM2120	κράμβη ἥμερος	Cultivated cabbage
DMM2121	κράμβη ἀγρία	~ B. cretica. Wild cabbage
DMM2122	κράμβη ἡ θαλασσία	Sea cole
DMM2123	σεῦτλον	Beet
DMM2124	ἀνδράχνη	Purslane
DMM2125	ἀσπάραγος πετραῖος ἢ μυάκανθος	Asparagus
DMM2126	ἀρνόγλωσσον	Plantain
DMM2127	σίον	Water parsnip
DMM2128	σισύμβριον	Watercress
DMM2129	κρῆθμον	Samphire
DMM2130	κορωνόπους	Hartshorn
DMM2131	σόγχος	Sow thistle
DMM2132	σέρις	Chicory or Endive
