mattioli_chapter	mattioli_book	mattioli_greek	mattioli_latin
L	4	Χρυσοκόμη	CHRYSOCOME
LI	4	Χρυσόγονον	CHRYSOGONUM
LII	4	Ἑλίχρυσον	HELICHRYSUM
LIII	4	Χρυσάνθεμον	CHRYSANTHEMUM
LIV	4	Ἀγήρατον	AGERATUM
LV	4	Περιστερεών	VERBENACA
LVI	4	Ἱερά βοτάνη	SACRA HERBA
LVII	4	Ἀστράγαλος	ASTRAGALUS
LVIII	4	Ὑάκινθος	HYACINTHUS
LIX	4	Μήκων ῤοιάς	PAPAVER ERRATICUM
LX	4	Μήκων ἥμερος	PAPAVER SATIVUM
LXI	4	Μήκων κερατῖτις	PAPAVER CORNICULATUM
LXII	4	Μήκων ἀφρώδης	PAPAVER SPUMEUM
LXIII	4	Ὑπήκοον	HYPECOUM
LXIV	4	Ὑοσκύαμος	HYOSCYAMUS SIVE APOLLINARIS
LXV	4	Ψύλλιον	PSYLLIUM
LXVI	4	Στρύχνος κηπαῖος	SOLANUM HORTENSE
LXVII	4	Στρύχνος ἁλικάκαβος	SOLANUM HALICACABUM
LXVIII	4	Στρύχνος ὑπνωτικός	SOLANUM SOMNIFERUM
LXIX	4	Στρύχνος μανικός	SOLANUM FURIOSUM
LXX	4	Δορύκνιον	DORYCNIUM
LXXI	4	Μανδραγόρας	MANDRAGORAS
LXXII	4	Ἀκόνιτον	ACONITUM
LXXIII	4	Ἀκόνιτον ἕτερον	ACONITUM ALTERUM
LXXIV	4	Κώνειον	CICUTA
LXXV	4	Σμίλαξ	TAXUS
LXXVI	4	Ἀπόκυνον	APOCYNUM
LXXVII	4	Νήριον ἤ Ῥοδόδενδρον	NERIUM SEU RHODODENDRUM
LXXVIII	4	Μυκήτες	FUNGI
LXXIX	4	Κολχικόν	COLCHICUM
LXXX	4	Ἐφήμερον	EPHEMERUM
LXXXI	4	Ἑλξίνη	HELXINE
LXXXII	4	Ἀλσίνη	ALSINE
LXXXIII	4	Φακός ὁ ἐπὶ τῶν τελμάτων	LENS PALUSTRIS
LXXXIV	4	Ἀείζωον μέγα	SEDUM MAIUS
LXXXV	4	Ἀείζωον μικρόν	SEDUM MINUS
LXXXVI	4	Ἀείζωον εἶδος τρίτον	SEDI GENUS TERTIUM
LXXXVII	4	Κοτυληδών	UMBILICUS VENERIS
LXXXVIII	4	Κοτυληδών ἕτερα	UMBILICUS VENERIS ALTER
LXXXIX	4	Ἀκαλύφη	URTICA
XC	4	Γαλίοψις	GALIOPSIS
XCI	4	Γάλιον	GALION
XCII	4	Ἠριγέρων	SENECIO
XCIII	4	Θάλικτρον	THALICTRUM
XCIV	4	Βρύον θαλάσσιον	MUSCUS MARINUS
XCV	4	Φῦκος θαλάσσιον	FUCUS MARINUS
XCVI	4	Ποταμογείτων	POTAMOGETON
XCVII	4	Στρατιώτης	STRATIOTES
XCVIII	4	Στρατιότης χιλιόφυλλος	STRATIOTES MILLEFOLIUM
XCIX	4	Φλόμος	VERBASCUM
C	4	Αἰθιοπίς	AETHIOPIS
CI	4	Ἄρκτιον	ARCTION
CII	4	Ἄρκειον	PERSONATA
CIII	4	Πετασίτης	PETASITES
CIV	4	Ἐπιπακτίς	EPIPACTIS
CV	4	Καπνός	FUMARIA
CVI	4	Λοτός ἥμερος	LOTUS URBANA
CVII	4	Λοτός ἄγριος	LOTUS SYLVESTRIS
CVIII	4	Κύτισος	CYTISUS
CIX	4	Λωτός αἰγύπτιος	LOTUS AEGYPTIA
CX	4	Μυριόφυλλον	MILLEFOLIUM
CXI	4	Μύῤῥις	MYRRHIS
CXII	4	Μύαγρος	MYAGRUM
CXIII	4	Ὀνάγρα	ONAGRA
CXIV	4	Κίρσιον	CIRSIUM
CXV	4	Ἀστήρ ἀττικός	ASTER ATTICUS
CXVI	4	Ἰσόπυρον	ISOPYRUM
CXVII	4	Ἴον πορφυροῦν	VIOLA PURPUREA
CXVIII	4	Κακαλία	CACALIA
CXIX	4	Βούνιον	BUNIUM
CXX	4	Πσευδοβούνιον	PSEUDOBUNIUM
CXXI	4	Χαμαίκισσος	CHAMAECISSUS
CXXII	4	Χαμαιλεύκη	CHAMAELEUCE
CXXIII	4	Βούγλωσσον	BUGLOSSUM LINGUA BUBULA
CXXIV	4	Κυνόγλωσσον	CYNOGLOSSUM
CXXV	4	Φύτευμα	PHYTEUMA
CXXVI	4	Λεοντοπόδιον	LEONTOPODIUM
CXXVII	4	Ἱππόγλωσσον	HIPPOGLOSSUM
CXXVIII	4	Ἀντίῤῥινον	ANTIRRHINUM
CXXIX	4	Κατανάγκη	CATANANCE
CXXX	4	Τριπόλιον	TRIPOLION
CXXXI	4	Ἀδίαντον	ADIANTUM
CXXXII	4	Τριχομανές	TRICHOMANES
CXXXIII	4	Ξάνθιον	XANTHIUM SIVE LAPPA
CXXXIV	4	Αἰγίλωψ	AEGILOPS SIVE FESTUCA
CXXXV	4	Βρῶμος	BROMUS
CXXXVI	4	Γλαύξ	GLAUX
CXXXVII	4	Πολύγαλον	POLYGALA
CXXXVIII	4	Ὄσυρις	OSYRIS
CXXXIX	4	Σμίλαξ τραχεῖα	SMILAX ASPERA
CXL	4	Σμίλαξ λεῖα	SMILAX LAEVIS
CXLI	4	Μυρσίνη ἀγρία	RUSCUS
CXLII	4	Δάφνη ἀλέξανδρεια	LAURUS ALEXANDRINA
CXLIII	4	Δαφνοειδές	DAPHNOIDES
CXLIV	4	Χαμαιδάφνη	CHAMAEDAPHNE
CXLV	4	Ἐλλέβορος λευκός	VERATRUM ALBUM
CXLVI	4	Ἐλλέβορος μέλας	VERATRUM NIGRUM
CXLVII	4	Σησαμοιδές μέγα	SESAMOIDES MAGNUM
CXLVIII	4	Σησαμοιδές μικρόν	SESAMOIDES PARVUM
CXLIX	4	Σίκυς ἄγριος	CUCUMER SYLVESTRIS
CL	4	Σταφίς ἀγρία	STAPHIS AGRIA
CLI	4	Θαψία	THAPSIA
CLII	4	Σπαρτίον	SPARTIUM
CLIII	4	Σίλυβον	SILYBUM
CLIV	4	Βάλανος μυρεψική	GLANS UNGUENTARIA
CLV	4	Νάρκισσος	NARCISSUS
CLVI	4	Ἱπποφαίς	HIPPOPHAES
CLVII	4	Ἱππόφαιστον	HIPPOPHAESTUM
CLVIII	4	Κίκι ἣ κρότων	RICINUS
CLIX	4	Τιθυμάλοι	TITHYMALI
CLX	4	Πιτύουσα	PITYUSA
CLXI	4	Λαθυρίς	LATHYRIS
CLXII	4	Πέπλος	PEPLUS
CLXIII	4	Πεπλίς	PEPLIS
CLXIV	4	Χαμαισύκη	CHAMAESYCE
CLXV	4	Σκαμμωνία	SCAMMONIA
CLXVI	4	Χαμελαία	CHAMELAEA
CLXVII	4	Θυμελαία	THYMELAEA
CLXVIII	4	Ακτή	SAMBUCUS
CLXIX	4	Πυκνόκομον	PYCNOCOMUM
CLXX	4	Ἄπιος	APIOS
CLXXI	4	Κολοκυνθίς	COLOCYNTHIS
CLXXII	4	Ἐπίθυμον	EPITHYMUM
CLXXIII	4	Ἀλύπον	ALYPUM
CLXXIV	4	Ἔμπετρον	EMPETRUM
CLXXV	4	Ἄμπελος ἀγρία	VITIS SYLVESTRIS
CLXXVI	4	Ἄμπελος λευκή	VITIS ALBA
CLXXVII	4	Ἄμπελος μέλαινα	VITIS NIGRA
CLXXVIII	4	Πτέρις	FILIX MAS
CLXXIX	4	Θελυπτερίς	FILIX FOEMINA
CLXXX	4	Πολυπόδιον	FILICULA
CLXXXI	4	Δρυοπτερίς	DRYOPTERIS
CLXXXII	4	Κνίκος	CNICUS
CLXXXIII	4	Λινόζωστις	MERCURIALIS
CLXXXIV	4	Κυνοκράμβη	CYNOCRAMBE
CLXXXV	4	Ἡλιοτρόπιον μέγα	HELIOTROPIUM MAIUS
CLXXXVI	4	Ἡλιοτρόπιον μικρόν	HELIOTROPIUM MINUS
CLXXXVII	4	Σκορπιοειδές	SCORPIOIDES
I	5	Ἄμπελος οἰνοφόρος	VITIS VINIFERA
II	5	Ἄμπελος ἀγρία	LABRUSCA
III	5	Σταφυλή	UVA
IV	5	Σταφίς	UVA PASSA
V	5	Οἰνάνθη	OENANTHE
VI	5	Ὀμφάκιον	OMPHACIUM
VII	5	Οἴνου φύσις	VINI NATURA
VIII	5	Οἶνος ὀμφακίτης	VINUM OMPHACITES
IX	5	Δευτερία	LORA
X	5	Οἶνος ἐκ τῆς ἀγρίας σταφυλῆς	VINUM E LABRUSCA
XI	5	Οἶνος μελιτίτης	VINUM MELITITES
XII	5	Οἰνόμελι	MULSUM
XIII	5	Μελίκρατον	AQUA MULSA
XIV	5	Ὕδωρ	AQUA
XV	5	Ὕδωρ θαλάττιον	AQUA MARINA
XVI	5	Θαλασσόμελι	THALASSOMELI
XVII	5	Ὄξος	ACETUM
XVIII	5	Ὀξύμελι	ACETUM MULSUM
XIX	5	Ὀξάλμη	ACIDA MURIA
XX	5	Θυμοξάλμη	THYMOXALME
XXI	5	Σκιλλητικόν ὄξος	SCILLINUM ACETUM
XXII	5	Σκιλλητικός οἶνος	SCILLINUM VINUM
XXIII	5	Οἴνοι θαλάσσιοι	VINA MARINA
XXIV	5	Κυδωνίτης οἶνος	VINUM CYDONITES
XXV	5	Ὑδρόμηλον	HYDROMELUM
XXVI	5	Ὀμφακομέλι	OMPHACOMELI
XXVII	5	Ἀπίτης οἶνος	VINUM EX PYRIS
XXVIII	5	Οἰνάνθινος οἶνος	VINUM OENANTHIUM
XXIX	5	Ῥοίτης οἶνος	VINUM EX PUNICIS
XXX	5	Ῥοδίτης οἶνος	ROSACEUM VINUM
XXXI	5	Μυρτίτης οἶνος	MYRTITES VINUM
XXXII	5	Μυρσινίτης οἶνος	MYRSINITES VINUM
XXXIII	5	Σχίνινος καὶ τερεμίνθινος οἶνος	LENTISCINUM ET TEREBINTHINUM VINUM
XXXIV	5	Φοινικίτης οἶνος	PALMEUM VINUM
XXXV	5	Κατορχίτης οἶνος	VINUM EX CARICIS FACTUM
XXXVI	5	Ῥητινίτης οἶνος	RESINATUM VINUM
XXXVII	5	Στροβιλίτης οἶνος	VINUM STROBILITES
XXXVIII	5	Κέδρινος καὶ ἐκ τίνων δένδρων καὶ καρπῶν οἶνος	CEDRINUM ET EX ALIQUOT ARBORIBUS AC FRUCTIBUS VINUM
XXXIX	5	Πισσίτης οἶνος	PICATUM VINUM
XL	5	Ἀψινθίτης οἶνος	VINUM ABSINTHITES
XLI	5	Ὑσσοπίτης οἶνος	VINUM HYSSOPITES
XLII	5	Οἶνοι ἐκ τῶν ποικίλων φυτῶν	VINA EX DIVERSIS PLANTIS FACTA
XLIII	5	Ἀρωματίτης οἶνος	VINUM AROMATITES
XLIV	5	Οἶνοι ἐκ τῶν ποικίλων ἀρωμάτων	VINA EX DIVERSIS ODORAMENTIS
XLV	5	Οἶνοι ἐκ τῶν ποικίλων ποῶν	VINA EX DIVERSIS HERBIS FACTA
XLVI	5	Καδμεία	CADMIA
XLVII	5	Χαλκός κεκαυμένος	AES USTUM
XLVIII	5	Χαλκοῦ ἄνθος	FLOS AERIS
XLIX	5	Λεπίς χαλκοῦ	SQUAMA AERIS
L	5	Λεπίς στομώματος	SQUAMA STOMOMATIS
LI	5	Ἰόν ξυστόν	AERUGO RASILIS
LII	5	Ἰός σκώληξ	AERUGO SCOLECIA
LIII	5	Ἰός σιδήρου	RUBIGO FERRI
LIV	5	Σκωρία σιδήρου	STERCUS FERRI
LV	5	Μόλιβδος πεπλυμένος	PLUMBUM ELOTUM
LVI	5	Μόλιβδος κεκαυμένος	PLUMBUM USTUM
LVII	5	Σκωρία μολίβδου	RECREMENTUM PLUMBI
LVIII	5	Μολιβδοειδής	MOLYBDOIDES SIVE LAPIS PLUMBARIUS
LIX	5	Στίμμι	STIBIUM
LX	5	Μολίβδαινα	MOLI<B>DAENA SEU PLUMBAGO
LXI	5	Ἀργύρου σκωρία	ARGENTI RECREMENTUM
LXII	5	Λιθάργυρος	SPUMA ARGENTI
LXIII	5	Ψιμμίθιον	CERUSSA
LXIV	5	Χρυσοκόλλα	CHRYSOCOLLA
LXV	5	Λίθος ἀρμένιος	LAPIS ARMENIUS
LXVI	5	Κυανός λίθος	COERULEUS LAPIS
LXVII	5	Ἰνδικόν	INDICUM
LXVIII	5	Ὄχρα	OCHRA
LXIX	5	Κιννάβαρις	CINNABARIS
LXX	5	Ὑδράργυρος	ARGENTUM VIVUM
LXXI	5	Μίλτος σινωπική	RUBRICA SINOPICA
LXXII	5	Μίλτος τεκτονική	RUBRICA FABRILIS
LXXIII	5	Λημνία γῆ	LEMNIA TERRA
LXXIV	5	Χάλκανθον	ATRAMENTUM SUTORIUM
LXXV	5	Χαλκῖτις	CHALCITIS
LXXVI	5	Μίσυ	MISY
LXXVII	5	Μελαντηρία	MELANTERIA
LXXVIII	5	Σῶρυ	SORY
LXXIX	5	Διφρυγές	DIPHRYGES
LXXX	5	Ἀρσενικόν	AURIPIGMENTUM
LXXXI	5	Σανδαράχη	SANDARACHA
LXXXII	5	Στυπτηρία	ALUMEN
LXXXIII	5	Θεῖον	SULPHUR
LXXXIV	5	Κίσσηρις	PUMEX
LXXXV	5	Ἄλς	SAL
LXXXVI	5	Ἀλός ἄχνη	SALIS SPUMA
LXXXVII	5	Ἄλμη	MURIA
LXXXVIII	5	Ἀλός ἄνθος	FLOS SALIS
LXXXIX	5	Νίτρον - ἀφρόνιτρον	NITRUM
XC	5	Τρύξ	FAEX
XCI	5	Ἄσβεστος	CALX VIVA
XCII	5	Γύψος	GYPSUM
XCIII	5	Τέφρα κληματίνη	SARMENTITIUS CINIS
XCIV	5	Ἀλκυόνιον	ALCYONIUM
XCV	5	Ἀδάρκης	ADARCES
XCVI	5	Σπόγγοι	SPONGIAE
XCVII	5	Κοράλλιον	CORALLIUM
XCVIII	5	Λίθος φρύγιος	LAPIS PHRYGIUS
XCIX	5	Λίθος ἄσιος	LAPIS ASIUS
C	5	Λίθος πυρίτης	LAPIS PYRITES
CI	5	Λίθος αἱματίτης	LAPIS HAEMATITES
CII	5	Λίθος σχιστός	LAPIS SCHISTUS
CIII	5	Λίθος γαγάτης	LAPIS GAGATES
CIV	5	Λίθος θρακίας	LAPIS THRACIUS
CV	5	Λίθος μαγνῆτις	LAPIS MAGNES
CVI	5	Λίθος ἀραβικός	LAPIS ARABICUS
CVII	5	Λίθος γαλακτίτης	LAPIS GALACTITES
CVIII	5	Λίθος μελιτίτης	LAPIS MELITITES
CIX	5	Λίθος μορόχθος	LAPIS MOROCHTHUS
CX	5	Λίθος ἀλαβαστρίτης	LAPIS ALABASTRITES
CXI	5	Λίθος θυΐτης	LAPIS THYITES
CXII	5	Λίθος ἰουδαϊκός	LAPIS IUDAICUS
CXIII	5	Λίθος ἀμίαντος	LAPIS AMIANTUS
CXIV	5	Λίθος σάπφειρος	LAPIS SAPPHIRUS
CXV	5	Λίθος μεμφίτης	LAPIS MEMPHITES
CXVI	5	Λίθος σεληνίτης	LAPIS SELENITES
CXVII	5	Λίθος ἴασπις	LAPIS IASPIS
CXVIII	5	Λίθος ἀετίτης	LAPIS AETITES
CXIX	5	Λίθος ὀφίτης	LAPIS OPHITES
CXX	5	Λίθοι ἐν τοῖς σπόγγοις	LAPIDES IN SPONGIIS
CXXI	5	Λιθοκόλλα	LITHOCOLLA
CXXII	5	Λίθος ὀστρακίτης	LAPIS OSTRACITES
CXXIII	5	Σμύρις λίθος	SMYRIS LAPIS
CXXIV	5	Ἄμμος αἰγιαλῖτις	ARENA LITORALIS
CXXV	5	Ἀκόνη ναξία	LAPIS NAXIUS
CXXVI	5	Λίθος γεώδης	LAPIS GEODES
CXXVII	5	Γῆ πᾶσα	TERRA OMNIS
CXXVIII	5	Γῆ ἐρετρίας	TERRA ERETRIA
CXXIX	5	Γῆ σαμία	TERRA SAMIA
CXXX	5	Λίθος σάμιος	LAPIS SAMIUS
CXXXI	5	Γῆ χία	TERRA CHIA
CXXXII	5	Γῆ σελινουσία	TERRA SELINUSIA
CXXXIII	5	Γῆ κιμωλία	TERRA CIMOLIA
CXXXIV	5	Γῆ πνιγῖτις	TERRA PNIGITIS
CXXXV	5	Ὄστρακα τῶν ἰπνῶν	TESTAE FORNACEAE
CXXXVI	5	Γῆ ἐκ τῶν καμίνων	TERRA FORNACUM
CXXXVII	5	Γῆ μηλία	TERRA MELIA
CXXXVIII	5	Γῆ ἀμπελῖτις	TERRA AMPELITIS
CXXXIX	5	Ἀσβόλη ζωγραφική	FULIGO PICTORIA
CXL	5	Μέλαν γραφικόν	ATRAMENTUM LIBRARIUM
