mattioli_chapter	mattioli_book	mattioli_greek	mattioli_latin
CXXI	1	Δρῦς, Βάλανος, Φηγὸς, Πρίνος	QUERCUS, GLANS, FAGUS, ILEX
CXXII	1	Κάστανα	CASTANEAE
CXXIII	1	Κηκίς	GALLA
CXXIV	1	Ῥοῦς	RHUS
CXXV	1	Φοίνιξ	PALMA
CXXVI	1	Φοίνιξ ἐλάτη	PALMA ELATE
CXXVII	1	Ῥοιά	MALUM PUNICUM
CXXVIII	1	Μυρσίνη	MYRTUS
CXXIX	1	Κεράσια	CERASIA
CXXX	1	Κεράτια	SILIQUAE
CXXXI	1	Μῆλα	MALA
CXXXII	1	Ἄπια	PYRA
CXXXIII	1	Μέσπιλον	MESPILUS
CXXXIV	1	Λωτὸς δένδρον	LOTUS ARBOR
CXXXV	1	Κρανία	CORNUS
CXXXVI	1	Οὖα	SORBA
CXXXVII	1	Κοκκυμελέα	PRUNUS
CXXXVIII	1	Κόμαρος	ARBUTUS
CXXXIX	1	Ἀμυγδαλαί	AMYGDALAE
CXL	1	Πιστάκια	PISTACIA
CXLI	1	Κάρυον βασιλικὸν	NUX IUGLANS
CXLII	1	Κάρυα ποντικὰ	NUCES AVELLANAE
CXLIII	1	Μορέα	MORUS
CXLIV	1	Συκόμορος	SYCOMORUS
CXLV	1	Σῦκα	FICI
CXLVI	1	Περσέα	PERSEA
CXLVII	1	Ἰβερὶς	IBERIS
I	2	Ἐχῖνος θαλάσσιος	ECHINUS MARINUS
II	2	Ἐχῖνος χερσαῖος	ECHINUS TERRESTRIS
III	2	Ἱππόκαμπος	HIPPOCAMPUS
IV	2	Πορφύρα, Κέρυκες, Κιόνια	PURPURA, BUCCINA, CIONIA
V	2	Μύακες	MITULI
VI	2	Τελλῖναι	TELLINAE
VII	2	Χῆμαί	CHAMAE
VIII	2	Ὄνυξ	UNGUIS ODORATUS
IX	2	Κοχλίαι	COCHLEAE
X	2	Καρκίνοι	CANCRI
XI	2	Σκορπίος χερσαῖος	SCORPIO TERRESTRIS
XII	2	Σκορπίος θαλάσσιος	SCORPIO MARINUS
XIII	2	Δράκων θαλάσσιος	DRACO MARINUS
XIV	2	Σκολόπενδρα	SCOLOPENDRA
XV	2	Νάρκη	TORPEDO
XVI	2	Ἔχιδνα	VIPERA
XVII	2	Γῆρας ὄφεος	SENECTA ANGUIUM
XVIII	2	Λαγωός θαλάσσιος καὶ χερσαῖος	LEPUS MARINUS ET TERRESTRIS
XIX	2	Τρυγών θαλάσσιος	PASTINACA MARINA
XX	2	Σηπία	SEPIA
XXI	2	Τρίγλα	MULLUS PISCIS
XXII	2	Ἱπποπόταμος	HIPPOPOTAMUS
XXIII	2	Κάστωρ	FIBER
XXIV	2	Γαλῆ κατοικίδιος	MUSTELA VULGARIS
XXV	2	Βάτραχοι	RANAE
XXVI	2	Αἴλουρος	SILURUS
XXVII	2	Σμαρίδες	SMARIDES
XXVIII	2	Μαινίδες	MAENAE
XXIX	2	Κωβίος	GOBIUS
XXX	2	Θύννος	THUNNUS
XXXI	2	Γάῤῥον	GARUM
XXXII	2	Ζομός ἰχθύων	IUS PISCIUM
XXXIII	2	Κόρεις κλινικοί	CIMICES LECTULARII
XXXIV	2	Ὄνοι	MILLEPEDAE
XXXV	2	Σίλφη	BLATTA
XXXVI	2	Πνεύμων θαλάσσιος	PULMO MARINUS
