ruel_web	ruel_book	ruel_page	ruel_chapter	ruel_entry
242	Liber quartus	110v	Cap CLXVII	De ricino
243	Liber quartus	111r	Cap CLXVIII	De tithymalorum generibus
243	Liber quartus	111r	Cap CLXIX	De characia appellato
244	Liber quartus	111v	Cap CLXX	De foemina
244	Liber quartus	111v	Cap CLXXI	De paralio
244	Liber quartus	111v	Cap CLXXII	De helioscopo
244	Liber quartus	111v	Cap CLXXIII	De cyparissia
244	Liber quartus	111v	Cap CLXXIIII	De petraeo tithymalo
244	Liber quartus	111v	Cap CLXXV	De platyphyllo
245	Liber quartus	112r	Cap CLXXVI	De pityusa
245	Liber quartus	112r	Cap CLXXVII	De lathyri
245	Liber quartus	112r	Cap CLXXIX	De peplo
245	Liber quartus	112r	Cap CLXXX	De peplide
246	Liber quartus	112v	Cap CLXXXI	De chamaesyce
246	Liber quartus	112v	Cap CLXXXII	De scammonia
247	Liber quartus	113r	Cap CLXXXII	De chamalaea
247	Liber quartus	113r	Cap CLXXXIII	De thymelaea
248	Liber quartus	113v	Cap CLXXXIIII	De sabuco
248	Liber quartus	113v	Cap CLXXXV	De ebulo
248	Liber quartus	113v	Cap CLXXXVI	De pygnocomo
249	Liber quartus	114r	Cap CLXXXVII	De apio ceu radice sylvertri
249	Liber quartus	114r	Cap CLXXXVIII	De colocyntha aegos aliys sicya picra
249	Liber quartus	114r	Cap CLXXXIX	De epithymo
249	Liber quartus	114r	Cap CXC	De alypo
250	Liber quartus	114v	Cap CXCI	De empetro seu calcifraga
250	Liber quartus	114v	Cap CXCII	De clematide
250	Liber quartus	114v	Cap CXCIII	De labrusca
250	Liber quartus	114v	Cap CXCIIII	De vite alba
251	Liber quartus	115r	Cap CXCV	De vite nigra
251	Liber quartus	115r	Cap CXCVI	De filice
252	Liber quartus	115v	Cap CXCVII	De filice foemina
252	Liber quartus	115v	Cap CXCVIII	De filicula
252	Liber quartus	115v	Cap CXCIX	De dryopteri
252	Liber quartus	115v	Cap CC	De cnico
253	Liber quartus	116r	Cap CCI	De mercuriali
253	Liber quartus	116r	Cap CCII	De cynocrambae
253	Liber quartus	116r	Cap CCIII	De heliotropio magno
254	Liber quartus	116v	Cap CCIIII	De heliotropio paruo
254	Liber quartus	116v	Cap CCV	De scorpioide
255	Liber quintus	117r	Cap I	De vinifera vitae
255	Liber quintus	117r	Cap II	De sylvestri vite
255	Liber quintus	117r	Cap III	De vua
256	Liber quintus	117v	Cap IIII	De vua passa
256	Liber quintus	117v	Cap V	De oenanthe
256	Liber quintus	117v	Cap VI	De omphacio
257	Liber quintus	118r	Cap VII	De vini natura
260	Liber quintus	118v	Cap VIII	De melitide vino
260	Liber quintus	118v	Cap IX	De mulso
260	Liber quintus	118v	Cap X	De aqua mulsa
260	Liber quintus	118v	Cap XI	De aqua
261	Liber quintus	120r	Cap XII	De aqua marina
261	Liber quintus	120r	Cap XIII	De thalasso melite
261	Liber quintus	120r	Cap XIIII	De aceto
262	Liber quintus	120v	Cap XV	De aceto mulso
262	Liber quintus	120v	Cap XVI	De acida muria
262	Liber quintus	120v	Cap XVII	De thymoxalme
262	Liber quintus	120v	Cap XVIII	De scyllino aceto
263	Liber quintus	121r	Cap XIX	De vino scyllino
263	Liber quintus	121r	Cap XX	De vinis marinis
264	Liber quintus	121v	Cap XXI	De vino cydonite
264	Liber quintus	121v	Cap XXII	De melomelite
264	Liber quintus	121v	Cap XXIII	De hydromelo
264	Liber quintus	121v	Cap XXIIII	De omphacomelite
264	Liber quintus	121v	Cap XXV	De vino apijte
264	Liber quintus	121v	Cap XXVI	De oenanthino
264	Liber quintus	121v	Cap XXVII	De vino rhoite
265	Liber quintus	122r	Cap XXVIII	De vino rhodite
265	Liber quintus	122r	Cap XXIX	De vino myrtite
265	Liber quintus	122r	Cap XXX	De vino myrsinite
265	Liber quintus	122r	Cap XXXI	De vino lentiscino et terebinthino
265	Liber quintus	122r	Cap XXXII	De vino palmeo
265	Liber quintus	122r	Cap XXXIII	De vino catorchite
266	Liber quintus	122v	Cap XXXIIII	De vino sycomorite
266	Liber quintus	122v	Cap XXXV	De vino resinato
266	Liber quintus	122v	Cap XXXVI	De vino strobilite
266	Liber quintus	122v	Cap XXXVII	De vino cedrino
267	Liber quintus	123r	Cap XXXVIII	De vino juniperino
267	Liber quintus	123r	Cap XXXIX	De vino cedrite
267	Liber quintus	123r	Cap XL	De vino picato
267	Liber quintus	123r	Cap XLI	De vino absinthite
268	Liber quintus	123v	Cap XLII	De vino hyssopite
268	Liber quintus	123v	cap XLIII	De vino chamaedryte
268	Liber quintus	123v	Cap XLIIII	De vino stichadite
268	Liber quintus	123v	Cap XLV	De aceto stichadico
268	Liber quintus	123v	Cap XLVI	De vino cestritre
268	Liber quintus	123v	Cap XLVII	De tragoriganite vino
268	Liber quintus	123v	Cap XLVIII	De vino bunite
269	Liber quintus	124r	Cap XLIX	De vino dictamnite
269	Liber quintus	124r	Cap L	De vino prasijte
269	Liber quintus	124r	Cap LI	De vino thymite
269	Liber quintus	124r	Cap LII	De vino thymbrite
269	Liber quintus	124r	Cap LIII	De vino origanite
269	Liber quintus	124r	Cap LIII	De calaminthite & abrotonite vinis
269	Liber quintus	124r	Cap LV	De vino conyzite
269	Liber quintus	124r	Cap LV	De vino aromatite
270	Liber quintus	124v	Cap LVII	De vino e pipete myrrha et iride
270	Liber quintus	124v	Cap LVIII	De necttarite vino
270	Liber quintus	124v	Cap LIX	De vino syriaca nardo celtica et malabathro
270	Liber quintus	124v	Cap LX	De asarite vino
270	Liber quintus	124v	Cap LXI	De vino e sylvestri nardo
270	Liber quintus	124v	Cap LXII	De daucite vino
270	Liber quintus	124v	Cap LXIII	De salviato vino
271	Liber quintus	125r	Cap LXIIII	De panacite vino
271	Liber quintus	125r	Cap LXV	De acorite vino
271	Liber quintus	125r	Cap LXVI	De selenite vino
271	Liber quintus	125r	Cap LXVII	De marathrite & anethino vino
271	Liber quintus	125r	Cap LXVIII	De vino e flore salis
271	Liber quintus	125r	Cap LXIX	De vino e ethmeleaea
271	Liber quintus	125r	Cap LXX	De vino e chamaelaea
272	Liber quintus	125v	Cap LXXI	De vino chamaepityino
272	Liber quintus	125v	Cap LXXII	De vino mandragorite
272	Liber quintus	125v	Cap LXXIII	De vino helleborite
272	Liber quintus	125v	Cap LXXIIII	De vino scammonite
273	Liber quintus	126r	Cap LXXV	De cadmia
274	Liber quintus	126v	Cap LXXVI	De pompholyge
275	Liber quintus	127r	Cap LXXVII	De antispodo
276	Liber quintus	127v	Cap LXXVIII	De aere vito
276	Liber quintus	127v	Cap LXXIX	De flore aeris
277	Liber quintus	128r	Cap LXXX	De squamma aeris
277	Liber quintus	128r	Cap LXXXI	De squamma ex acie decussa
277	Liber quintus	128r	Cap LXXXII	De erugine rasa
278	Liber quintus	128v	Cap LXXXIII	De aerugine scolecia
279	Liber quintus	129r	Cap LXXXIIII	De rubigine ferri
279	Liber quintus	129r	Cap LXXXV	De stercore ferri
279	Liber quintus	129r	Cap LXXXVI	De plumbo eloto
280	Liber quintus	129v	Cap LXXXVII	De plumbo vito
280	Liber quintus	129v	Cap LXXXVIII	De recremento plumbi
280	Liber quintus	129v	Cap LXXXIX	De molibdoide lapide
280	Liber quintus	129v	Cap XC	De stibio
281	Liber quintus	130r	Cap XCXI	De molibdaena seu plumbagine
281	Liber quintus	130r	cap XCII	De recremento argenti
281	Liber quintus	130r	Cap XCIII	Di spuma argenti
283	Liber quintus	131r	Cap XCIIII	De cerusa
283	Liber quintus	131r	Cap XCV	De chrysocolla
284	Liber quintus	131v	Cap XCVI	De armenio lapide
284	Liber quintus	131v	Cap XCVII	De caeruleo
284	Liber quintus	131v	Cap XCVIII	De indico
284	Liber quintus	131v	Cap XCIX	De ochra
284	Liber quintus	131v	Cap C	De cinnabari
285	Liber quintus	132r	Cap CI	De argento vino
285	Liber quintus	132r	Cap CII	De rubrica ceu minio sinopico
285	Liber quintus	132r	Cap CIII	De rubrica fabrili
286	Liber quintus	132v	Cap CIIII	De lemnia terra
286	Liber quintus	132v	Cap CV	De attramento futorio
286	Liber quintus	132v	Cap CVI	De chalcite
287	Liber quintus	133r	Cap CVII	De psorico
287	Liber quintus	133r	Cap CVIII	De misy
287	Liber quintus	133r	Cap CIX	De melanteria
287	Liber quintus	133r	cap CX	De sory
288	Liber quintus	133v	Cap CXI	De diphryge
288	Liber quintus	133v	Cap CXII	De auripigmento
289	Liber quintus	134r	Cap CXIII	De sandaracha
289	Liber quintus	134r	Cap CXIIII	De alumine
290	Liber quintus	134v	Cap CXV	De sulphure
290	Liber quintus	134v	Cap CXVI	De pumice
290	Liber quintus	134v	Cap CXVII	De sale
291	Liber quintus	135r	Cap CXVIII	De spuma salis
291	Liber quintus	135r	Cap CXIX	De muria
292	Liber quintus	135v	Cap CXX	De flore salis
292	Liber quintus	135v	Cap CXXI	De nitro
292	Liber quintus	135v	Cap CXXII	De spuma nitri
292	Liber quintus	135v	Cap CXXIII	De faece
293	Liber quintus	136r	Cap CXXIIII	De calce
293	Liber quintus	136r	Cap CXXV	De gypso
293	Liber quintus	136r	Cap CXXVI	De sarmenticio cinere
293	Liber quintus	136r	Cap CXXVII	De alcyonio
294	Liber quintus	136v	Cap CXXVIII	De adarche
294	Liber quintus	136v	Cap CXXIX	De spongiis
295	Liber quintus	137r	Cap CXXX	De corallio
295	Liber quintus	137r	Cap CXXXI	De antipahte
295	Liber quintus	137r	Cap CXXXII	De phrygio lapide
295	Liber quintus	137r	Cap CXXXIII	De asio lapide
296	Liber quintus	137v	Cap CXXXIIII	De pyrite lapide
296	Liber quintus	137v	Cap CXXXV	De haematite lapide
297	Liber quintus	138r	Cap CXXXVI	De schisto lapide
297	Liber quintus	138r	Cap CXXXVII	De gagate lapide
297	Liber quintus	138r	Cap CXXXVIII	De lapide thracia
297	Liber quintus	138r	Cap CXXXIX	De magnete lapide
297	Liber quintus	138r	Cap CXL	De arabo lapide
298	Liber quintus	138v	Cap CXLI	De galactite
298	Liber quintus	138v	Cap CXLII	De melitite
298	Liber quintus	138v	Cap CXLIII	De morochtho lapide
298	Liber quintus	138v	Cap CXLIIII	De alabastrite lapide
298	Liber quintus	138v	Cap CXLV	De thyite lapillo
298	Liber quintus	138v	Cap CXLVI	De iudaico lapide
298	Liber quintus	138v	Cap CXLVII	De amianto
299	Liber quintus	139r	Cap CXLVIII	De sapphiro
299	Liber quintus	139r	Cap CXLIX	De memphite
299	Liber quintus	139r	Cap CL	De selenite lapide
299	Liber quintus	139r	Cap CLI	De iaspide lapide
299	Liber quintus	139r	Cap CLII	De aetite lapide
300	Liber quintus	139v	Cap CLIII	De ophite lapide
300	Liber quintus	139v	Cap CLIIII	De lapidus spongiarum
300	Liber quintus	139v	Cap CLV	De lithocolla
300	Liber quintus	139v	Cap CLVI	De ostracite
300	Liber quintus	139v	cap CLVII	De smyride
300	Liber quintus	139v	Cap CLVIII	De harena
300	Liber quintus	139v	Cap CLIX	De cote
300	Liber quintus	139v	Cap CLX	De lapide geode
301	Liber quintus	140r	Cap CLXI	De terra
301	Liber quintus	140r	Cap CLXII	De erethriade
301	Liber quintus	140r	Cap CLXIII	De terra samia
301	Liber quintus	140r	Cap CLXIIII	De samio lapide
301	Liber quintus	140r	Cap CLXV	De chia terra
302	Liber quintus	140v	Cap CLXVI	De selinusia terra
302	Liber quintus	140v	Cap CLXVII	De cimolia
302	Liber quintus	140v	Cap CLXVIII	De pnigite terra
302	Liber quintus	140v	Cap CLXIX	De testis
302	Liber quintus	140v	Cap CLXX	De terra fornacum
302	Liber quintus	140v	Cap CLXXI	De melia terra
302	Liber quintus	140v	Cap CLXXII	De ampelitide terra
303	Liber quintus	141r	Cap CLXXIII	De fuligine pictoria
303	Liber quintus	141r	Cap LXXIIII	De attramento librario
