2	57	ἐλέφαντος ὀδούς
2	58	ἀστράγαλος ὑὸς
2	59	ἐλάφου κέρας
2	60	κάμπαι
2	61	κανθαρίδες
2	62	σαλαμάνδρα
2	63	ἀράχνη τὸ ζῷον
2	64	σαύρας
2	65	σήψ
2	66	σκίγκος
2	67	γῆς ἔντερα
2	68	μυογαλῆ
2	69	μύες
2	70	γάλα
2	71	τυρὸς
2	72	βούτυρον
2	73	ἔρια οἰσυπηρά
2	74	οἴσυπος
2	75	πιτύα
2	76	στέαρ
2	77	μυελῶν
2	78	χολὴ
2	79	αἷμα
2	80	ἀπόπατος
2	81	οὖρον
2	82	μέλι
2	83	κηρός
2	84	πρόπολις
2	85	πυροί
2	86	κριθή
2	87	ζύθος
2	88	κοῦρμι
2	89	ζέα
2	90	κρίμνον
2	91	ὄλυρα
2	92	ἀθήρα
2	93	τράγος
2	94	βρόμος
2	95	ὄρυζα
2	96	χόνδρος
2	97	κέγχρος
2	98	ἔλυμος
2	99	σήσαμον
2	100	αἶρα
2	101	ἄμυλον
2	102	τήλεως ἄλευρον
2	103	λινόσπερμον
2	104	ἐρέβινθος ὁ ἥμερος
2	105	κύαμος Ἑλληνικός
2	106	Αἰγύπτιος κύαμος
2	107	φακός
2	108	ὄροβος
2	109	θέρμος
2	110	γογγύλη
2	111	βουνιάς
2	112	ῥαφανίς
2	113	σίσαρον
2	114	λάπαθον
2	115	ἱππολάπαθον
2	116	λαμψάνη
2	117	βλίτον
2	118	μολόχη
2	119	ἀνδράφαξυς
2	120	κράμβη ἥμερος
2	121	κράμβη ἀγρία
2	122	κράμβη ἡ θαλασσία
2	123	σεῦτλον
2	124	ἀνδράχνη
2	125	ἀσπάραγος πετραῖος ἢ μυάκανθος
2	126	ἀρνόγλωσσον
2	127	σίον
2	128	σισύμβριον
2	129	κρῆθμον
2	130	κορωνόπους
2	131	σόγχος
2	132	σέρις
2	133	χονδρίλη
2	134	κολοκύνθα
2	135	σίκυς ἥμερος
2	136	θρίδαξ ἥμερος
2	137	γιγγίδιον
2	138	σκάνδιξ
2	139	καυκαλίς
2	140	εὔζωμον
2	141	ὤκιμον
2	142	ὀροβάγχη
2	143	τραγοπώγων
2	144	ὄρνιθος
2	145	ὕδνον
2	146	σμῖλαξ κηπαία
2	147	Μηδικὴ
2	148	ἀφάκη
2	149	πράσον κεφαλωτὸν
2	150	ἀμπελόπρασον
2	151	κρόμυον
2	152	σκόρδον
2	153	σκορδόπρασον
2	154	σίνηπι ἢ νᾶπι
2	155	κάρδαμον
2	156	θλάσπι
2	157	δράβη
2	158	ἐρύσιμον
2	159	πέπερι
2	160	ζιγγίβερι
2	161	ὑδροπέπερι
2	162	πταρμική
2	163	στρούθιον
2	164	κυκλάμινος
2	165	κυκλάμινος ἑτέρα
2	166	δρακόντιον
2	167	ἄρον
