lusitanus_iiif	lusitanus_entry	lusitanus_chapter
71	De thure (libanus, thus)	Enarratio 74
72	De thuris cortice (cortex thuris, cortico sum thus)	Enarratio 75
72	De manna thuris (manna thuris, olibanum)	Enarratio 76
75	De thuris fuligine	Enarratio 77
75	De picea arbore (picea arbor). Pinus (pinus). Pinaster (pinaster, pinus sylvestris)	Enarratio 78
78	De strobilis (strobili, pityides, nuclei pine)	Enarratio 79
78	De lentisco (lentiscus)	Enarratio 80
79	De mastiche (mastix, resina lenticina)	Enarratio 81
81	De terebintho (terebinthus)	Enarratio 82
81	De alijs resinae generibus	Enarratio 83
84	De pice liquida (pix liquida)	Enarratio 84
84	De oleo picino (oleum picinum)	Enarratio 85
84	De picis fuligine (picis fuligo)	Enarratio 86
85	De sicca pice. Sicca pix, spissa pix, pix navalis, pix nigra)	Enarratio 87
85	De zopissa (zopissa, navium pix)	Enarratio 88
86	De bitumine (asphaltus, bitumen, bitumen iudaicum)	Enarratio 89
87	De pissasphalto (pissasphaltus, bitumen)	Enarratio 90
89	De naphta (naphta, oleum petroleum, oleum saxi)	Enarratio 91
89	De cupresso (cyparissus, cupressus / cypres)	Enarratio 92
90	De iunipero (iuniperus / du genefvre)	Enarratio 93
94	De sabina (brathy, sabina, savina / du savier)	Enarratio 94
94	De cedro (cedrus)	Enarratio 95
94	De lauro arbore (laurus / laurier)	Enarratio 96
94	De platano (platanus)	Enarratio 97
95	De fraxino (fraxinus / fraisne)	Enarratio 98
96	De populo alba (populus alba / trambula). Populus nigra (nigra populus / du tremble peuplier)	Enarratio centesima
98	De macere (macer, macis, cortex nucis moschatae)	Enarratio 101
99	De ulmo (ulmus / ulmo)	Enarratio 102
100	De lignorum carie (lignorum caries)	Enarratio 103
100	De harundine (calamus, barundo / canne)	Enarratio 104
102	De papyro (papyrus)	Enarratio 105
102	De tamarice (myrice, tamarix, tamariscus / bruiere)	Enarratio 106
103	De erica (erice, erica / briere)	Enarratio 107
104	De acacali (acacalis)	Enarratio 108
104	De rhamno (rhamnus)	Enarratio 109
105	De halimo (halimus / blanceputa)	Enarratio 110
106	De paliuro (paliurus)	Enarratio 111
107	De oxyacantha (oxyacantha)	Enarratio 112
110	De cynos bato (cynos batos, sentis canis, rubus canis, canirubus / englenteru)	Enarratio 113
111	De ligustro (cyprus, ligustrum / du troesne)	Enarratio 114
112	De phillyrea (phillyrea, species ligustri)	Enarratio 115
113	De cisto (cistus)	Enarratio 116
113	De hypocistide (hypocistis, cytinus, barba hircina)	Enarratio 117
114	De ladano (ladon, ladaniferus frutex)	Enarratio 118
115	De ebeno (ebenus). Secunda species ebeni (lignum guaiacum, lignum indicum, lignum sanctum, lignum morbi gallici / lin saint)	Enarratio 119
119	De rosis (rosa)	Enarratio 120
122	De roseis pastillis (rosei pastilli, trochisci e rosis)	Enarratio 121
122	De lycio (lycium, buxea spina, pixa camhalycij succius)	Enarratio 122
123	De acacia (acacia, spina aegyptia, frutex gummi arabici). Huius succi succedaneum (succus sylvestrium prumorum)	Enarratio 123
124	De amurca (amurca)	Enarratio 124
124	De vitice (agnus, agonos, lygus, agnus castus, vitex, piper agreste / agno casto)	Enarratio 125
125	De salice (salix / saulx)	Enarratio 126
125	De agresti olea (olea agrestis, oleaster / olive sauvage)	Enarratio 127
126	Colymbades, id est salsae et conditae olivae (colymbades, olivae conditae)	Enarratio 128
126	De oleo oleastri	Enarratio 129
126	De aethiopicae oleae lachryma (lachryma oleae aethiopicae)	Enarratio 130
127	De quercu (quercus, robur / chesne). Fagus (fagus / faus). Ilex (ilex / hous aut housson)	Enarratio 131
128	De castaneis (glans, sardiana glans iovis, castanea)	Enarratio 132
129	De galla (galla / noix de galle)	Enarratio 133
129	De rhu obsoniorum (rhus, rhus obsoniorum, rhus coriariorum, frutex coriarius, sumach)	Enarratio 134
130	De palma (palma, dactylorum arbor / palma). Fructus palmae (caryota dactylus, palmula / dattuli)	Enarratio 135
132	De palmula thebaica (palmula thebaica, tamarindus)	Enarratio 136
133	De elate (elate, nux indica / noix indiana). Secundum galenum	Enarratio 137
136	De malo punico (malum punicum, malum granatum, pomum granatum / pomes granates)	Enarratio 138
138	De cytino (cytinus, mali punici domestici flos / fleurs despomes granates)	Enarratio 139
138	De malicorio (maliserium, malicorium, cortices granatorum)	Enarratio 140
138	De balaustio (balaustium, sylvestris punice flos)	Enarratio 141
138	De myrto (myrtus / mirtillo)	Enarratio 142
