lusitanus_iiif	lusitanus_entry	lusitanus_chapter
297	De tragacantha (tragacantha, spina). Huius liquor (tragacanthum gummi / gomma draganti)	Enarratio 21
298	De eryngio (eryngium, iringus, centumcapita, carduus centum capitum / cardon du cent testes)	Enarratio 22
298	De aloe (aloe, semper vivum marinum). Liquor aloes (aloe / aloe)	Enarratio 23
299	De absinthio (absinthium, absinthium ponticum, absinthium romanum / de la lome)	Enarratio 24
300	De seriphio (seriphium, absinthium marinum / aloyne du mer)	Enarratio 25
300	De santonico absinthio (santonicum absinthium / aloyne de saintonge)	Enarratio 26
301	De abrotono (abrotonum / auronne)	Enarratio 27
301	De hyssopo (hyssopus herba / dele hyssope)	Enarratio 28
302	De stechade (stichas arabica, stoechas / stechados)	Enarratio 29
302	De origano Heracleotica (origanus Heracleotica, origanum Heracleoticum / marioleine de Angleterre). De asinina origano, onitide dicta (onitis origanus, asinina origanus). De sylvestri origano (sylvestris origanus). De tragorigano (tragoriganus, hircina origanus)	Enarratio 30-31-32-33
303	De pulegio (pulegium / du pouliot)	Enarratio 34
304	De dictamno (dictamnus, dictamnus cretensis)	Enarratio 35
304	De pseudodictamno (falsa dictamnus, falsum dictamnum)	Enarratio 36
304	De altera cretensi dictamno (altera cretensis dictamnus)	Enarratio 37
304	De salvia (salvia / de la sauge)	Enarratio 38
305	De menta (menta / de la mente)	Enarratio 39
305	De mentastro (mentastrum, menta sylvestris / mentastro)	Enarratio 40
306	De nepeta, sive calamintha (calamintha, nepita, calamenthum / calamintha de le herbe au chat)	Enarratio 41
307	De thymo (thymus, serpyllum romanum / du thin, du thim)	Enarratio 42
307	De tymbra (thymbra, satureia, cunila / de la sarriette)	Enarratio 43
307	De serpillo (serpillum / du serpolet)	Enarratio 44
308	De sampsucho (sampsuchus, amaracus odorifera / mariolaine)	Enarratio 45
308	De meliloto (melilotus, melilotum, serula campana, corona regia / meliloto)	Enarratio 46
309	De maro (maron)	Enarratio 47
309	De acino (acinus, basilicon / du basiliqui)	Enarratio  48. De bacchari (baccharis)
310	De ruta (ruta / de la rue)	Enarratio 50
310	De sylvestri ruta (ruta sylvestris, harmel, armel, caryophylli ultramarini)	Enarratio 51
312	De moly (moly)	Enarratio 52
312	De panace (panax heracleon, panaces heraculeon)	Enarratio 53
312	De panace Asclepiade (panax Asclepias)	Enarratio 54
312	De panace Chironio (panaces Chironion)	Enarratio 55
313	De ligustico (ligusticum, libysticum)	Enarratio 56
313	De pastinaca erratica (pastinaca erratica, baucia alba / des pastenades)	Enarratio 57
313	De seseli Massiliensi (seseli Massiliense, siler montanum)	Enarratio 58
314	De seseli Aethiopico. De seseli Peloponnesiaco. De tordylo : id est Cretico seseli	Enarratio 59, 60, 61. De sisone sive sinno herba (sison, sinnon, sinnus herba)
314	De aniso (anisum / anis)	Enarratio 63
314	De caro (karon, carum, careum, carvi / des carottes)	Enarratio 64
315	De anetho (anethum / anet)	Enarratio 65
315	De cymino (cyminum, cuminum / cumin)	Enarratio 66
315	De cymino rustico (cyminum sylvestre, cyminum rusticum, cuminum sylvestre / cumin saulvage)	Enarratio 67
316	De semine ammi dicto (ammi, semen ammeos, cyminum Aethiopicum)	Enarratio 68
316	De coriandro (corianum, coriandrum / coriandre)	Enarratio 69
318	De hieraceo maiori (hieraceum maius, lactuca erratica)	Enarratio 70
318	De hieraceo minore (hieraceum minus, lactuca erratica)	Enarratio 71
319	De apio sativo (apium hortense, apium sativum, petroselinum vulgare / du persil cultive)	Enarratio 72
319	De palustri apio (eleoselinum, palustre petroselinum / persil de leau)	Enarratio 73
320	De oreoselino (oreoselinum, montanum apium / du persil des montaignes)	Enarratio 74
320	De petroselino (petroselinum, apium commune, vulgo apio / delache)	Enarratio 75
320	De hipposelino, quod olus atrum dicitur (hipposelinon, olus atrum, grana de apium, livisticum / levesse, ou livesche)	Enarratio 76
321	De smyrnio (smyrnion, apium Macedonicum / apio macedonico, du persil macedoine)	Enarratio 77
322	De elaphobosco, id est, cervorum pabulo (elaphoboscum, pabulum cervorum, cerviocellum)	Enarratio 78
323	De foeniculo (marathrum, foeniculum / du fenouil). De sylvestri sive erratico foeniculo (sylvestre foeniculum)	Enarratio 79
323	80. De dauco (daucus / carote saulvage, ou panet saulvage)	Enarratio 81
324	De delphinio (delphinium herba)	Enarratio 82
328	De pyrethro (pyrethrum / pied dalexandri, ou pied de lisandre)	Enarratio 83
328	De libanotide, id est rosmarino (libanotis, rosmarinus / rosmarin). De canchry (canchrys, fructus libanotidis). De rosmarino coronaria (rosmarinus coronaria)	Enarratio 84
328	85. 86	
329	De sphondylio (sphondylium, spondylion, verticillaris herba, rutinalis herba)	Enarratio 87
330	De ferula (ferula / ferula)	Enarratio 88
330	De peucedano (peucedanum, foeniculum porcinum)	Enarratio 89
331	De melanthio (melanthium, nigella, gito, aliud piper / nielle ortelana)	Enarratio 90
331	De laserpitio (silphium, laserpitium planta, laser, liquor Cyrenaicus, assa odorifera, belzuinum, belzuinum bonum / belzoino). Succus silphij in Syria nascentis (succus Syriacus, succus medicus, liquor Syriacus, liquor medicus : assa foetida, stercus diaboli, vulgo, assa fetida)	Enarratio 91, 92
333	De sagapeno (sagapenum, serapinum : vulgo serapino)	Enarratio 93
334	De euphorbio (euphorbium / euforbio)	Enarratio 94
335	De chalbano (chalbanes, chalbanum, galbanum : vulgo, galbano)	Enarratio 95
335	De ammoniaco (ammoniacum, armoniacum : vulgo, armoniaco)	Enarratio 96
335	De sarcocolla (sarcocolla, carnem glutinans)	Enarratio 97
336	De glaucio (glaveium, memitha, succus herbae Syriacae)	Enarratio 98
336	De glutino (glutinum, ligni glutinum, taurocolla / colla)	Enarratio 99
337	De glutine piscium (ichthyocolla, piscium gluten / colla du poysons)	Enarratio 100
337	De visco (viscum / vischio)	Enarratio 101
338	De aparine (aparine, philanthropos, rubea sylvestris, aspergula / grateron)	Enarratio 102
338	De alysso (alysson, rubea minor / garance petite)	Enarratio 103
339	De Asclepiade herba (Asclepias)	Enarratio 104
339	De atractylide (atractylis, fusus agrestis, colus rustica, agrestis cnicus, cartamus sylvestris, carduus benedictus / cardon benoit)	Enarratio 105
340	De polycnemone (polycnemon)	Enarratio 106
341	De clinopodio (clinopodium, pes lecti, montanum pulegium)	Enarratio 107
341	De leontopetalo (leontopetalon, pata leonis)	Enarratio 108
341	De teucrio (teucrion, pimpinella)	Enarratio 109
342	De chamaedry (chamaedrys, trixago, infina quercus herba / petit chesne, vel chesnette)	Enarratio 110
342	De leucade (leucas, atriplex rustica)	Enarratio 111
343	De lychnide (lychnis, bellaria, lychnis coronaria). De lychnide agresti (lychnis agrestis)	Enarratio 112
343	113. De lilio (crinon, lilium, lilium album, regius flos, iunonis rosa / lisso, fleur du lisso)	Enarratio 114
344	De ballote (ballote, marrubium nigrum, marrubium foetidum / du marrubin noir)	Enarratio 115
344	De melissophyllo (melissa citrago, herba citraria, apiastrum / dela melisse)	Enarratio 116
345	De marrubio (prasium marrubium / du marrubino)	Enarratio 117
345	De stachy (stachys, herba odoratissima)	Enarratio 118
346	De phyllitide (phyllitis, lingua cervina / langue de cerf)	Enarratio 119
347	De phalangio (phalangium)	Enarratio 120
347	De triphyllo (trifolium, trifolium bituminosum, oxytriphyllon, trifolium pratense, menyanthes)	Enarratio 121
348	De polio (polium, polium montanum / polio montano)	Enarratio 122
349	De scordio (scordium, trixago aquatica, palustris trixago, herba alliaria / de la germandree)	Enarratio 123
349	De tussilagine (bechion, tussilago, farfara, farfarella / patte a cheval)	Enarratio 124
350	De artemisia (artemisia, valentina herba / de larmoise). Secunda tenuior artemisia (tenuior artemisia, matricaria / de lespargoute)	Enarratio 125
350	De ambrosia (ambrosia, tanacetum / tageten)	Enarratio 126
351	De botry (botrys)	Enarratio 127
351	De geranio (geranium, gruaria herba, rostrum ciconiae, rostrum gruis, primum geranium / rostro di cicongie)	Enarratio 128
352	De gnaphalio (gnaphalium, tomentum, centum culus, centumcularis herba)	Enarratio 129
352	De typha (typha / marteau)	Enarratio 130
353	De circaea (circaea)	Enarratio 131
353	De oenanthe (oenanthe, filipendula, saxifraga rubea / filipendula)	Enarratio 132
354	De conyza (conyza, pulicaria)	Enarratio 133
354	De hemerocalli (sylvestre lilium, lilium pallidum / lis gaulne)	Enarratio 134
355	De violis leucois dictis (leucoion, viola alba, viola matronalis, arabice, keiri / du keiri)	Enarratio 135
355	De crataeogono (crataeogonos)	Enarratio 136
356	De folio herba (phyllon, folium)	Enarratio 137
356	De orchi (testiculus canis). Alter testiculus canis (alter testiculus canis)	Enarratio 138,139
357	De satyrio trifolio dicto (satyrion triumfoliorum, satyrion triphyllon). De altero satyrio (satyrium alterum, molorticulum veneris)	Enarratio 140
357	141. De orminio (orminum, scarlea, sclarea, matri salvia, herba Sancti Ioannis, galli crista, gallitricum, centrum galli / de la tutebone, vel orvale)	Enarratio 142
358	De hedysaro (securidaca, pelecinus)	Enarratio 143
358	De onosma (onosma)	Enarratio 144
358	De nymphaea (nymphaea alba, nenuphar album / blanc de eau). De altera nymphaea altera nymphaea, lutea nymphaea, nenuphar luteum / iaulne de leau)	Enarratio 145, 146
359	De androsace (androsaces)	Enarratio 147
360	De asplenio, sive scolopendrio (asplenium, splenium, scolopendrium, scolopendria herba, caeterach / ceterach)	Enarratio 147
360	De hemionitide (hemonitis, species phyllitidis, species linguae cervinae)	Enarratio 149
360	De amhyllide (amhyllis, herba vitri, kalt / soda)	Enarratio 150
361	De anthemide (anthemis, chamomilla, chamaemalum / della camomille)	Enarratio 151
362	De parthenio (parthenium, cotula foetida, amaracus foetida / cotula fetida)	Enarratio 152
362	De buphthalmo (buphthalmus, bovis oculus, cappacorania, crispula herba / oeil de boeuf)	Enarratio 153
363	De paeonia (glycysida, paeonia)	Enarratio 154
363	De lithospermo (lithospermon, lachryma, lachryma Mariae)	Enarratio 155
364	De phalaride (phalaris, milium solis / milium solis)	Enarratio 156
364	De erythrodano (rubia tinctorum, rubia passiva / carance)	Enarratio 157
365	De lonchitide (lonchitis, lanceola). De altera lonchitide (altera lonchitis, altera lanceola)	Enarratio 158
365	159. De althaea (althaea, agrestis malva, hibiscus, medica herba, malvaviscus / guimmauves)	Enarratio 160
366	De alcea (alcaea, herba ungarica, herba Simeonis, silvestris malva / guimauve sauvaige, ou rustique)	Enarratio 161
366	De cannabi sativa (cannabis sativa / du chanvre). De cannabi sylvestri	Enarratio  162. 163
367	De anagyri (anagyris arbor)	Enarratio 164
367	De cepaea (cepaea herba)	Enarratio 165
367	De alismate (alisma, damasonium, barba sylvana, plantago aquatica, fistula pastoris / plantain aquatique)	Enarratio 166
368	De onobrychi (onobrychis, opaia)	Enarratio 167
368	De hyperico (hypericum, milleperforata, fuga demonum, perforata / millepertuis)	Enarratio 68
369	De ascyro (ascyron, herba hircina)	Enarratio 169
370	De androsaemo (androsaemum, hyperici species)	Enarratio 170
370	De cori (coris, altera species hyperici)	Enarratio 171
370	De chamaepity (chamaepitys, humilis pinus, infima pinus, aiuga, abiga, ibiga, iva arihetica / ive). De altera chamaepity (altera chamaepitys, iva moschata)	Enarratio 172, 173
372	In Dioscoridis Anazarbei de medica materia, librum quartum, enarrationes doctoris Amati Lusitani medici in Italia celebratissimi. De betonica (cestron, betonica, psychotrophon, vetonica, serratula / betoine, ou de la betosne)	Enarratio capitis primi
373	De britannica (britannica, bistorta). Secunda bistorta (heptaphyllon, septemfolium, bistorta secunda, tormentilla)	Enarratio capitis secundi
374	De lysimachia (lysimachia, salicaria)	Enarratio 3
375	De polygono masculo (polygonon centinodia, centumnodia, seminalis herba, corrigiola, proserpinaca, sanguinaria, sanguinalis / herba des innocens). De polygono foemina (polygonon foemina, sanguinalis foemina, sanguinaria, corrigiola foemina, entinodia foemina)	Enarratio 4
375	5. De polygonato (polygonatum, geniculata fraxinella, secacul, sigillum salamonis, sigillum Mariae / signet de Salomon)	Enarratio 6
376	De clematide (clematis, vincapervinca / du liseron)	Enarratio 7
376	De altera clematide (altera clematis, ambuxum, flammula)	Enarratio 8
377	De polemonio (polemonium, ruta capraria / ruta capraria)	Enarratio 9
377	De symphyto petraeo (symphytum petraeum, consolida / bugle)	Enarratio 10
378	De altero symphyto (symphytum alterum, consolida maior, alum, solidago / de la consyre)	Enarratio 11
379	De holosteo (holosteon, canis denticulum, gramen molle)	Enarratio 12
379	De stoebe (stoebe, colymbas, phleon)	Enarratio 13
380	De clymeno (clymenus)	Enarratio 14
381	De periclymeno (periclymenos, volucrum maius, mater sylva, vinciboscum / chevrefueille)	Enarratio 15
381	De tribulo (tribulus / triboli). De tribulo aquatico (tribulus aquaticus / triboli aquatici)	Enarratio 16
382	De saxifraga, saxifraga, saxifragia / saxifraga)	Enarratio 17
383	De limonio (limonium, beta sylvestris)	Enarratio 18
383	De lagopo (pes leporinus, lagopus, leporis cummum, herba trinitatis / herba du trinite)	Enarratio 19
384	De medio (medion)	Enarratio 20
384	De epimedio (epimedium, vindicta)	Enarratio 21
385	De xiphio (xiphium, gladiolus)	Enarratio 22
385	De sparganio, sive xiphidio (sparganium, xiphidion, spatula foetida)	Enarratio 23
385	De xyride (xyris, sylvestris irus, gladiolus purpurea / gladiolo du fleur purpureo)	Enarratio 24
386	De anchusa (anchusa / anchusa). De secunda anchusa. De tertia anchusa	Enarratio 25, 26, 27
387	De lycopside (lycopsis, anchusa altera species)	Enarratio 28
387	De echio (echion, alcibiadion, alcibiacum, buglossus sylvestris / bugloso sauvage)	Enarratio 29
388	De ocymastro (ocymoides, philiterium, ocymastrum, ocymum sylvestre, basilicum sylvestre / basilic sauvage)	Enarratio 30
388	De erino, sive echino (erinon, echinos, ocymum aquaticum, basilicum aquaticum / basilic aquatique)	Enarratio 31
389	De gramine (gramen / dent de chien). De calamagrosti (harundinaceum gramen / dent de chien grosse). De gramine parnassi (gramen parnassi montis)	Enarratio 32, 33, 34
391	De sideritide (sideritis, vertemnum, solastrum)	Enarratio 35
392	De sideritide secunda. De syderitide tertia, heraclea dicta	Enarratio 36
392	37. De achillea (achillea, supercilium veneris)	Enarratio 38
392	De rubo (rubus, sentis rubus / des ronces)	Enarratio 39
393	De rubo idaeo (rubus idaeus, sentis idaeus / ung framboisier)	Enarratio 40
394	De helxine (helxine, parthenium, parietaria, herba muralis, herba urceolaris, herba vitri, perditium / paritoire)	Enarratio 41
394	De helxine syssampelo (helxine syssampelos, vitis hederacea, convolvolum parvum, volubilis parva / liz et vel lizeron, aut campanette)	Enarratio 42
395	De elatine (elatine)	Enarratio 43
395	De eupatorio (eupatorium, agrimonium, agrimonia / delempatoire ou aigremonie)	Enarratio 44
396	De pentaphyllo (pentaphyllon, qninque folium / quinte fueille)	Enarratio 45
396	De phoenice herba (herba phoenix, bordeum murinum, lolium murinum, avena sterilis / yvraie sauvage)	Enarratio 46
397	De idaea radice (idaea radix, radix e monte Idae)	Enarratio 47
397	De Rhodia radice (radix Rhodia)	Enarratio 48
398	De hippuri, equiseto herba (hippuris, equisetum herba, salix equina, cauda equina, equi cauda / prela). De altera hippuri (altera hippuris, altera cauda equina / prela aultra)	Enarratio 49, 50
399	De grano quod tingendo est (coccus baphicus, granum infectorium, grana infectoria / vermel)	Enarratio 51
400	De tragio frutice (tragium)	Enarratio 52
400	De alio tragio frutice (aliud tragium, cornulaca)	Enarratio 53
400	De trago, sive trabo (tragus, tragus scorpion, kali herba / soda)	Enarratio 54
401	De iunco (iuncus, acuminatus iuncus, levis iuncus / iunce)	Enarratio 55
401	De lichene (lichen, iecoraria, hepatica / hepatica)	Enarratio 56
402	De paronychia (paronychia, unguinalis herba)	Enarratio 57
402	De chrysocome herba (chrysocome, chrysites, barba Iovis, amaran thus vulgaris / fleur de amurs)	Enarratio 58
403	De chrysogono (chrysogonon, arilaria)	Enarratio 59
403	De Helio chryso (Helio chrysos, amaranthus, Galeni amaranthus luteus, amaranthus aureus, sthoechas citrina / stichados citrina)	Enarratio 60
403	De chrysanthemo (chrysanthemum, caltha, calendula, solis sponsa, herba totius mensis / du soulzilz)	Enarratio 61
404	De agerato (ageratum, nunquam senescés flos, eupatorium mesues)	Enarratio 62
404	De verbenaca recta (peristerreon recta, verbenaca recta, verbenaca masculus, crista gallinacea / vervaine). De verbeneca supina (peristereon supina, verbenaca supina, verbenaca foemina, hierobotane, herba sacra, cincimalis herba)	Enarratio 63, 64
405	De astragalo (astragalus, muris cauda radix)	Enarratio 65
405	De hyacintho (hyacinthus / hyacintho)	Enarratio 66
406	De papavere erratico (mecon rhoeas, papavere erraticum, papaver rubrum / du coquelicoq)	Enarratio 67
407	De sativo papavere (sativum papaver, alterum papaver album, alterum papaver nigrum / du pavoth bianche e noiro)	Enarratio 68
408	De corniculari papavere (papaver cornutum, corniculare papaver, fabiolum marinum / du pavoth marine)	Enarratio 69
409	De spumeo papavere (spumeum papaver, Heraclium papaver, Herculeum papaver)	Enarratio 70
409	De hypecoo herba (hypecoon, hypecoum)	Enarratio 71
409	De hyoscyamo (hyoscyamus, iusquiamus, Appollinaris herba, altercum / iusquiamo)	Enarratio 72
410	De psyllio (psyllium, pulicaris herba / herbe apuces)	Enarratio 73
410	De solano (strychnon, solanum esculentum, solatrum hortense, herba Maura / morelle)	Enarratio 74
411	De solano vesicario (halicacabon, solanum vesicarium, alkakengi / baga nauldes)	Enarratio 75
411	De solano somnifico (solanum somniferum, vel somnificum, solastrum somniferum, vel dormitorium / morele que fe dormir)	Enarratio 76
412	De solano furioso (furiosum solanum, solatrum furiosum)	Enarratio 77
412	De dorycnio (dorycnium, lunaris herba, lunaria herba, stella terrae / lunaria herba)	Enarratio 78
413	De mandragora (mandragora, pomum terrestre, pomum caninum, circe / mandragore)	Enarratio 79
414	De aconito pardalianche (aconitum interficiens leones, pardos, aconitum interficiens pantheras / aconito)	Enarratio 80
415	De altero aconito (lycoctonon, cynoctonon, alterum aconitum, herba lupos interficiens, luparia herba / luparia herba)	Enarratio 81
417	De cicuta (conion, cicuta / cigue)	Enarratio 82
418	De taxo arbore (smilax arbor, taxus arbor / if)	Enarratio 83
418	De apocyno (apocynon, brassica rustica, brassica canina)	Enarratio 84
418	De nerio (nerion, rhododaphne, rododendrum / rosage, o rosagine)	Enarratio 85
419	De fungis (mycetes, fungus / champignon)	Enarratio 86
419	De colchico ephemero (colchicon ephemerum, ephemerum venenosum, lethale ephemerum, hermodactylus, Mercurii digitus)	Enarratio 87
420	De ephemero (ephemerum, ephemerum non lethale, iris sylvatica, lilium convallium)	Enarratio 88
420	De lente palustri (latme, lenticula palustris, lens aquatica / lentille aquatique)	Enarratio 89
421	De sedo maiori (aizoum maius, sedum maius, sempervivum maius, semperviva maior, barba Iovis / de la ioubarbe, triquemadame). De sedo minori (aizoum minus, sedum minus, sempervivum minus, semperviva minor, faba inversa, faba crassa, crassula herba)	Enarratio 90
421	91. De tertio sedo (aizolon aterum, telephium, portulaca sylvestris, vermicularis herba / pain doyseau)	Enarratio 92
422	De umbilico veneris (cotyledon, acetabulum, umbilicus veneris, cymbalaria / des escudes). De altero umbilico veneris (alterum genus umbilici veneris, cymbalion, alterum acetabulum)	Enarratio 93, 94
423	De urtica (acalephe, urtica / ortie griace)	Enarratio 95
423	De galiopsi (galiopsis, urtica labeo, urtica fatua, urtica foetida / ortie morte)	Enarratio 96
424	De gallio (gallium, lac coagulans herba / florastre, vel petit muguet)	Enarratio 97
424	De senecione herba (erigeron, senecio, herba cruciata / du senesson)	Enarratio 98
425	De thalictro (thalictrum, thalietrum)	Enarratio 99
425	De musco marino (bryon thalassion, muscus marinus, corallina / corallina)	Enarratio 100
426	De marina alga (phycon thalattion, marina alga / alga marine)	Enarratio 101
426	De potamogetone (potamogeton, fontinalis herba, pulmonaria herba)	Enarratio 102
426	De stratiote aquatico (stratiotes fluviatilis, stratiotes aquaticus)	Enarratio 103
427	De stratiote, millefolia dicta herba (stratiotes millefolia herba, millefolium / mille fueille)	Enarratio 104
427	De verbasco (phlomos, verbascum, thapsus barbatus)	Enarratio 105
428	De Aethiopide herba (Aethiopides herba)	Enarratio 106
428	De arctio (arctium)	Enarratio 107
428	De personacia (arcium aliud, personacia, philanthropos, lappa maior, bardana / gletteron, ou glouteron)	Enarratio 108
429	De petasite (petasites)	Enarratio 109
429	De epipactide sive elleborine (epipactis, elleborines, elleborina)	Enarratio 110
429	De fumaria herba (capnos, fumaria herba, fumus terrae / fumeterre ou pied de geline)	Enarratio 111
430	De sativa loto (lotos domestica, sativa lotos, trifolium sativum, oxytriphyllon, acetosum trifolium, panis cuculi, alleluya, trifolium acetosum, oxys / trefle acetoso, vel pain a coquu)	Enarratio 112
431	De sylvestri loto (lotos sylvestris, trifolium sylvestre, falsum melilotum / meliloto)	Enarratio 113
431	De cytiso (cytisus, trifolium odoratum, herba maura, herba flaura, planta leonis / trefle odore)	Enarratio 114
432	De loto Aegyptia (lotus Aegyptia)	Enarratio 115
432	De myriophyllo (myriophyllon, millefolium aquaticum)	Enarratio 116
432	De myrrhide, herba (myrrhis, cicutaria)	Enarratio 117
432	De myagro (myagros, melampyron, triticum nigrum / camelina, camanina)	Enarratio 118
433	De oenagra (oenagra, onagra herba)	Enarratio 119
433	De cirsio (cirsion, buglossa, buglossus, lingus bovis / langue du beuf)	Enarratio 120
433	De astere attico (aster atticus, inguinalis herba, inguinaria, bubomum, alibium, stellaria herba)	Enarratio 121
434	De isopyro (isopyron herba)	Enarratio 122
434	De viola purpurea (ion porphyrion, viola purpurea / violette de Mars)	Enarratio 123
435	De cacalia herba (cacalia)	Enarratio 124
435	De bunio (bunion, napum, scopa regia)	Enarratio 125
435	De pseudobunio (pseudobunion, falsum bunium, mendosum bunium)	Enarratio 126
436	De chamaecysso (chamaecyssos, terrestris hedera, terrestris herba)	Enarratio 127
436	De chamaeleuce (chamaeleuce, chamaepeuce)	Enarratio 128
436	De buglosso (buglossus, borrago / bourrache, ou bourroche)	Enarratio 129
437	De cynoglossa (cynoglossa, canis lingua, lingua canina / langue de chien)	Enarratio 130
437	De phyteumate (phyteuma)	Enarratio 131
437	De leontopodio (leontopodion)	Enarratio 132
437	De hippoglosso (hippoglossus, hippoglossidion, uvularia, pagana lingua, bonifacia, bislingua absque fructu, laurus Alexandrina sterilis, laurus Alexandrina foemina)	Enarratio 133
438	De antirrhino (antirrhinon, anarrhinon, burranion, caput vitulinum, bubulum caput, oculus cati / moron violet)	Enarratio 134
439	De catanance (catanance, unguis milvinus)	Enarratio 135
439	De tripolo (tripolium, serapionis turbit)	Enarratio 136
439	De adianto (adianton, capillus veneris, coriandrum aquaticum, cincinnalis herba / capillo veneris)	Enarratio 137
440	De trichomane (trichomanes, polytrichum, callitrichum / du polytricon)	Enarratio 138
441	De xanthio (xanthium, lappa minor / grapellas)	Enarratio 139
441	De aegilope (aegilops, avena quaedam sylvestris)	Enarratio 140
441	De bromo (bromos, avena sylvestris / avoyne sauvage)	Enarratio 141
442	De glauce (glaux)	Enarratio 142
442	De polygalo (polygalum)	Enarratio 143
442	De osyride (urinalis herba, imaria herba, linosa herba / linaria herba)	Enarratio 144
443	De smilace aspera (smilax aspera, hedera cilissa, volubilis spinosa / du liere des ronches)	Enarratio 145
444	De smilace leni (smilax lenis, smilax sine aculeis, convolvulus maior, volubilis maior / fasecles, vel liset maior)	Enarratio 146
444	De rusco (oxymyrsine, ruscus, sylvestris myrtus / brusco)	Enarratio 147
444	De lauro alexandrina (daphne alexandrea, daphne idaea, laurus alexandrina herba, laurus alexandrina masculus, laurus alexandrina fructifera, uvularis / lauro alexandrino)	Enarratio 148
445	De daphnoide (daphnoides, laureola herba / de la laureolle). De chamaedaphne (chamaedaphne, humilis laurus, terrestris laurus)	Enarratio 149, 150
446	De helleboro al bo (helleborus albus, veratrum album / ellebore blanche). De helleboro nigro (helleborus niger, veratrum nigrum, melampodium / ellebore noire)	Enarratio 151, 152
448	De sesamoide magno (sesamoides magnum). De sesamoide minori (sesamoides minus)	Enarratio 153
448	154. De sylvestri cucumere (sicyos agrios, cucumis agrestis, cucumer agrestis, cucumis anguinus, sylvestris / concombre sauvage). De succo cucumeris sylvestris (elaterium)	Enarratio 155
449	De staphide agria (staphis agria, herba pedicularis, pedicularia herba, uva agrestis staphusaria / de le estaphisagrie, ou le herbe au poulx)	Enarratio 156
450	De thapsia (thapsia / thapsia)	Enarratio 157
450	De sparto (spartum, genista / du genet)	Enarratio 158
451	De silybo (silybum)	Enarratio 159
451	De glande unguentaria (balanos myrepsica, myro balanus, glans unguentaria)	Enarratio 160
452	De narcisso (narcissus)	Enarratio 161
453	De hippophaë herba (hippophaës, lappago)	Enarratio 162
453	De hippophaesto herba (hippophaeston)	Enarratio 163
453	De ricino (ricinus, croton, cataputia maior, cherva maior, granum regum , palma Christi / palma Christi herba)	Enarratio 164
454	De septem titymali generibus (tithymalum, lactaria herba / herbe a laict, vel du tithimale)	Enarratio 165
455	De pityusa (pityusa, turbit nigrum, alsebram maius, esula maior)	Enarratio 166
455	De lathyri (lathyris, cataputtia minor / espurge)	Enarratio 167
456	De peplo (peplum, esuda rotunda / reveille matin des vignes)	Enarratio 168
456	De peplio (peplion, peplis)	Enarratio 169
456	De chamaesyce (chamaesyce, peplum minus, ficus terrestris)	Enarratio 170
457	De scammonia (scammonion, scammonia, colophonium)	Enarratio 171
458	De chamaelaea (oleastellum, mezereon, chamaelaea, leo terrae)	Enarratio 172
458	De thymelaea (thymelaea / thymelea)	Enarratio 173
459	De sambuco (sambucus, sabucus / sus, du suin). De ebulo (chamaeacte, ebulus, humilis sambucus / hyeblu)	Enarratio 174
460	De pycnocomo (pycnocomum)	Enarratio 175
460	De apio herba (radix sylvestris, apios / une rave sauvage)	Enarratio 176
460	De colocynthide (colocynthis, cucurbita sylvestris, coloquintida / des coloquintes)	Enarratio 177
461	De epithymo (epithymum, flos thymi / epithimo). De altero epithymo (cuscuta, cassuta, podagra lini, linodera, amplexi caulis, herba capillaris / cuscuta)	Enarratio 178
462	De alypo (alypon, alypia, turbit album, turbit orientale)	Enarratio 179
462	De empetro (empetron, calcifraga)	Enarratio 180
463	De sylvestri vite (vitis sylvestris)	Enarratio 181
463	De vite alba (ampelos leuce, vitis alba, bryonia / du feu ardant, de la couleuree)	Enarratio 182
464	De vite nigra (ampelos melaena, vitis nigra, uva tamminia / espece de coleure, ayant les racines et sementz noirs)	Enarratio 183
464	De filice (pteris, filix, filix masculus / feuchiere). De filice foemina (thelypteris, foemina filix / ut supra)	Enarratio 184, 184
465	De polypodio (polypodium, filicula / du polypode)	Enarratio 186
465	De dryopteri (dryopteris, filix quercus, filix quercina / feuchiere du chesne)	Enarratio 187
466	De cnico (cnicos, cartamus, crocus sylvestris / saffran saulvaige)	Enarratio 188
466	De mercuriali (linozotis, mercurialis / mercuriale)	Enarratio 189
467	De cynocrambe (cynocrambe, canina brassica, mercurialis canina / mercurielle du chien)	Enarratio 190
467	De heliotropio maiori (heliotropium maius, herba cancri, solaris herba, scorpiurus herba, verrucaria maior / verruaria). De heliotropio minori (heliotropium minus, solaris minor, verrucaria minor)	Enarratio 191, 192
468	De scorpioide (scorpioides)	Enarratio 193
469	De vite vinifera	Enarratio primi capitis
469	De labrusca	Enarratio 2
469	De uvis	Enarratio 3
470	De uva passa	Enarratio 4
470	De oenanthe	Enarratio 5
470	De omphacio, idest agresta	Enarratio 6
471	De vino	Enarratio 7
472	De vino melitite	Enarratio 8
472	De mulso	Enarratio 9
472	De mulsa sive melicrato	Enarratio 10
473	De aqua	Enarratio 11
473	De aqua maris	Enarratio 12
474	De thalassomelle	Enarratio 13
474	De aceto	Enarratio 14
474	De oxymelite	Enarratio 15
474	De oxalme	Enarratio 16
474	De thymoxalme	Enarratio 17
475	De aceto scillitico	Enarratio 18
475	De vino scillitico	Enarratio 19
475	De vinis aqua marina concinnatis	Enarratio 20
