desmoulins_page	desmoulins_term	desmoulins_book	desmoulins_chapter
638	Du rucs.	4	Chap. CXLI
639	Du laurier alexandrin.	4	Chap. CXLII
640	De la laureole.	4	Chap. CXLIII
640	De la laureole masle.	4	Chap. CXLIIII
641	De l'ellebore blanc.	4	Chap. CXLV
641	De l'ellebore noir.	4	Chap. CXLVI
645	Du grand sesamoides.	4	Chap. CXLVII
645	Du petit sesamoides.	4	Chap. CXLVIII
645	Du concombre sauvage.	4	Chap. CXLIX
647	De l'herbe aux pous.	4	Chap. CL
648	De la thapsie.	4	Chap. CLI
649	Du genest d'Espagne.	4	Chap. CLII
650	De silybum.	4	Chap. CLIII
650	De ben.	4	Chap. CLIIII
653	Du narcisse.	4	Chap. CLV
655	De hippophaes.	4	Chap. CLVI
655	De hippophaestum.	4	Chap. CLVII
656	De la paume-dieu.	4	Chap. CLVIII
656	Des tithymales.	4	Chap. CLIX
660	De pityusa.	4	Chap. CLX
660	De l'espurge.	4	Chap. CLXI
661	De peplus.	4	Chap. CLXII
661	De peplis.	4	Chap. CLXIII
662	De chamaesyce.	4	Chap. CLXIIII
662	De la scammonee.	4	Chap. CLXV
663	De la chamelee.	4	Chap. CLXVI
663	De la thymelee.	4	Chap. CLXVII
664	Du sureau.	4	Chap. CLXVIII
667	De picnocomum.	4	Chap. CLXIX
667	De apios.	4	Chap. CLXX
668	De la coloquinte.	4	Chap. CLXXI
668	De la goutte ou teigne de thym.	4	Chap. CLXXII
671	De alypum.	4	Chap. CLXXIII
671	De empetrum.	4	Chap. CLXXIIII
672	De la vigne sauvage.	4	Chap. CLXXV
672	De la coulevree.	4	Chap. CLXXVI
673	De la coulevree noire.	4	Chap. CLXXVII
675	De la feuchiere masle.	4	Chap. CLXXVIII
675	De la feuchiere femelle.	4	Chap. CLXXIX
676	Du polypode.	4	Chap. CLXXX
677	De la feuchiere de chesne.	4	Chap. CLXXXI
678	Du saffran bastard.	4	Chap. CLXXXII
678	De la mercuriale.	4	Chap. CLXXXIII
679	De la mercuriale sauvage.	4	Chap. CLXXXIIII
680	Du grand heliotropium.	4	Chap. CLXXXV
680	Du petit heliotropium.	4	Chap. CLXXXVI
682	De scorpioides.	4	Chap. CLXXXVIII
689	De la vigne.	5	Chap. I
689	De la vigne sauvage.	5	Chap. II
689	Du raisin.	5	Chap. III
690	De la passerille.	5	Chap. IIII
691	De oenanthe.	5	Chap. V
691	Du verius seché au soleil.	5	Chap. VI
692	De la nature du vin.	5	Chap. VII
694	Du verius.	5	Chap. VIII
694	De la depense.	5	Chap. IX
694	Du vin de lambrusques.	5	Chap. X
695	D'une sorte de vin miellé.	5	Chap. XI
695	Du vin miellé.	5	Chap. XII
695	De l'eau miellee.	5	Chap. XIII
696	De l'eau.	5	Chap. XIIII
697	De l'eau marine.	5	Chap. XV
697	De l'eau marine miellee.	5	Chap. XVI
697	Du vinaigre.	5	Chap. XVII
698	Du vinaigre mielle.	5	Chap. XVIII
698	De la saumure aigre.	5	Chap. XIX
698	De thymoxalme.	5	Chap. XX
698	Du vinaigre scillitic.	5	Chap. XXI
699	Du vin scillitic.	5	Chap. XXII
699	Des vins composez d'eau marine.	5	Chap. XXIII
700	Du vin de coings.	5	Chap. XXIIII
700	De hydromelum.	5	Chap. XXV
700	Du vertus mielle.	5	Chap. XXVI
700	Du vin de poires.	5	Chap. XXVII
700	Du vin oenanthin.	5	Chap. XXVIII
700	Du vin de grenades.	5	Chap. XXIX
700	Du vin rosat.	5	Chap. XXX
700	Du vin de grains de meurte.	5	Chap. XXXI
701	Du vin de meurte.	5	Chap. XXXII
701	Du vin de lentisque et de terebinthe.	5	Chap. XXXIII
701	Du vin de dattes	5	Chap. XXXIIII
701	Du vin de figues seches.	5	Chap. XXXV
701	Du vin de resine.	5	Chap. XXXVI
701	Du vin de pommes de pin.	5	Chap. XXXVII
701	Du vin de cedre, et queleques autres arbres et fruits.	5	Chap. XXXVIII
702	Du vin poissé.	5	Chap. XXXIX
702	Du vin d'absinthe.	5	Chap. XL
702	Du vin d'hyssope.	5	Chap. XLI
702	Des vins composez de diverses plantes.	5	Chap. XLII
702	Du vin aromatique.	5	Chap. XLIII
703	Des vins composez de diverses drogues.	5	Chapitre XLIIII
703	Des vins composez de plusieurs herbes.	5	Chapitre XLV
704	De la cadmie.	5	Chap. XLVI
705	De pompholyx, spodium, antispodium.	5	Chapitre XLVI
707	De l'erain brulé.	5	Chap. XLVII
707	De la fleur d'erain.	5	Chap. XLVIII
708	De l'escaille d'erain.	5	Chap. XLIX
708	De l'escaille d'acier.	5	Chap. L
709	Du verdegris.	5	Chap. LI
710	Du verdegris scolecien.	5	Chap. LII
710	De la rouillure de fer.	5	Chap. LIII
710	De la merde de fer.	5	Chap. LIIII
711	Du plomb lavé.	5	Chap. LV
711	Du plomb brulé.	5	Chap. LVI
711	De l'ecume de plomb.	5	Chap. LVII
711	De la pierre plombiere.	5	Chap. LVIII
712	De l'antimoine.	5	Chap. LIX
714	De la plombagine.	5	Chap. LX
715	De l'escume d'argent.	5	Chap. LXI
715	De la litharge.	5	Chap. LXII
716	De la ceruse.	5	Chap. LXIII
717	Du borras.	5	Chap. LXIIII
717	De la pierre d'Armenie.	5	Chap. LXV
719	De la pierre d'azur.	5	Chap. LXVI
719	De l'Inde.	5	Chap. LXVII
720	De l'ochre.	5	Chap. LXVIII
720	Du cinabre.	5	Chap. LXIX
722	De l'argent vif.	5	Chap. LXX
723	De la rubrique sinopique.	5	Chap. LXXI
724	De la croye rouge.	5	Chap. LXXII
724	De la terre seellee.	5	Chap. LXXIII
727	Du vitriol.	5	Chap. LXXIIII
729	De chalcitis.	5	Chap. LXXV
729	De misy.	5	Chap. LXXVI
729	De melanteria.	5	Chap. LXXVII
729	Du sory.	5	Chap. LXXVIII
731	De diphryges.	5	Chap. LXXIX
731	De l'orpiment.	5	Chap. LXXX
731	De la sandarache.	5	Chap. LXXXI
732	De l'alum.	5	Chap. LXXXII
734	Du souffre.	5	Chap. LXXXIII
735	De la pierreponce.	5	Chap. LXXXIIII
735	Du sel.	5	Chap. LXXXV
736	De l'escume de sel.	5	Chap. LXXXVI
736	De la saumure.	5	Chap. LXXXVII
736	De la fleur du sel.	5	Chap. LXXXVIII
738	Du nitre et ecume de nitre.	5	Chap. LXXXIX
739	De la lye.	5	Chap. XC.
739	De la chaux vive.	5	Chap. XCI
739	Du plastre.	5	Chap. XCII
740	Des cendres de sarments.	5	Chap. XCIII
740	De alcyonium.	5	Chap. XCIIII
741	De adarce.	5	Chap. XCV
741	Des esponges.	5	Chap. XCVI
742	Du corail.	5	Chap. XCVII
743	De la pierre phrygienne.	5	Chap. XCVIII
743	De la pierre d'Asso ou assienne.	5	Chap. XCIX
744	De la marchassite.	5	Chap. C
745	De la pierre hematite.	5	Chap. CI
745	De la pierre scissille.	5	Chap. CII
746	De la pierre gagate.	5	Chap. CIII
747	De la pierre thracienne.	5	Chap. CIIII
747	De la pierre d'aymant.	5	Chap. CV
748	De la pierre arabique.	5	Chap. CVI
748	De la pierre de laict.	5	Chap. CVII
748	De la pierre melitite.	5	Chap. CVIII
748	De la pierre morochthus.	5	Chap. CIX
749	De l'alabastre.	5	Chap. CX
749	De la pierre thyite.	5	Chap. CXI
749	De la pierre iudaique.	5	Chap. CXII
750	De la pierre amiantus ou alum de plume.	5	Chapitre CXIII
750	Du sapphir.	5	Chap. CXIIII
750	De la pierre memphites.	5	Chap. CXV
751	De la pierre selenite.	5	Chap. CXVI
751	Du iaspe.	5	Chap. CXVII
752	De la pierre d'aigle.	5	Chap. CXVIII
752	De la pierre serpentine.	5	Chap. CXIX
752	Des pierres des esponges.	5	Chap. CXX
752	De la colle des pierres.	5	Chap. CXXI
753	De la pierre ostracite.	5	Chap. CXXII
753	De l'emeri.	5	Chap. CXXIII
753	Du sable du rivage de mer.	5	Chap. CXXIIII
753	De la pierre naxienne.	5	Chap. CXXV
753	De la pierre geodes.	5	Chap. CXXVI
753	De toute terre en general.	5	Chap. CXXVII
753	De la terre eretrienne.	5	Chap. CXXVIII
754	De la terre Samienne	5	Chap. CXXIX
754	De la pierre Samienne	5	Chap. CXXX
754	De la terre de Chio	5	Chap. CXXXI
754	De la terre Selinusienne	5	Chap. CXXXII
754	De la terre Cimolie	5	Chap. CXXXIII
754	De la terre pnigite	5	Chap. CXXXIIII
754	Des tez des fourneaux	5	Chap. CXXXV
754	De la terre fourneaux	5	Chap. CXXXVI
755	De la terre melienne.	5	Chap. CXXXVII
755	De la terre ampelite.	5	Chap. CXXXVIII
755	De la suye des peintres.	5	Chap. CXXXIX
755	De l'encre a ecrire.	5	Chap. CXL
