laguna_scan_id	laguna_book	laguna_page	laguna_chapter	laguna_title	laguna_iiif
96	Libro primero	84	Cap CXI	De las Pastillas de Rosas	
97	Libro primero	85	Cap CXII	Del Lycio	
98	Libro primero	86	Cap CXIII	De la Acacia	
100	Libro primero	88	Cap CXIIII	Del Agno	
101	Libro primero	89	Cap CXV	Del Sauz	
101	Libro primero	89	Cap CXVI	Del Olivo faluage, y domestico	
102	Libro primero	90	Cap CXVII	De las Azeytunas faladas, y conseruadas en escaueche a adobo	
103	Libro primero	91	Cap CXVIII	Del Azeyte de las Azeytunas saluages	
103	Libro primero	91	Cap CXIX	De la Goma del Olivo Ethiopico	
103	Libro primero	91	Cap CXX	De l'Amurca de las Azeytunas	
103	Libro primero	91	Cap CXXI	Del Roble, de la Bellota, de la Haya, y dela Enzina	
105	Libro primero	93	Cap CXXII	Delas Castanas	
106	Libro primero	94	Cap CXXIII	Del Agalla	
107	Libro primero	95	Cap CXXIIII	Del Rhu	
108	Libro primero	96	Cap CXXV	De la palma	
108	Libro primero	96	Cap CXXVI	De la Palma Ilamada Elate	
109	Libro primero	97	Cap CXXVII	De la Granada	
111	Libro primero	99	Cap CXXVIII	Del Arrayhan, y myrtidano	
112	Libro primero	100	Cap CXXIX	De las Cerezas	
113	Libro primero	101	Cap CXXX	De las Algarrouas	
113	Libro primero	101	Cap CXXXI	De todo genero de Mançanos	
119	Libro primero	107	Cap CXXXII	De las Peras	
119	Libro primero	107	Cap CXXXIII	Del Mespero	
120	Libro primero	108	Cap CXXXIIII	Del Arbol Ilamado Loto	
121	Libro primero	109	Cap CXXXV	Del Corno	
122	Libro primero	110	Cap CXXXVII	Del Ciruelo	
123	Libro primero	111	Cap CXXXVIII	Del Madrono	
124	Libro primero	112	Cap CXXXIX	De las almendras	
125	Libro primero	113	Cap CXL	Del Alhocigo	
125	Libro primero	113	Cap CXLI	De las Nuezes	
127	Libro primero	115	Cap CXLII	De las Auellanas	
128	Libro primero	116	Cap CXLIII	Del Moral	
129	Libro primero	117	Cap CXLIIII	De la higuera Egyptia, Ilamada Sycomoro en Grigo	
130	Libro primero	118	Cap CXLV	De los Higos, y de la leche de la higueras, y de la lexia de fu ceniza	
133	Libro primero	121	Cap CXLVI	De la persea	
133	Libro primero	121	Cap CXLVII	De la Iberide	
135	Libro secundo	123	Cap I	Del Erizo marino	
135	Libro secundo	123	Cap II	Del Erizo terrestre	
136	Libro secundo	124	Cap III	Del Hippocampo	
137	Libro secundo	125	Cap IIII	De la Purpura, y de la Bozina	
138	Libro secundo	126	Cap V	De los Mitulos	
138	Libro secundo	126	Cap VI	De la Telinas	
138	Libro secundo	126	Cap VII	De las Camas	
139	Libro secundo	127	Cap VIII	De la Una Olorosa	
139	Libro secundo	127	Cap IX	De los Caracoles	
141	Libro secundo	129	Cap X	Del Cangrejo	
141	Libro secundo	129	Cap XI	Del Alacran Terrestre	
143	Libro secundo	131	Cap XII	Del Alacran Marino	
143	Libro secundo	131	Cap XIII	Del dragon Marino	
143	Libro secundo	131	Cap XIIII	De la Scolopendra	
144	Libro secundo	132	Cap XV	De la Torpedo	
144	Libro secundo	132	Cap XVI	De la Biuora	
146	Libro secundo	134	Cap XVII	Del despojo de las serpientes	
146	Libro secundo	134	Cap XVIII	De la liebre marina, y de la terrestre	
147	Libro secundo	135	Cap XIX	De la Pastinaca marina	
148	Libro secundo	136	Cap XX	De la Xibia	
148	Libro secundo	136	Cap XXI	Del pescado Ilamado Mulo	
149	Libro secundo	137	Cap XXII	Del Hippopotamo	
149	Libro secundo	137	Cap XXIII	Del castoreo	
150	Libro secundo	138	Cap XXIIII	De la Comadreja Casera	
151	Libro secundo	139	Cap XXV	De las ranas	
152	Libro secundo	140	Cap XXVI	Del pece Syluro	
153	Libro secundo	141	Cap XXVII	De las Menas	
153	Libro secundo	141	cap XXVIII	Del Gobio	
154	Libro secundo	142	Cap XXIX	Del Atun	
154	Libro secundo	142	cap XXX	Del Garo	
154	Libro secundo	142	Cap XXXI	Del Caldo de los peces	
155	Libro secundo	143	Cap XXXIIII	Del Animalejo Ilamado en Latin Milepeda	
156	Libro secundo	144	Cap XXXVII	De los Pulmones de Algunos Animales	
157	Libro secundo	145	Cap XXXVIII	De los higados de algunos animales	
157	Libro secundo	145	Cap XXXIX	Del Vergajo del Cieruo	
157	Libro secundo	145	Cap XL	De las unas de los Asnos, y de las Cabras	
158	Libro secundo	146	Cap XLI	De los empeynes de los cavallos, en griego dichos Lichenes	
159	Libro secundo	147	Cap XLII	De las suelas de los ça patos viejos	
159	Libro secundo	147	Cap XLIII	De los Gallos de las Gallinas	
160	Libro secundo	148	Cap XLIIII	De los Huevos	
162	Libro secundo	150	Cap XLV	De las Cigarras	
162	Libro secundo	150	Cap XLVI	De las langostas	
162	Libro secundo	150	Cap XLVII	Del paxaro Ilamado Ofsifrago	
163	Libro secundo	151	Cap XLVIII	De la Cugujada	
163	Libro secundo	151	Cap XLIX	De las Golondrinas	
164	Libro secundo	152	Cap L	Del Marfil	
165	Libro secundo	153	Cap LI	Del Carnicol del puerco, Ilamado Astragalo	
166	Libro secundo	154	Cap LII	Del Cuerno del Ciervo	
166	Libro secundo	154	Cap LIII	De las Orugas	
167	Libro secundo	155	Cap LIIII	De las Cantharides, Buprestes, y Orugas de Pino	
168	Libro secundo	156	Cap LV	De la Salamandra	
168	Libro secundo	156	Cap LVI	De la Arana	
169	Libro secundo	157	Cap LVII	De la Lagartija	
170	Libro secundo	158	Cap LVIII	De la sepa	
171	Libro secundo	159	Cap LIX	Del Scinco	
172	Libro secundo	160	Cap LX	De los gufanos de tierra	
172	Libro secundo	160	Cap LXI	Del Mufgano Ilamado mufarana por otro nombre	
173	Libro secundo	161	Cap LXII	De los ratones	
173	Libro secundo	161	Cap LXIII	De la leche	
174	Libro secundo	162	Cap LXIIII	Del Queso	
175	Libro secundo	163	Cap LXV	de la Manteca, y de su hollin	
177	Libro secundo	165	Cap LXVI	De las Lanas, y de la graffa que tienen, Ilamada de los Griegos Oefypo	
179	Libro secundo	167	Cap LXVII	Del Cuajo de algunos animales	
179	Libro secundo	167	Cap LXVIII	De la graffa	
183	Libro secundo	171	Cap LXIX	De la medula, o tuetano de los hueffos	
183	Libro secundo	171	Cap LXX	De la hiel de los animales	
184	Libro secundo	172	Cap LXXI	De la Sangre	
185	Libro secundo	173	Cap LXXII	Del estiercol	
186	Libro secundo	174	Cap LXXIII	De la Orina	
187	Libro secundo	175	Cap LXXIIII	De la Miel	
190	Libro secundo	178	Cap LXXV	De la Cera	
190	Libro secundo	178	Cap LXXVI	Del Betun de las colmenas Ilamado propolis	
192	Libro secundo	180	Cap LXXVII	Del Trigo	
193	Libro secundo	181	Cap LXXVIII	De la Ceuada	
194	Libro secundo	182	Cap LXXIX	Del Zytho, y del Curmi	
195	Libro secundo	183	Cap LXXX	De la Zea	
196	Libro secundo	184	Cap LXXXI	Del Crimno	
196	Libro secundo	184	Cap LXXXII	De la Olyra	
196	Libro secundo	184	Cap LXXXIII	De la Athera	
196	Libro secundo	184	Cap LXXXIIII	Del Trago	
196	Libro secundo	184	Cap LXXXV	De la Aven	
197	Libro secundo	185	Cap LXXXVI	Del Arroz	
197	Libro secundo	185	Cap LXXXVII	Del Condro	
198	Libro secundo	186	Cap LXXXVIII	Del Mijo	
198	Libro secundo	186	Cap LXXXIX	Del Panizo	
199	Libro secundo	187	Cap XC	Del Alegria	
199	Libro secundo	187	Cap XCI	De la Zizania	
200	Libro secundo	188	Cap XCII	Del Almidon, o Amydon	
200	Libro secundo	188	Cap XCIII	De las Alholuas	
201	Libro secundo	189	Cap XCIIII	Del Lino	
202	Libro secundo	190	Cap XCV	De los Garuanços	
203	Libro secundo	191	Cap XCVI	De las Huaus	
203	Libro secundo	191	Cap XCVII	De la haua de Egypto	
204	Libro secundo	192	Cap XCVIII	De las Lentejas	
205	Libro secundo	193	Cap XCIX	De los Phasiolos	
206	Libro secundo	194	Cap C	Del Yeruo	
207	Libro secundo	159	Cap CI	De los Altramuzes	
208	Libro secundo	196	Cap CII	De los Nabos redondos y gressos, y de los nabos saluages	
209	Libro secundo	197	Cap CIII	Del Rauano	
211	Libro secundo	199	Cap CV	Del Sifaro	
211	Libro secundo	199	Cap CVI	Del lapato	
213	Libro secundo	201	Cap CVII	De la lampsana	
213	Libro secundo	201	Cap CVIII	De los bledos	
213	Libro secundo	201	Cap CIX	De las Maluas	
215	Libro secundo	203	Cap CX	De los Armuelles	
215	Libro secundo	203	Cap CXI	De las Verças	
217	Libro secundo	205	Cap CXII	De las Acelgas	
218	Libro secundo	206	Cap CXIII	De las Verdolagas	
219	Libro secundo	207	Cap CXIIII	De los Esparragos	
220	Libro secundo	208	Cap CXV	Del Llanten	
222	Libro secundo	210	Cap CXVI	Del sio	
222	Libro secundo	210	Cap CXVII	Del sysimbrio	
224	Libro secundo	212	Cap CXVIII	Del Crithmo	
224	Libro secundo	212	Cap CXIX	Del Coronopode	
225	Libro secundo	213	Cap CXX	Del sonco	
226	Libro secundo	214	Cap CXXI	De la endivia	
228	Libro secundo	216	Cap CXXII	De la Condrila	
229	Libro secundo	217	Cap CXXIII	De la Calabaça	
229	Libro secundo	217	Cap CXXIIII	Del pepino domestico y de las Badeas	
232	Libro secundo	220	Cap CXXV	De la Lechuga	
234	Libro secundo	222	Cap CXXVI	Del Gingidio	
234	Libro secundo	222	Cap CXXVII	De la Scandice	
235	Libro secundo	223	Cap CXXVIII	De la Caucalide	
235	Libro secundo	223	Cap CXXIX	De la Oruga	
236	Libro secundo	224	Cap CXXX	Del Ocimo	
237	Libro secundo	225	Cap CXXXI	De la Orobanca	
238	Libro secundo	226	Cap CXXXII	De la Barba Cabruna	
238	Libro secundo	226	Cap CXXXIII	Del Ornithogalo	
239	Libro secundo	227	Cap CXXXIIII	De las Turmas de tierra	
239	Libro secundo	227	Cap CXXXV	De la Smilace hortense	
240	Libro secundo	228	Cap CXXXVI	De la medica	
241	Libro secundo	229	Cap CXXXVII	De la Aphaca	
241	Libro secundo	229	Cap CXXXVIII	Del puerro Cabeçudo	
242	Libro secundo	230	Cap CXXXIX	Del puerro saluage, quelos Griegos Ilama ampeloprason	
242	Libro secundo	230	Cap CXL	De la cebolla	
243	Libro secundo	231	Cap CXLI	Del Ajo	
245	Libro secundo	233	Cap CXLII	Del Scorodopraso	
245	Libro secundo	233	Cap CXLIII	De la Mostaza	
246	Libro secundo	234	Cap CXLIIII	Del Mastuerço	
247	Libro secundo	235	Cap CXLV	Del Thlaspi	
248	Libro secundo	236	Cap CXLVII	Del Irion, o erysimo	
249	Libro secundo	237	Cap CXLIII	De la pimienta	
250	Libro secundo	238	Cap CXLIX	Del gengibre	
251	Libro secundo	239	Cap CL	De la pimienta aquatica, Ilamada hydropiper	
251	Libro secundo	239	Cap CLI	De la ptarmica	
252	Libro secundo	240	Cap CLII	De la Yerua Lanaria, en griego Ilamada Struthio	
252	Libro secundo	240	Cap CLIII	Del Cyclamino	
253	Libro secundo	241	Cap CLIIII	Del Otro cyclamino	
254	Libro secundo	242	Cap CLV	De la Dragontea mayor	
255	Libro secundo	243	Cap CLVI	De la Dragontea menor	
255	Libro secundo	243	Cap CLVII	Del Aro	
256	Libro secundo	244	Cap CLVIII	Del Arisaro	
256	Libro secundo	244	Cap CLIX	Del Alphodelo	
258	Libro secundo	246	Cap CLX	Del bulbo bueno comer	
258	Libro secundo	246	Cap CLXI	Del bulbo vomitorio	
259	Libro secundo	247	Cap CLXII	De la scila o cebolla albarrana	
259	Libro secundo	247	Cap CLXIII	Del pancratio o scila menor	
260	Libro secundo	248	Cap CLXIIII	De las Alcaparras	
262	Libro secundo	250	Cap CLXV	Del lepidio	
262	Libro secundo	250	Cap CLXVI	Del Ranunculo	
264	Libro secundo	252	Cap CLVII	De la Anemone	
265	Libro secundo	253	Cap CLXVIII	De la Argemone	
265	Libro secundo	253	Cap CLXIX	De la Anagalide	
267	Libro secundo	255	Cap CLXX	De la yedra	
268	Libro secundo	256	Cap CLXXI	De la Celidonia mayor	
269	Libro secundo	257	Cap CLXXII	De la Celidonia menor	
269	Libro secundo	257	Cap CLXXIII	De la Othona	
270	Libro secundo	258	Cap CLXXIIII	De la Oreja del raton, Ilamada Myos otis	
271	Libro secundo	259	Cap CLXXV	Del glasto domestico	
271	Libro secundo	259	Cap CLXXVI	Del glasto saluage	
272	Libro secundo	260	Cap CLXXVII	Del telephio	
273	Libro tercero	261	Cap I	Del agarico	
274	Libro tercero	262	Cap II	Del Reopontico	
276	Libro tercero	264	Cap III	De la gentiana	
277	Libro tercero	265	Cap IIII	De la Aristoloquia	
278	Libro tercero	266	Cap V	De la Regaliza	
280	Libro tercero	268	Cap VI	De la Centaurea mayor	
280	Libro tercero	268	Cap VII	De la Centaurea menor	
281	Libro tercero	269	Cap VIII	Del camaleon blanco	
282	Libro tercero	270	Cap IX	Del camaleon negro	
283	Libro tercero	271	Cap X	Del crocodilio	
284	Libro tercero	272	Cap XI	Del dipsaco	
284	Libro tercero	272	Cap XII	De la espina blanca	
285	Libro tercero	273	Cap XIII	De la espina arabica	
285	Libro tercero	273	Cap XIIII	Del Cardo	
287	Libro tercero	275	Cap XV	Del Poterio	
287	Libro tercero	275	Cap XVI	Del Acanthio	
288	Libro tercero	276	Cap XVII	Del  Acantho	
288	Libro tercero	276	Cap XVIII	Del Acatho saluage	
288	Libro tercero	276	cap XIX	De la Ononide	
289	Libro tercero	277	Cap XX	De la Leucacanta o blanca espina	
290	Libro tercero	278	Cap XXI	De la tragacanta	
290	Libro tercero	278	Cap XXII	Del Eryngio	
291	Libro tercero	279	Cap XXIII	Del Aloe	
292	Libro tercero	280	Cap XXIIII	Del absinthio	
293	Libro tercero	281	Cap XXV	Del Absinthio marino, Ilamada tambien seriphio	
294	Libro tercero	282	Cap XXVI	Del Absinthio santonico	
294	Libro tercero	282	Cap XXVII	Del Abrotano	
295	Libro tercero	283	Cap XXVIII	Del Hyffopo	
296	Libro tercero	284	Cap XXIX	Del Cantuesso	
297	Libro tercero	285	Cap XXX	Del Oregano	
298	Libro tercero	286	Cap XXXI	Del Oregano cabruno, Ilamado tragorigano e Griego	
299	Libro tercero	287	Cap XXXII	Del Poleo	
299	Libro tercero	287	Cap XXXIII	Del dictamno	
300	Libro tercero	288	Cap XXXIIII	Del dictamno salso, Ilamado speudodisctamno	
300	Libro tercero	288	Cap XXXV	Del otro dictamno candioto	
301	Libro tercero	289	Cap XXXVI	De la Savia	
302	Libro tercero	290	Cap XXXVII	De la yerua buena	
302	Libro tercero	290	Cap XXXVIII	Del Mastranto, Ilamado Mentrasto	
303	Libro tercero	291	Cap XXXIX	De la Calaminta	
304	Libro tercero	292	Cap XL	Del Thymo	
305	Libro tercero	293	Cap XLI	De la Thymbra, Ilamada  en espagnol Axedrea	
306	Libro tercero	294	Cap XLII	Del Serpol	
307	Libro tercero	295	Cap XLIII	De la Maiorana	
307	Libro tercero	295	Cap XLIIII	Del Meliloto	
308	Libro tercero	296	Cap XLV	Del Maro	
308	Libro tercero	296	Cap XLVI	Del Acino	
309	Libro tercero	297	Cap XLVII	De la Bacara	
310	Libro tercero	298	Cap XLVIII	De la ruda	
311	Libro tercero	299	Cap XLIX	De la ruda saluage	
312	Libro tercero	300	Cap L	Del Moly	
312	Libro tercero	300	Cap LI	Del Panace Heraclio	
313	Libro tercero	301	Cap LII	Del Panace Asclepio	
313	Libro tercero	301	cap LIII	Del panace Chironio	
314	Libro tercero	302	Cap LIIII	Del Ligustico	
314	Libro tercero	302	Cap LV	De la Pastinaca	
316	Libro tercero	304	Cap LVI	Del Seseli massiliense	
316	Libro tercero	304	Cap LVII	Del seseli ethiopico	
317	Libro tercero	305	Cap LVIII	Del Seseli peloposense	
317	Libro tercero	305	Cap LIX	Del seseli cretico, Ilamado tordylio	
317	Libro tercero	305	Cap LX	Del sifon	
317	Libro tercero	305	Cap LXI	Del Anis	
318	Libro tercero	306	Cap LXII	Del Alcarouea	
319	Libro tercero	307	Cap LXIII	Del Eneldo	
319	Libro tercero	307	Cap LXIII	Del Comino hortense	
320	Libro tercero	308	Cap LXV	Del comino saluage	
321	Libro tercero	309	Cap LXVI	Del Ammi	
321	Libro tercero	309	Cap LXVII	Del Culantro	
322	Libro tercero	310	Cap LXVIII	Del Hieracio mayor	
322	Libro tercero	310	Cap LXIX	Del Hieracio menor	
323	Libro tercero	311	Cap LXX	Del Apio	
323	Libro tercero	311	Cap LXXI	Del Eleoselino	
323	Libro tercero	311	Cap LXXII	Del apio montano, Ilamado Oreoselino	
324	Libro tercero	312	Cap LXXIII	Del apio que nace en las piedras, Ilamado petroselino	
324	Libro tercero	312	Cap LXXIIII	Del apio cavallar, Ilamado Hipposelino en Griego	
325	Libro tercero	313	Cap LXXV	Del Smyrnio	
327	Libro tercero	315	Cap LXXVI	Del Elaphobosco	
328	Libro tercero	316	Cap LXXVII	Del Hinojo. Del Hinojo saluage, Ilamado Hippomoarathro	
329	Libro tercero	317	Cap LXXVIII	Del Dauco	
330	Libro tercero	318	Cap LXXIX	Del delphinio	
331	Libro tercero	319	Cap LXXX	Del pelitre, Ilamado Pyrethro en Griego	
332	Libro tercero	320	Cap LXXXI	Del Romero	
333	Libro tercero	321	Cap LXXXII	Del Cachry	
333	Libro tercero	321	Cap LXXXIII	Del Romero Coronario	
333	Libro tercero	321	Cap LXXXIIII	Del Sphondylio	
334	Libro tercero	322	Cap LXXXV	De la ferula	
335	Libro tercero	323	Cap LXXXVI	Del Peucedano	
336	Libro tercero	324	Cap LXXXVII	De la Nigela	
337	Libro tercero	325	Cap LXXXVIII	Del Laserpitio	
339	Libro tercero	327	Cap LXXXIX	Del Sagapeno	
339	Libro tercero	327	Cap XC	Del euphorbio	
340	Libro tercero	328	Cap XCI	Del Galbano	
341	Libro tercero	329	Cap XCII	Del Ammoniaco	
341	Libro tercero	329	Cap XCIII	De la Sarcocola	
341	Libro tercero	329	Cap XCIIII	Del Glaucio	
342	Libro tercero	330	Cap XCV	De la Cola	
342	Libro tercero	330	Cap XCVI	De la cola de pescado, Ilamada ichtycola	
342	Libro tercero	330	Cap XCVII	De la liga	
343	Libro tercero	331	Cap XCVIII	Del aparine	
344	Libro tercero	332	Cap XCIX	Del Alysso	
344	Libro tercero	332	Cap C	Del asclepiade	
