mm_id,chapter_key,berendes_term,beck_greek_lemma,wellmann_greek_lemma,matthiolo_greek,ratio_beck_wellmann,ratio_beck_matthiolo
MMK197,2.7,Miesmuschel,μύακες Ποντικοί,μύακες Ποντικοί,Μύακες,1.000,0.571
MMK199,2.9,Chienmuschel,πορφύρας πώματα,πορφύρας πώματα,Χῆμαί,1.000,0.200
MMK201,2.11,Schnecken,κοχλίας χερσαῖος,κοχλίας χερσαῖος,Κοχλίαι,1.000,0.609
MMK202,2.12,Krebse,καρκίνων ποταμίων καέντων ἡ τέφρα,καρκίνων ποταμίων καέντων ἡ τέφρα,Καρκίνοι,1.000,0.390
MMK204,2.14,Seeskorpion,θαλασσίου σκορπίου,θαλασσίου σκορπίου,Σκορπίος θαλάσσιος,1.000,0.500
MMK206,2.16,Skolopender,σκολοπένδρα θαλασσία,σκολοπένδρα θαλασσία,Σκολόπενδρα,1.000,0.710
MMK207,2.17,Zitterrochen,νάρκη θαλασσία,νάρκη θαλασσία,Νάρκη,1.000,0.526
MMK209,2.19,Schlangenhaut,ὄφις,ὄφις,Γῆρας ὄφεος,1.000,0.400
MMK210,2.20,Meerhase,λαγωὸς θαλάσσιος,λαγωὸς θαλάσσιος,Λαγωός θαλάσσιος καὶ χερσαῖος,1.000,0.711
MMK211,2.21,Landhase,τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος,τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος,Περἰ Λαγώον χερσαίον,1.000,0.333
MMK212,2.22,Stechrochen,τρυγόνος θαλασσίας τὸ κέντρον,τρυγόνος θαλασσίας τὸ κέντρον,Τρυγών θαλάσσιος,1.000,0.622
MMK213,2.23,Tintenfisch,σηπίας τὸ μέλαν,σηπίας τὸ μέλαν,Σηπία,1.000,0.500
MMK215,2.25,Hoden des Flusspferdes,ὄρχις ἱπποποτάμου,ὄρχις ἱπποποτάμου,Ἱπποπόταμος,1.000,0.714
MMK216,2.26,Hoden des Bibers,καὶ ὁ τοῦ κάστορος ὄρχις,καὶ ὁ τοῦ κάστορος ὄρχις,Κάστωρ,1.000,0.333
MMK220,2.30,Brasse,σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα,σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα,Σμαρίδες,1.000,0.333
MMK221,2.31,M?na,καὶ ἡ τῆς μαινίδος κεφαλὴ,καὶ ἡ τῆς μαινίδος κεφαλὴ,Μαινίδες,1.000,0.424
MMK223,2.33,Rohe P?kelung,ὠμοτάριχος,ὠμοτάριχος,Θύννος,1.000,0.250
MMK224,2.34,Garum,γάρος,γάρος,Γάῤῥον,1.000,0.727
MMK226,2.36,Wanzen,κόρεις οἱ ἀπὸ κλίνης,κόρεις οἱ ἀπὸ κλίνης,Κόρεις κλινικοί,1.000,0.629
MMK227,2.37,Kubariden,ὄνοι οἱ ὑπὸ τὰς ὑδρίας,ὄνοι οἱ ὑπὸ τὰς ὑδρίας,Ὄνοι,1.000,0.308
MMK230,2.40,Schweinelunge,ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων,ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων,Πνεύμονες,1.000,0.214
MMK231,2.41,Fuchslunge,ἀλώπεκος πνεύμων,ἀλώπεκος πνεύμων,Περἰ Πνεύμονος ἀλώπεκος,1.000,0.410
MMK232,2.42,Eselleber,ἧπαρ ὄνειον,ἧπαρ ὄνειον,Ἥπατα,1.000,0.375
MMK233,2.43,Kurzwildpret des Edelhirsches,αἰδοῖον ἄρρενος ἐλάφου,αἰδοῖον ἄρρενος ἐλάφου,Αἰδοῖον ἐλάφου,1.000,0.778
MMK234,2.44,Eselshufe,ὄνυχες ὄνων,ὄνυχες ὄνων,Ὀνυχες ὄνου καὶ αἰγός,1.000,0.562
MMK236,2.46,Ziegenklauen,οἱ δὲ τῶν αἰγων ὄνύχες,οἱ δὲ τῶν αἰγων ὄνύχες,Περἰ Αἰγω̃ν ὀνύχων,1.000,0.615
MMK237,2.47,Ziegenleber,τοῦ δὲ ἤπατος τῆς αἰγὸς ἰχώρ,τοῦ δὲ ἤπατος τῆς αἰγὸς ἰχώρ,Ἥπατα,1.000,0.303
MMK238,2.48,Leber des Ebers,τὸ δὲ τοῦ κάπρου ἧπαρ,τὸ δὲ τοῦ κάπρου ἧπαρ,Ἥπατα,1.000,0.231
MMK239,2.49,Leber des tollen Hundes,κυνὸς δὲ λυσσῶντος ἧπαρ,κυνὸς δὲ λυσσῶντος ἧπαρ,Ἥπατα,1.000,0.214
MMK240,2.50,Leber des Tauchers,αἰθυίας ἧπαρ,αἰθυίας ἧπαρ,Ἥπατα,1.000,0.353
MMK241,2.51,Sohlleder,κασσυμάτων παλαιὰ δέρματα,κασσυμάτων παλαιὰ δέρματα,Καττύματα,1.000,0.412
MMK242,2.52,H?hner,ἀλεκτορίδες,ἀλεκτορίδες,Ἀλεκτορίδες καὶ ἀλεκτρυόνες,1.000,0.579
MMK244,2.54,Ei,ᾠόν,ᾠόν,Περἰ Ώοῦ,1.000,0.364
MMK248,2.58,Phinis,φήνη,φήνη,Φίνις,1.000,0.444
MMK250,2.60,Schwalbe,χελιδὸνος νεοσσοί,χελιδὸνος νεοσσοί,Χελιδών,1.000,0.500
MMK251,2.61,Elephant,ἐλέφαντος ὀδούς,ἐλέφαντος ὀδούς,Ἐλέφας,1.000,0.571
MMK258,2.68,Spinne,ἀράχνη τὸ ζῷον,ἀράχνη τὸ ζῷον,Ἀράχνη,1.000,0.600
MMK259,2.69,Eidechse,σαύρας ἡ κεφαλὴ,σαύρας ἡ κεφαλὴ,Σαῦρα,1.000,0.500
MMK271,2.81,Butter und der aus ihr bereitete Russ,βούτυρον,βούτυρον,Βούτυρον καὶ αὐτοῦ λιγνύς,1.000,0.485
MMK272,2.82,Wolle,ἔρια οἰσυπηρά,ἔρια οἰσυπηρά,Ἔρια καὶ οἴσυπος,1.000,0.690
MMK274,2.84,Wollfett,οἴσυπος,οἴσυπος,Περἰ Οἰσύπον,1.000,0.632
MMK314,2.124,Bockshornmehl,τέλεως ἄλευρον,τέλεως ἄλευρον,Τῆλις,1.000,0.316
MMK315,2.125,Lein,λινόσπερμον,λινόσπερμον,Λίνον,1.000,0.625
MMK316,2.126,Erbse,ἐρέβινθος ὁ ἥμερος,ἐρέβινθος ὁ ἥμερος,Ἐρέβινθος,1.000,0.667
MMK317,2.127,Griechische Bohne,κύαμος Ἑλληνικός,κύαμος Ἑλληνικός,Κύαμος,1.000,0.545
MMK318,2.128,Aegyptische Bohne,Αἰγύπτιος κύαμος,Αἰγύπτιος κύαμος,Κύαμος αἰγύπτιος,1.000,0.562
MMK334,2.144,Malve,μολόχη,μολόχη,Μαλάχη,1.000,0.667
MMK335,2.145,Gartenmelde,ἀνδράφαξυς,ἀνδράφαξυς,Ἀτράφαξις,1.000,0.737
MMK336,2.146,Kohl,κράμβη ἥμερος,κράμβη ἥμερος,Κράμβη,1.000,0.632
MMK341,2.151,Spargel,ἀσπάραγος πετραῖος ἢ μυάκανθος,ἀσπάραγος πετραῖος ἢ μυάκανθος,Ἀσπάραγος,1.000,0.462
MMK354,2.164,Gartenlattich,θρίδαξ ἥμερος,θρίδαξ ἥμερος,Θρίδαξ,1.000,0.632
MMK363,2.173,Vogelmilch,ὄρνιθος γάλα,ὄρνιθος γάλα,Ὀρνιθόγαλον,1.000,0.783
MMK364,2.174,Tr?ffel,ὕδνον,ὕδνον,Ὕδνα,1.000,0.667
MMK373,2.183,Senf,σίνηπι ἢ νᾶπι,σίνηπι ἢ νᾶπι,Σίνηπι,1.000,0.632
MMK376,2.186,T?rkische Kresse,δράβη,δράβη,Ἀραβίς ἤ δράβη,1.000,0.526
MMK384,2.194,Der andere Kyklaminos,κυκλάμινος ἑτέρα,κυκλάμινος ἑτέρα,Ἑτέρα κυκλάμινος,1.000,0.625
MMK385,2.195,Grosse Drachenwurz,δρακόντιον,δρακόντιον,Δρακοντία μεγάλη,1.000,0.615
MMK406,2.216,Wilder Waid,ἰσάτις ἄγρια,ἰσάτις ἄγρια,Περί Ίσάτιδος ἀγρίας,1.000,0.750
MMK410,3.2,Rhapontik,ῥᾶ,ῥᾶ,"Ῥᾶ, ῥῆον",1.000,0.400
MMK415,3.7,Kleines Kentaurion,κενταύρειον τὸ λεπτόν ἢ μικρόν,κενταύρειον τὸ λεπτόν ἢ μικρόν,Κενταύριον μικρόν,1.000,0.723
MMK426,3.18,Hauhechel,ἀνωνίς,ἀνωνίς,Ἀνωνίς ἤ ὀνωνίς,1.000,0.571
MMK429,3.21,Mannstreu,ἠρύγγη,ἠρύγγη,Ἠρύγγιον,1.000,0.714
MMK437,3.29,Dosten,ὀρίγανος Ἡρακλεωτική,ὀρίγανος Ἡρακλεωτική,Ὀρίγανον,1.000,0.500
MMK439,3.31,Wilder Dosten,ἀγριορίγανος,ἀγριορίγανος,Περἰ Άγριοριγάνον,1.000,0.759
MMK449,3.42,Maron,μᾶρον ἢ ὑσόβρυον,μᾶρον ἢ ὑσόβρυον,Μάρον,1.000,0.476
MMK450,3.43,Akinos,ἄκινος ἢ ἄκονος,ἄκινος ἢ ἄκονος,Ἄκινος,1.000,0.571
MMK454,3.47,Moly,μῶλυ,μῶλυ,Μῶλη / Μῶλυ,1.000,0.533
MMK459,3.52,M?hre,σταφυλῖνος ἄγριος,σταφυλῖνος ἄγριος,Σταφυλῖνος,1.000,0.741
MMK461,3.54,Aethiopisches Seseli,τόρδιλον,τόρδιλον,Περἰ Σεσέλεως αἰθιοπικον,1.000,0.250
MMK462,3.55,Peleponnesisches Seseli,σίνων,σίνων,Περἰ Σεσέλεως πελοποννησιακον,1.000,0.176
MMK463,3.56,Tordylion,ἄνησσον,ἄνησσον,Τορδύλιον,1.000,0.250
MMK466,3.59,K?mmel,καρώ,καρώ,Κάρος,1.000,0.667
MMK471,3.64,Koriander,κόριον,κόριον,Κόριον ἤ κορίανον,1.000,0.522
