mm_id,chapter_key,berendes_term,beck_greek_lemma,wellmann_greek_lemma,matthiolo_greek,ratio_beck_wellmann,ratio_beck_matthiolo
MMK819,5.51,Gamanderwein,ὁ χαμαιδρυίτης,ὁ χαμαιδρυίτης,Οἶνοι ἐκ τῶν ποικίλων φυτῶν,1.000,0.244
MMK820,5.52,Lavendelwein,ὁ > στοιχαδίτης,ὁ > στοιχαδίτης,Περἰ στοιχαδίτον οἵνον,1.000,0.541
MMK821,5.53,Lavendelessig,ὂξος διὰ στοιχάδος,ὂξος διὰ στοιχάδος,Περἰ στοιχαδίτον ὅξους,1.000,0.550
MMK822,5.54,Gliedkrautwein,ἐκ κέστρου τοῦ ψυχροτρόφου οἶνος,ἐκ κέστρου τοῦ ψυχροτρόφου οἶνος,Περἰ κεστρίτον οἵνον,1.000,0.538
MMK823,5.55,Tragoriganoswein,τραγοριγανίτης,τραγοριγανίτης,Περἰ τραγοριγανίτον οἵνον,1.000,0.615
MMK824,5.56,Erdknotenwein,οἶνος διὰ βουνίου,οἶνος διὰ βουνίου,Περἰ βουνίτον οἵνον,1.000,0.444
MMK825,5.57,Diptamwein,δικταμνίτης,δικταμνίτης,Περἰ δικταμνίτον οἵνον,1.000,0.545
MMK826,5.58,Andornwein,ὁ διὰ πρασίου,ὁ διὰ πρασίου,Περἰ πρασίτον οἵνον,1.000,0.500
MMK827,5.59,Thymianwein,θυμίτης,θυμίτης,Περἰ θυμίτον οἵνον,1.000,0.400
MMK828,5.60,Satureiwein,θυμβρίτης,θυμβρίτης,Περἰ θυμβρίτον οἵνον,1.000,0.483
MMK829,5.61,Dostenwein,οἶνος ὀριγανίτης,οἶνος ὀριγανίτης,Περἰ ὀριγανίτον οἵνον,1.000,0.541
MMK830,5.62,"Minzen-, Polei- und Beifusswein",οἶνος καλαμινθίτης,οἶνος καλαμινθίτης,"Περἰ καλαμινθίτον, γληχωνίτον καἰ ἀβροτονίτον οἵνον",1.000,0.377
MMK831,5.63,Berufskrautwein,οἶνος κονυζίτης,οἶνος κονυζίτης,Περἰ κονυζίτον οἵνον,1.000,0.514
MMK832,5.64,Gew?rzter Wein,οἶνος ἀρωματίτης,οἶνος ἀρωματίτης,Ἀρωματίτης οἶνος,1.000,0.625
MMK833,5.65,"Wein aus Myrrhe, Pfeffer und Schwertlilie",οἶνος πρὸς κατάρρους,οἶνος πρὸς κατάρρους,Οἶνοι ἐκ τῶν ποικίλων ἀρωμάτων,1.000,0.360
MMK834,5.66,Nektarwein,ὁ νεκταρίτης,ὁ νεκταρίτης,Περἰ ωεκταρίτον οἵνον,1.000,0.485
MMK837,5.69,Wein aus der wilden Narde,ὁ διὰ τῆς ἀγρίας ἀγρίας,ὁ διὰ τῆς ἀγρίας ἀγρίας,Περἰ τοῦ διἀ τη̃ς ἀγρίας νάρδον οἵνον,1.000,0.678
MMK838,5.70,M?hrenwein,δαυκίτης,δαυκίτης,Οἶνοι ἐκ τῶν ποικίλων ποῶν,1.000,0.118
MMK839,5.71,Salbeiwein,ἐλελισφακίτης,ἐλελισφακίτης,Περἰ ἐλελισφακίτον οἵνον,1.000,0.595
MMK840,5.72,Panaxwein,πανακίτης,πανακίτης,Περἰ πανακίτον οἵνον,1.000,0.483
MMK841,5.73,Akoronwein,ἀκορίτης καὶ ὁ ἀπὸ γλυκορρίζης,ἀκορίτης καὶ ὁ ἀπὸ γλυκορρίζης,Περἰ ἀκορίτον οἵνον,1.000,0.367
MMK842,5.74,Selleriewein,σελινίτης,σελινίτης,Περἰ σελινίτον οἵνον,1.000,0.483
MMK843,5.75,Fenchel- und Dillwein,μαραθίτης καὶ ἀνήθινος καὶ πετροσελινίτης,μαραθίτης καὶ ἀνήθινος καὶ πετροσελινίτης,Περἰ μαραθρίτον καἰ ἀνηθίνον οἵνον,1.000,0.613
MMK844,5.76,Salzbl?thewein,δι' ἁλὸς ἄνθους οἶνος,δι' ἁλὸς ἄνθους οἶνος,Περἰ ἀλοσανθίνον οἵνον,1.000,0.698
MMK845,5.77,Abortivwein,φθόριος ἐμβρύων οἶνος,φθόριος ἐμβρύων οἶνος,Περἰ φθορίον ἐμβρύβν οἵνον,1.000,0.766
MMK846,5.78,Seidelbastwein,θυμελαίτης,θυμελαίτης,Περἰ θυμελαἷτον οἵνον,1.000,0.516
MMK847,5.79,Bergseidelbastwein,χαμελαίτης,χαμελαίτης,Περἰ χαμαιλαἷτον οἵνον,1.000,0.438
MMK848,5.80,G?nselwein,χαμαιπιτύινος,χαμαιπιτύινος,Περἰ χαμαιπιτυἷτον οἵνον,1.000,0.649
MMK849,5.81,Mandragorawein,μανδραγορίτης,μανδραγορίτης,Περἰ μανδραγορίτον οἵνον,1.000,0.595
MMK850,5.82,Nieswurzwein,ἐλλεβορίτης,ἐλλεβορίτης,Περὶ ὲλλεβορίτον,1.000,0.667
MMK851,5.83,Purgirwindenwein,σκαμμωνίτης,σκαμμωνίτης,Περἰ σκαμμωνίτον,1.000,0.667
MMK853,5.85,Pompholyx,πομφόλυξ,πομφόλυξ,Περἰ Πομφώλυγος,1.000,0.522
MMK854,5.86,Antispodon,κεκαυμένος χαλκός,κεκαυμένος χαλκός,Περἰ ἀντισπόδων,1.000,0.250
MMK855,5.87,Gebranntes Kupfer,χαλχοῦ ἄνθος,χαλχοῦ ἄνθος,Χαλκός κεκαυμένος,1.000,0.345
MMK856,5.88,Kupferbl?the,λεπίς,λεπίς,Χαλκοῦ ἄνθος,1.000,0.235
MMK863,5.95,Gewaschenes Blei,πεπλυμένος μόλυβδος,πεπλυμένος μόλυβδος,Μόλιβδος πεπλυμένος,1.000,0.526
MMK866,5.98,Bleistein,ὁ μολυβδοειδὴς λίθος,ὁ μολυβδοειδὴς λίθος,Μολιβδοειδής,1.000,0.688
MMK867,5.99,Stimmi,στίβι,στίβι,Στίμμι,1.000,0.727
MMK873,5.105,Armenion,Ἀρμένιον,Ἀρμένιον,Λίθος ἀρμένιος,1.000,0.636
MMK874,5.106,Kyanos,κύανος,κύανος,Κυανός λίθος,1.000,0.667
MMK876,5.108,Ochra,ὦχρα,ὦχρα,Ὄχρα,1.000,0.750
MMK882,5.114,Chalkanthos,χαλκανθές,χαλκανθές,Χάλκανθον,1.000,0.778
MMK886,5.118,Sory,σῶρι,σῶρι,Σῶρυ,1.000,0.750
MMK896,5.128,Salzbl?the,ἄνθος ἁλός,ἄνθος ἁλός,Ἀλός ἄνθος,1.000,0.500
MMK897,5.129,Natron,νίτρον,νίτρον,Νίτρον - ἀφρόνιτρον,1.000,0.480
MMK907,5.139,Antipathes,ἀντιπαθές,ἀντιπαθές,Περἰ ἀντιπαθοῦς,1.000,0.667
MMK909,5.141,Assischer Stein,Ἄσσιος λίθος,Ἄσσιος λίθος,Λίθος ἄσιος,1.000,0.435
MMK910,5.142,Pyritesstein,πυρίτης λίθος,πυρίτης λίθος,Λίθος πυρίτης,1.000,0.538
MMK911,5.143,Blutstein,αἱματίτης λίθος,αἱματίτης λίθος,Λίθος αἱματίτης,1.000,0.600
MMK912,5.144,Spaltstein,σχιστὸς λίθος,σχιστὸς λίθος,Λίθος σχιστός,1.000,0.538
MMK913,5.145,Gagatstein,Γαγάτης,Γαγάτης,Λίθος γαγάτης,1.000,0.700
MMK914,5.146,Thrakischer Stein,Θρακίας,Θρακίας,Λίθος θρακίας,1.000,0.700
MMK915,5.147,Magnetstein,μαγνῆτις λίθος,μαγνῆτις λίθος,Λίθος μαγνῆτις,1.000,0.571
MMK916,5.148,Arabischer Stein,Ἀραβικὸς λίθος,Ἀραβικὸς λίθος,Λίθος ἀραβικός,1.000,0.571
MMK917,5.149,Milchstein,γαλακτίτης,γαλακτίτης,Λίθος γαλακτίτης,1.000,0.769
MMK918,5.150,Honigstein,μελιτίτης,μελιτίτης,Λίθος μελιτίτης,1.000,0.750
MMK921,5.153,Thy?tesstein,θυίτης,θυίτης,Λίθος θυΐτης,1.000,0.667
MMK922,5.154,Judenstein,Ἰουδαικὸς λίθος,Ἰουδαικὸς λίθος,Λίθος ἰουδαϊκός,1.000,0.600
MMK933,5.165,Smirgel,σμύρις,σμύρις,Σμύρις λίθος,1.000,0.667
MMK934,5.166,Sand,ἄμμος,ἄμμος,Ἄμμος αἰγιαλῖτις,1.000,0.476
MMK935,5.167,Schleifstein,ἀκόνης Ναξίας ἀπότριμμα,ἀκόνης Ναξίας ἀπότριμμα,Ἀκόνη ναξία,1.000,0.647
MMK937,5.169,Erde,γῆ,γῆ,Γῆ πᾶσα,1.000,0.444
MMK938,5.170,Eretrische Erde,Ἑρετριάδος γῆ,Ἑρετριάδος γῆ,Γῆ ἐρετρίας,1.000,0.667
MMK939,5.171,Samische Erde,Σαμία γῆ,Σαμία γῆ,Γῆ σαμία,1.000,0.625
MMK940,5.172,Stein in der samischen Erde,ἐν τῇ Σαμίᾳ γῇ λίθος,ἐν τῇ Σαμίᾳ γῇ λίθος,Λίθος σάμιος,1.000,0.438
MMK941,5.173,Erde von Chios,Χία γῆ,Χία γῆ,Γῆ χία,1.000,0.500
MMK943,5.175,Kimolissche Erde,Κιμωλία γῆ,Κιμωλία γῆ,Γῆ κιμωλία,1.000,0.700
MMK944,5.176,Pnigit-Erde,πνιγῖτις γῆ,πνιγῖτις γῆ,Γῆ πνιγῖτις,1.000,0.727
MMK946,5.178,Erde aus den Oefen,ὄστρακα,ὄστρακα,Γῆ ἐκ τῶν καμίνων,1.000,0.250
MMK947,5.179,Melische Erde,Μηλία γῆ,Μηλία γῆ,Γῆ μηλία,1.000,0.625
MMK948,5.180,Weinstockerde,ἀμπελῖτις γῆ,ἀμπελῖτις γῆ,Γῆ ἀμπελῖτις,1.000,0.750
MMK949,5.181,Russ,ἀσβόλη,ἀσβόλη,Ἀσβόλη ζωγραφική,1.000,0.545
MMK950,5.182,Tinte,μέλαν,μέλαν,Μέλαν γραφικόν,1.000,0.526
