entry_a,entry_b,alignment_type,confidence,notes
beck:1.4,desmoulins:1.4,equivalent,certain,
beck:1.4,gunther:1.4,equivalent,certain,
beck:1.4,laguna:1.4,equivalent,certain,
beck:1.4,lusitanus:4,equivalent,certain,
beck:1.4,monardes:IIII,equivalent,certain,
beck:1.4,wellmann:1.4,equivalent,certain,
berendes:1.4,desmoulins:1.4,equivalent,certain,
berendes:1.4,gunther:1.4,equivalent,certain,
berendes:1.4,laguna:1.4,equivalent,certain,
berendes:1.4,lusitanus:4,equivalent,certain,
berendes:1.4,monardes:IIII,equivalent,certain,
berendes:1.4,wellmann:1.4,equivalent,certain,
desmoulins:1.4,gunther:1.4,equivalent,certain,
desmoulins:1.4,laguna:1.4,equivalent,certain,
desmoulins:1.4,lusitanus:4,equivalent,certain,
desmoulins:1.4,monardes:IIII,equivalent,certain,
desmoulins:1.4,wellmann:1.4,equivalent,certain,
gunther:1.4,laguna:1.4,equivalent,certain,
gunther:1.4,lusitanus:4,equivalent,certain,
gunther:1.4,monardes:IIII,equivalent,certain,
gunther:1.4,wellmann:1.4,equivalent,certain,
laguna:1.4,lusitanus:4,equivalent,certain,
laguna:1.4,monardes:IIII,equivalent,certain,
laguna:1.4,wellmann:1.4,equivalent,certain,
lusitanus:4,monardes:IIII,equivalent,certain,
lusitanus:4,wellmann:1.4,equivalent,certain,
monardes:IIII,wellmann:1.4,equivalent,certain,
beck:1.5,berendes:1.4.5,equivalent,certain,
beck:1.5,desmoulins:1.4,equivalent,certain,
beck:1.5,gunther:1.4,equivalent,certain,
beck:1.5,laguna:1.4,equivalent,certain,
beck:1.5,monardes:IIII,equivalent,certain,
beck:1.5,wellmann:1.5,equivalent,certain,
berendes:1.4.5,desmoulins:1.4,equivalent,certain,
berendes:1.4.5,gunther:1.4,equivalent,certain,
berendes:1.4.5,laguna:1.4,equivalent,certain,
berendes:1.4.5,monardes:IIII,equivalent,certain,
berendes:1.4.5,wellmann:1.5,equivalent,certain,
desmoulins:1.4,wellmann:1.5,equivalent,certain,
gunther:1.4,wellmann:1.5,equivalent,certain,
laguna:1.4,wellmann:1.5,equivalent,certain,
monardes:IIII,wellmann:1.5,equivalent,certain,
"barbaro:V",beck:1.6,equivalent,certain,
"barbaro:V",berendes:1.5,equivalent,certain,
"barbaro:V",gunther:1.5,equivalent,certain,
"barbaro:V",laguna:1.6,equivalent,certain,
"barbaro:V",lusitanus:5,equivalent,certain,
"barbaro:V",monardes:V,equivalent,certain,
"barbaro:V",wellmann:1.6,equivalent,certain,
beck:1.6,berendes:1.5,equivalent,certain,
beck:1.6,gunther:1.5,equivalent,certain,
beck:1.6,laguna:1.6,equivalent,certain,
beck:1.6,lusitanus:5,equivalent,certain,
beck:1.6,monardes:V,equivalent,certain,
beck:1.6,wellmann:1.6,equivalent,certain,
berendes:1.5,gunther:1.5,equivalent,certain,
berendes:1.5,laguna:1.6,equivalent,certain,
berendes:1.5,lusitanus:5,equivalent,certain,
berendes:1.5,monardes:V,equivalent,certain,
berendes:1.5,wellmann:1.6,equivalent,certain,
gunther:1.5,laguna:1.6,equivalent,certain,
gunther:1.5,lusitanus:5,equivalent,certain,
gunther:1.5,monardes:V,equivalent,certain,
gunther:1.5,wellmann:1.6,equivalent,certain,
laguna:1.6,lusitanus:5,equivalent,certain,
laguna:1.6,monardes:V,equivalent,certain,
laguna:1.6,wellmann:1.6,equivalent,certain,
lusitanus:5,monardes:V,equivalent,certain,
lusitanus:5,wellmann:1.6,equivalent,certain,
monardes:V,wellmann:1.6,equivalent,certain,
"barbaro:VI",beck:1.7,equivalent,certain,
"barbaro:VI",berendes:1.6,equivalent,certain,
"barbaro:VI",gunther:1.6,equivalent,certain,
"barbaro:VI",laguna:1.7,equivalent,certain,
"barbaro:VI",lusitanus:6,equivalent,certain,
"barbaro:VI",monardes:VI,equivalent,certain,
"barbaro:VI",wellmann:1.7,equivalent,certain,
beck:1.7,berendes:1.6,equivalent,certain,
beck:1.7,gunther:1.6,equivalent,certain,
beck:1.7,laguna:1.7,equivalent,certain,
beck:1.7,lusitanus:6,equivalent,certain,
beck:1.7,monardes:VI,equivalent,certain,
beck:1.7,wellmann:1.7,equivalent,certain,
berendes:1.6,gunther:1.6,equivalent,certain,
berendes:1.6,laguna:1.7,equivalent,certain,
berendes:1.6,lusitanus:6,equivalent,certain,
berendes:1.6,monardes:VI,equivalent,certain,
berendes:1.6,wellmann:1.7,equivalent,certain,
gunther:1.6,laguna:1.7,equivalent,certain,
gunther:1.6,lusitanus:6,equivalent,certain,
gunther:1.6,monardes:VI,equivalent,certain,
gunther:1.6,wellmann:1.7,equivalent,certain,
laguna:1.7,lusitanus:6,equivalent,certain,
laguna:1.7,monardes:VI,equivalent,certain,
laguna:1.7,wellmann:1.7,equivalent,certain,
lusitanus:6,monardes:VI,equivalent,certain,
lusitanus:6,wellmann:1.7,equivalent,certain,
monardes:VI,wellmann:1.7,equivalent,certain,
"barbaro:VII",beck:1.8,equivalent,certain,
"barbaro:VII",berendes:1.7,equivalent,certain,
"barbaro:VII",gunther:1.7,equivalent,certain,
"barbaro:VII",laguna:1.8,equivalent,certain,
"barbaro:VII",lusitanus:7,equivalent,certain,
"barbaro:VII",monardes:VII,equivalent,certain,
"barbaro:VII",wellmann:1.8,equivalent,certain,
beck:1.8,berendes:1.7,equivalent,certain,
beck:1.8,gunther:1.7,equivalent,certain,
beck:1.8,laguna:1.8,equivalent,certain,
beck:1.8,lusitanus:7,equivalent,certain,
beck:1.8,monardes:VII,equivalent,certain,
beck:1.8,wellmann:1.8,equivalent,certain,
berendes:1.7,gunther:1.7,equivalent,certain,
berendes:1.7,laguna:1.8,equivalent,certain,
berendes:1.7,lusitanus:7,equivalent,certain,
berendes:1.7,monardes:VII,equivalent,certain,
berendes:1.7,wellmann:1.8,equivalent,certain,
gunther:1.7,laguna:1.8,equivalent,certain,
gunther:1.7,lusitanus:7,equivalent,certain,
gunther:1.7,monardes:VII,equivalent,certain,
gunther:1.7,wellmann:1.8,equivalent,certain,
laguna:1.8,lusitanus:7,equivalent,certain,
laguna:1.8,monardes:VII,equivalent,certain,
laguna:1.8,wellmann:1.8,equivalent,certain,
lusitanus:7,monardes:VII,equivalent,certain,
lusitanus:7,wellmann:1.8,equivalent,certain,
monardes:VII,wellmann:1.8,equivalent,certain,
"barbaro:VIII",beck:1.9,equivalent,certain,
"barbaro:VIII",berendes:1.8,equivalent,certain,
"barbaro:VIII",gunther:1.8,equivalent,certain,
"barbaro:VIII",laguna:1.9,equivalent,certain,
"barbaro:VIII",lusitanus:8,equivalent,certain,
"barbaro:VIII",monardes:VIII,equivalent,certain,
"barbaro:VIII",wellmann:1.9,equivalent,certain,
beck:1.9,berendes:1.8,equivalent,certain,
beck:1.9,gunther:1.8,equivalent,certain,
beck:1.9,laguna:1.9,equivalent,certain,
beck:1.9,lusitanus:8,equivalent,certain,
beck:1.9,monardes:VIII,equivalent,certain,
beck:1.9,wellmann:1.9,equivalent,certain,
berendes:1.8,gunther:1.8,equivalent,certain,
berendes:1.8,laguna:1.9,equivalent,certain,
berendes:1.8,lusitanus:8,equivalent,certain,
berendes:1.8,monardes:VIII,equivalent,certain,
berendes:1.8,wellmann:1.9,equivalent,certain,
gunther:1.8,laguna:1.9,equivalent,certain,
gunther:1.8,lusitanus:8,equivalent,certain,
gunther:1.8,monardes:VIII,equivalent,certain,
gunther:1.8,wellmann:1.9,equivalent,certain,
laguna:1.9,lusitanus:8,equivalent,certain,
laguna:1.9,monardes:VIII,equivalent,certain,
laguna:1.9,wellmann:1.9,equivalent,certain,
lusitanus:8,monardes:VIII,equivalent,certain,
lusitanus:8,wellmann:1.9,equivalent,certain,
monardes:VIII,wellmann:1.9,equivalent,certain,
"barbaro:IX",beck:1.10,equivalent,certain,
"barbaro:IX",berendes:1.9,equivalent,certain,
"barbaro:IX",gunther:1.9,equivalent,certain,
"barbaro:IX",laguna:1.10,equivalent,certain,
"barbaro:IX",lusitanus:9,equivalent,certain,
"barbaro:IX",monardes:IX,equivalent,certain,
