mm_id,chapter_key,berendes_term,beck_greek_lemma,beck_latin_lemma
MMK449,3.42,Maron,μᾶρον ἢ ὑσόβρυον,Maron or Hysobryon
MMK450,3.43,Akinos,ἄκινος ἢ ἄκονος,Wild basil
MMK451,3.44,Bakcharis,βάκχαρις,Sowbread
MMK452,3.45,Raute,πήγανον,Rue
MMK453,3.46,Wilde Raute,πήγανον ἄγριον,Wild rue
MMK454,3.47,Moly,μῶλυ,Garlic
MMK455,3.48,Panakes,πάνακες Ἡράκλειον,Hercules’ woundwort
MMK456,3.49,Asklepisches Panakes,πάνακες Ἀσκληπίειον,Aesculapius’ allheal
MMK457,3.50,Cheironisches Panakes,πάνακες Χειρώνιον,Panaces olympicum Chiron’s allheal
MMK458,3.51,Ligustikon,λιγυστικόν,Lovage
MMK459,3.52,M?hre,σταφυλῖνος ἄγριος,Wild carrot
MMK460,3.53,Massiliensisches Seseli,σέσελι,Massilian hartwort
MMK461,3.54,Aethiopisches Seseli,τόρδιλον,Cretan hartwort
MMK462,3.55,Peleponnesisches Seseli,σίνων,Stone parsley
MMK463,3.56,Tordylion,ἄνησσον,Anise
MMK464,3.57,Sison,,
MMK465,3.58,Anis,,
MMK466,3.59,K?mmel,καρώ,Caraway
MMK467,3.60,Dill,ἄνηθον,Dill
MMK468,3.61,Mutterk?mmel,κύμινον ἥμερον,Cultivated cumin
MMK469,3.62,Wilder Mutterk?mmel,κύμινον ἄγριον,Wild cumin
MMK470,3.63,Ammi,ἄμι,Ajowan
MMK471,3.64,Koriander,κόριον,Coriander
MMK472,3.65,Grosses Hierakion,,
MMK473,3.66,Kleines Hierakion,,
MMK474,3.67,Gartensellerie,σέλινον κηπαῖον,Garden celery
MMK475,3.68,Sellerie,,
MMK476,3.69,Oreoselinon,ὀρεοσέλινον,Mountain parsley
MMK477,3.70,,,
MMK478,3.71,Petroselinon,πετροσέλινον; ἱπποσέλινον,Parsley; Alexanders
MMK479,3.72,Smyrnion,σμύρνιον,Cretan alexanders
MMK480,3.73,Pastinak,ἐλαφοβόσκον,Parsnip
MMK481,3.74,Fenchel,μάραθον,Fennel
MMK482,3.75,Hippomarathron,ἱππομάραθον,Horse fennel
MMK483,3.76,Daukos,δαῦκος,Daucos
MMK484,3.77,Delphinion,,
MMK485,3.78,Bertramwurz,πύρεθρος,Pellitory
MMK486,3.79,Libanotis,λιβανωτίς,Rosemary frankincense
MMK487,3.80,B?renklau,σφονδύλιον,Cow-parsnip
MMK488,3.81,Steckenkraut,νάρθηξ,Giant fennel
MMK489,3.82,Haarstrang,πευκέδανον,Sulphurwort
MMK490,3.83,Schwarzk?mmel,μελάνθιον,Black cumin
MMK491,3.84,Silphion,σίλφιον,Laserwort
MMK492,3.85,Sagapenon,σαγάπηνον,Sagapenon
MMK493,3.86,Euphorbion,εὐφόρβιον,Spurge
MMK494,3.87,Galbanum,χαλβάνη,Galbanum
MMK495,3.88,Ammoniakum,ἀμμωνιακόν,Gum ammoniac
MMK496,3.89,Sarkokolla,σαρκοκόλλα,Sarcocolla
MMK497,3.90,Glaukion,γλαύκιον,Glaucion
MMK498,3.91,Leim,κόλλα,Glue
MMK499,3.92,Ichthyokolla,ἰχθυκόλλα,Fish glue
MMK500,3.93,Ixos,ἰξός,Oak-mistletoe
MMK501,3.94,Wandlabkraut,ἀπαρίνη,Cleavers
MMK502,3.95,Alysson,ἄλυσσον,Madwort
MMK503,3.96,Asklepias,ἀσκληπιάς,Swallowwort
MMK504,3.97,Atraktylis,ἀτρακτυλίς,Spindle thistle
MMK505,3.98,Polyknemon,πολύκνημον,Field basil
MMK506,3.99,Wirbeldosten,κλινοπόδιον,Horse thyme
MMK507,3.100,Leontopetalon,λεοντοπέταλον,Leontopetalon
MMK508,3.101,Gamander (Teukrion),Τεύκριον,Tree germander
MMK509,3.102,Chamaidrys,χαμαίρωψ,Wall germander
MMK510,3.103,Leukas,λευκάς,Dead nettle
MMK511,3.104,Kranznelke,λυχνὶς στεφανωματική,Rose campion
MMK512,3.105,Wilde Nelke,λυχνὶς ἀγρία,Corn cockle
MMK513,3.106,Lilie,κρίνον,Lily
MMK514,3.107,Ballote,βαλλωτή,Black horehound
MMK515,3.108,Melisse,μελισσόφυλλον,Balm
MMK516,3.109,Prasion,πράσιον,Horehound
MMK517,3.110,Ziest,στάχυς,Base horehound
MMK518,3.111,Hirschzunge (111),φυλλῖτις,Hart’s tongue
MMK519,3.112,Phalangion,φαλλάγγιον,Spiderwort
MMK520,3.113,Asphaltklee,τρίφυλλον,Treacle clover
MMK521,3.114,Gamander (Polion),πόλιον,Hulwort
MMK522,3.115,Knoblauch-Gamander,σκόρδιον,Garlic germander
MMK523,3.116,Huflattich,βήχιον,Colt’s foot
MMK524,3.117,Beifuss,ἀρτεμισία,Wormwood
MMK525,3.118,Zartbl?tterige Artemisia,,
MMK526,3.119,Ambrosia,ἀμβροσία,Ambrose
MMK527,3.120,Traubenkraut,βότρυς,Oak of Jerusalem
MMK528,3.121,Storchschnabel,γεράνιον,Cranesbill
MMK529,3.122,Gnaphalion,γναφάλλιον,Cottonweed
MMK530,3.123,Rohkolben,τύφη,Reed mace
MMK531,3.124,Kirkaia,κιρκαία,Black swallow- wort
MMK532,3.125,Oinanthe,οἰνάνθη,Dropwort
MMK533,3.126,Konyza,κόνυζα,Fleabane
MMK534,3.127,Hemerokallis,ἡμεροκαλλές,Martagon lily
MMK535,3.128,Goldlack,λευκόϊον,Gillyflower
MMK536,3.129,Krataiogonon,κραταιόγονον,Willow weed
MMK537,3.130,Phyllon,φύλλον,Dog mercury
MMK538,3.131,Knabenkraut,ὄρχις,Orchid
MMK539,3.132,Anderes Knabenkraut,ὄρχις ἕτερος,Another orchid
MMK540,3.133,Satyrion,σατύριον,Man orchis
MMK541,3.134,Satyrion erythronion,,
MMK542,3.135,Kleiner Salbei,ὅρμινον,Clary
MMK543,3.136,Hedysaron,ἡδύσαρον,Axweed
MMK544,3.137,Onosma,ὄνοσμα,Stone bugloss
MMK545,3.138,Weisse Seerose,νυμφαία,White water lily
MMK546,3.139,Andere Seerose,,
MMK547,3.140,Androsakes,ἀνδρόσακες,Sea navel
MMK548,3.141,Milzfarn,ἄσπληνος,Miltwaste
MMK549,3.142,Hirschzunge (142),ἡμιονῖτις,Mule fern
MMK550,3.143,Anthyllis,ἀνθυλλίς,Anthyllis
MMK551,3.144,Kamille,ἀνθεμίς,Camomile
MMK552,3.145,Parthenion,παρθένιον,Feverfew
MMK553,3.146,Wucherblume,βούφθαλμον,Oxeye
MMK554,3.147,Gichtrose,γλυκισίδη,Peony
MMK555,3.148,Steinsamen,λιθόσπερμον,Groomwell
MMK556,3.149,Glanzgras,φαληρίς,Canary grass
MMK557,3.150,Krapp,ἐρυθρόδανον ἢ ἐρευθέδανον,Madder
MMK558,3.151,Zungensumpfwurz,λογχῖτις,Lonchitis
MMK559,3.152,Andere Zungensumpfwurz,λογχῖτις ἕτερα,Holy fern
MMK560,3.153,Eibisch,ἀλθαία,Marsh mallow
MMK561,3.154,Malope,ἀλκαία,Vervain mallow
MMK562,3.155,Gebauter Hanf,κάνναβις,Hemp
MMK563,3.156,Wilder Hanf,ἀγρία κάνναβις,Hemp mallow
MMK564,3.157,Stinkstrauch,ἀνάγυρος,Stinking bean trefoil
MMK565,3.158,Zwiebelpfeffer,κηπαία,Cepaia
MMK566,3.159,Froschl?ffel,ἄλισμα,Water plantain
MMK567,3.160,Esparset,ὀνοβρυχίς,Cock’s head
MMK568,3.161,Hartheu,ὑπερικόν,St. John’s wort
MMK569,3.162,Gemeines Hartheu,,
MMK570,3.163,Androsaimon,ἀνδρόσαιμον,St. John’s wort
MMK571,3.164,Koris,κόρις,St. John’s wort
MMK572,3.165,Chamaipitys,χαμαίπιτυς,Ground pine
MMK573,3.166,Andere Chamaipitys,κέστρον,Betony
MMK574,3.41a,Majoran,σάμψουχον,Marjoram
MMK575,3.41b,Steinklee,μελίλωτος,King’s clover
MMK576,4.1,Kestron,βρεττανική,Water dock
MMK577,4.2,Bretannika,λυσιμάχειος,Loosestrife
MMK578,4.3,Lysimachion,πολύγονον ἄρρεν,Knotgrass
MMK579,4.4,M?nnliches Polygonon,πολύγονον θῆλυ,Mare’s tail
MMK580,4.5,Weibliches Polygonon,πολυγόνατον,P. officinale
MMK581,4.6,,,
MMK582,4.7,Immergr?n,κληματίς,Periwinkle
MMK583,4.8,Polemonion,πολεμώνιον,Jacob’s ladder
MMK584,4.9,Felsensymphyton,σύμφυτον πετραῖον,Low pine
MMK585,4.10,Anderes Symphyton,σύμφυτον ἄλλο,Comfrey
MMK586,4.11,Holosteon,ὁλόστεον,Allbone
MMK587,4.12,Becherblume,στοιβή,Thorny burnet
MMK588,4.13,Klymenon,κλύμενον,Bearbind
MMK589,4.14,Periklymenon,περικλύμενον,Honeysuckle
MMK590,4.15,Tribolos,τρίβολος χερσαῖος,Caltrops
MMK591,4.16,Limoneion,λειμώνιον,Sea lavender
MMK592,4.17,Hasenklee,λαγώπουν,Hare’s foot trefoil
MMK593,4.18,Medion,μήδιον,Medion
MMK594,4.19,Epimedion,ἐπιμήδιον,Epimedion
MMK595,4.20,Siegwurz,ξίφιον,Corn flag
MMK596,4.21,Sparganion,σπαργάνιον,Bur reed
MMK597,4.22,Xyris,ξυρίς,Gladwyn
MMK598,4.23,Ochsenzunge,ἄγχουσα,Alkanet
MMK599,4.24,Andere Anchusa,ἄγχουσα ἑτέρα,Another alkanet
MMK600,4.25,Weitere Anchusa,ἄγχουσα ἄλλη,Another alkanet
MMK601,4.26,Natternkopf,λυκαψός,Viper’s herb
MMK602,4.27,Echion,ἕχιον,Echion
MMK603,4.28,Okimoeides,ὠκιμοειδές,Catchfly
MMK604,4.29,Erinos,,
MMK605,4.30,Agrostis,ἄγρωστις,Dogs-tooth grass
MMK606,4.31,Kalamagrostis,καλαμάγρωστις,Calamagrostis
MMK607,4.32,Agrostis aus Parnass,ἡ δέ ἐν τῷ Παρνασσῷ ἄγρωστις,Grass of Parnassus
MMK608,4.33,Sideritis,σιδηρῖτις,Iron wo rt
MMK609,4.34,Andere Sideritis,ἄλλη σιδηρῖτις,Burnet
MMK610,4.35,Weitere Sideritis,σιδηρῖτις ἑτέρα,Figwort
MMK611,4.36,Garbe,Ἀχίλλειος,Achilles woundwort
MMK612,4.37,Brombeer,βάτος,Bramble
MMK613,4.38,Himbeer,βάτος Ἰδαία,Raspberry
MMK614,4.39,Ackerwinde,ἑλξίνη,Bindweed
MMK615,4.40,Elatine,ἐλατίνη,Cankerwort
MMK616,4.41,Odermenning,Εὐπατόριος,Agrimony
MMK617,4.42,G?nsefuss,πεντέφυλλον,Cinquefoil
MMK618,4.43,Phoinix,φοῖνιξ,Rye grass
MMK619,4.44,Id?ische Wurzel,Ἰδαία ῥιζα,Idaia rhiza
MMK620,4.45,Rhodiaswurzel,Ῥοδία ῥίζα,Shodia rhiza
MMK621,4.46,Hippuris,ἵππουρις,Horsetail
MMK622,4.47,Andere Hippuris,ἑτέρα ἵππουρις,Another horse tail
MMK623,4.48,F?rberkokkos,κόκκος βαφική,Kermes oak
MMK624,4.49,Tragion,τράγιον,Stinking tutsan
MMK625,4.50,Anderes Tragion,τράγιον ἄλλο,Pimpinell
MMK626,4.51,Tragos (Skorpion),τράγος,Tragos
MMK627,4.52,Sumpfschoinos,σχοῖνος ἐλείας,Rush
MMK628,4.53,Flechte,λειχήν ὁ ἐπὶ τῶν πετρῶν,The lichen growing on stones
MMK629,4.54,Paronychia,παρωνυχία,Paronychia
MMK630,4.55,Goldhaar,χρυσοκόμη,Immortelle
MMK631,4.56,Chrysogonon,χρυσόγονον,Black turrnip
MMK632,4.57,Elichryson,ἐλίχρυσον ἢ χρυσάνθεμον,Gold flower
MMK633,4.58,Goldblume,,
MMK634,4.59,Ageraton,ἀγήρατον,Pot marjoram
MMK635,4.60,Taubenkraut,περιστέριον,Vervain
MMK636,4.61,Zur?ckgebogenes Peristereon,ἱερὰ βοτάνη,Holy vervain
MMK637,4.62,Walderbse,ἀστράγαλος,Milk vetch
MMK638,4.63,Hyacinthe,ὑάκινθος,Wild hyacinth
MMK639,4.64,Mekon Rhoias,μήκων ῥοιάς,Corn poppy
MMK640,4.65,Gartenmohn,μήκων,Opium poppy
MMK641,4.66,Hornmohn,μήκων κερατῖτις,Horned poppy
MMK642,4.67,Mekon aphrodes,μήκων ἀφρώδης,Frothy poppy
MMK643,4.68,Hypekoon,ὑπήκοον,Horned cumin
MMK644,4.69,Bilsenkraut,ὑοσκύαμος,Henbane
MMK645,4.70,Flohkraut,ψύλλιον,Fleawort
MMK646,4.71,Strychnos,στρύχνον κηπαῖον,Hound’s berry
MMK647,4.72,Strychnos Halikakabos,ἕτερον στρύχνον,Another hound’s
MMK648,4.73,Schlafstrychnos,στρύχνον ὑπνωτικόν,Sleepy nightshade
MMK649,4.74,Strychnos manikos,στρύχνον μανικόν,Thorn apple
MMK650,4.75,Doryknion,δορύκνιον,Convulvulus oleaefolius Desr. Dorycnion
MMK651,4.76,Alraun,μανδραγόρας,Mandrake
MMK652,4.77,Akoniton,ἀκόνιτον,Leopard’s bane
MMK653,4.78,Anderes Akoniton,ἀκόνιτον ἕτερον,Wolfsbane
MMK654,4.79,Schierling,κώνειον,Hemlock
MMK655,4.80,Eibe,σμῖλαξ,Yew
MMK656,4.81,Hundsw?rger,ἀπόκυνον,Dogbane
MMK657,4.82,Oleander,νήριον,Oleander
MMK658,4.83,Pilze,μύκητες,Mushrooms
MMK659,4.84,Zeitlose,Κολχικόν,Meadow saffron
MMK660,4.85,Ephemeron,ἐφήμερον,Ephemeron
MMK661,4.86,Glaskraut,ἐλξίνη,Pellitory
MMK662,4.87,Wasserlinse,φακὸς ὁ ἐπὶ τῶν τελμάτων,Duckweed
MMK663,4.88,Grosse Hauswurz,ἀείζῳον μέγα,Houseleek
MMK664,4.89,Kleine Hauswurz,ἀείζῳον τὸ μικρόν,Houseleek
MMK665,4.90,Nabelblatt,κοτυληδών,Navelwort
MMK666,4.91,Andere Hauswurz,τρίτον εἶδος ἀείζῳον; ἕτερον εἶδος κοτυληδόνος,Stonecrop; Another kind of navelwort
MMK667,4.92,Nessel,ἀκαλήφη,Stinging nettle
MMK668,4.93,Galiopsis,γαλήοψις,Brownwort
MMK669,4.94,Labkraut,γάλιον,Bedstraw
MMK670,4.95,Kreuzwurz,ἠριγέρων,Groundsel
MMK671,4.96,Wiesenraute,θαλίητρον,Meadow
MMK672,4.97,Meerlattich,βρύον θαλάσσιον,Sea lettuce
MMK673,4.98,Meertang,φῦκος,Seaweed
MMK674,4.99,Laichkraut,ποταμογείτων,Pondweed
MMK675,4.100,Stratiotes,στρατιώτης ὁ ἐπὶ τῶν ὑδάτων,Water lettuce
MMK676,4.101,Tausendbl?tteriger Stratiotes,στρατιώτης ὁ χιλιόφυλλος,Yarrow or Milfoil
MMK677,4.102,K?nigskerze,φλόμος,Mullein
MMK678,4.103,Aithiopis,Αἰθιοπίς,Silver sage
MMK679,4.104,Arktion,ἄρκτιον,Bearwort
MMK680,4.105,Klette,ἄρκιον,Burdock
MMK681,4.106,Petasites,πετασῖτις,Butterbur
MMK682,4.107,Epipaktis,ἐπιπακτίς,Rupturewort
MMK683,4.108,Erdrauch,καπνὸς ὁ ἐν ταῖς κριθαῖς φυόμενος,Fumitory
MMK684,4.109,Gebauter Lotos,λωτὸς ὁ ἐν τοῖς παραδείσοις φυόμενος,Italian melilot
MMK685,4.110,Wilder Lotos,λωτὸς ἄγριος,Wild fenugreek
MMK686,4.111,Schneckenklee,κύτισος,Tree medick
MMK687,4.112,Aegyptischer Lotos,λωτὸς ὁ ἐν Αἰγύπτῳ γεννώμενος,Egyptian lotus
MMK688,4.113,Tausendblatt,μυριόφυλλον,Water milfoil
MMK689,4.114,K?rbel,μυρρίς,Sweet cicely
MMK690,4.115,Myagros,μύαγρον,Ball mustard
MMK691,4.116,Weidenr?schen,ὀνάγρα,Oleander
MMK692,4.117,Kirsion,κρίσσιον,Thistle
MMK693,4.118,Attische Aster,ἀστὴρ Ἀττικός,Blue daisy
MMK694,4.119,Isopyron,ἰσόπυρον,Fumitory
MMK695,4.120,Veilchen,ἴον,Violet
MMK696,4.121,Kakalia,κακκαλία,Caccalia
MMK697,4.122,Bunion,βούνιον,Earthnut
MMK698,4.123,Pseudobunion,ψευδοβούνιον,Cretan pimpinel
MMK699,4.124,Chamaikissos,χαμαίκισσος,Ground ivy
MMK700,4.125,Chamaipeuke,χαμαιπεύκη,Fishbone thistle
MMK701,4.126,Italienische Ochsenzunge,βούγλωσσον,Bugloss
MMK702,4.127,Hundzunge,,
MMK703,4.128,Phyteuma,φύτευμα,Montpellier rocket
MMK704,4.129,Leontopodion,,
MMK705,4.130,Hypoglosson,ὑπόγλωσσον,Horse tongue
MMK706,4.131,L?wenmaul,ἀντίρρινον,Calf' s snout
MMK707,4.132,Katananka,κατανάγκη,Vetch
MMK708,4.133,Tripolion,τριπόλιον,Sea starwort
MMK709,4.134,Frauenhaar,ἀδίαντον,Maidenhair
MMK710,4.135,Streifenfarn,τριχομανές,Waterwort
MMK711,4.136,Spitzklee,ξάνθιον,Broad-leaved burweed
MMK712,4.137,Aigilops,αἰγίλωψ,Haver grass
MMK713,4.138,Bromos,γλαύξ,Wart cress
MMK714,4.139,Glaux,πολύγαλον,Milkwort
MMK715,4.140,Kreuzblume,ὄσιρις,Poet’s cassia
MMK716,4.141,Osyris,ἐχῖνος,Echinos
MMK717,4.142,Rauher Smilax,μῖλαξ τραχεῖα,Rough bindweed
MMK718,4.143,Glatter Smilax,μῖλαξ λεία,Great bindweed
MMK719,4.144,Stechmyrte,μυρσίνη ἀγρία,Butcher’s broom
MMK720,4.145,Alexandrinische Daphne,δάφνη Ἀλεξάνδρεια,Daphne
MMK721,4.146,Daphnoides,δαφνοειδές,Spurge laurel
MMK722,4.147,Chamaidaphne,χαμαιδάφνη,Chamaidaphne
MMK723,4.148,Weisse Nieswurz,ἐλλέβορος,White hellebore
MMK724,4.149,Schwarze Nieswurz,,
MMK725,4.150,Grosses Sesamoeides,σησαμοειδὲς τὸ μέγα,Bastard rocket
MMK726,4.151,Kleines Sesamoeides,,
MMK727,4.152,Wilde Gurke,σίκυς ἄγριος,Squirting cu- cumber
MMK728,4.153,Scharfer Rittersporn,σταφὶς ἁγρία,Stavesacre
MMK729,4.154,Thapsia,θαψία,Deadly carrot
MMK730,4.155,Elaterion,ἡμέρου σικύου ἡ ῥιζα; σπάρτιον,Root of the cultivated cucumber; Spanish broom
MMK731,4.156,Mariendistel,σίλλυβον,Milk thistle
MMK732,4.157,Salbeneichel,βάλανος μυρεψική,Moringa sp. Ben
MMK733,4.158,Narzisse,νάρκισσος,Narcissus
MMK734,4.159,Stachelige Wolfsmilch,ἱπποφαές,Spurge
MMK735,4.160,Hippophaiston,ἱππόφαιστον,Hippophaiston
MMK736,4.161,Wunderbaum,κίκι,Castor oil tree
MMK737,4.162,Wolfsmilcharten,τιθύμαλλος,Euphorbia L. sp. Spurge
MMK738,4.163,Pityusa,πιτυούσα,Quacksalver’s spurge
MMK739,4.164,Lathyris,λαθυρίς,Caper spurge
MMK740,4.165,Peplos,πέπλος,Wartweed
MMK741,4.166,Peplis,πεπλίς,Wild purslane
MMK742,4.167,Erdfeige,χαμαισύκη,Thyme spurge
MMK743,4.168,Purgirwinde,σκαμμωνία,Scam mony
MMK744,4.169,Bergseidelbast,χαμελαία,Spurge olive
MMK745,4.170,S?dlicher Seidelbast,θυμελαία ἢ χαμελαία,Spurge flax
MMK746,4.171,Hollunder,ἀκτῆ,Elder
MMK747,4.172,Zwerghollunder,,
MMK748,4.173,Pyknokomon,πυκνόκομον,Motherwort
MMK749,4.174,Birnwolfsmilch,ἄπιος,Tuberous spurge
MMK750,4.175,Koloquinthe,κολόκυνθα ἀγρία,Colocynth
MMK751,4.176,Flachsseide,ἐπίθυμον,Epithymon
MMK752,4.177,Alypon,ἄλυπον,Herb terrible
MMK753,4.178,Empetron,ἔμπετρον,Sea heath
MMK754,4.179,Klematis,κληματίς,Traveler’s joy
MMK755,4.180,Wilde Rebe,ἄμπελος ἀγρία,Wild grapevine
MMK756,4.181,Weisse Rebe,ἄμπελος λευκή,Bryony
MMK757,4.182,Schwarze Rebe,ἄμπελος μέλαινα,Black bryony
MMK758,4.183,Wurmfarn,πετρίς,Male fern
MMK759,4.184,Saumfarn,θηλυπτερίς,Bracken
MMK760,4.185,T?pfelfarn,πολυπόδιον,Polypody
MMK761,4.186,Eichenfarn,δρυπτερίς,Black oak fern
MMK762,4.187,Saflor,κνῆκος,Safflower
MMK763,4.188,Bingelkraut,λινόζωστις,Mercury
MMK764,4.189,Hundskohl,,
MMK765,4.190,Grosses Heliotropion,ἡλιοτρόπιον τὸ μέγα,Large heliotrope
MMK766,4.191,Kleines Heliotropion,ἡλιοτρόπιον τὸ μικρόν,Small heliotrope
MMK767,4.192,Skorpionskraut,σκορπιοειδές,Scorpionwort
MMK768,4.X,Saxifragon,,
MMK769,5.1,Weinstock,ἄμπελος οἰνοφόρος,Grapevine
MMK770,5.2,Wilder Weinstock,ἄμπελος ἀγρία,Wild grapevine
MMK771,5.3,Weintraube,σταφυλή,Grape
MMK772,5.4,Rosine,,
MMK773,5.5,Oinanthe (Frucht des wilden Weinstockes),οἰνάνθη,Oinanthe
MMK774,5.6,Omphakion,ὀμφάκιον,Omphacion
MMK775,5.7,Die Eigenschaft der Weine nach ihrem Alter,οἶνοι,Wines
MMK776,5.8,Nach der Farbe,,
MMK777,5.9,Nach dem Geschmack und den Zus?tzen,,
MMK778,5.10,Unterschied nach den Ursprungsgegenden,,
MMK779,5.11,Kr?fte der Weine,,
MMK780,5.12,Omphakiteswein,,
MMK781,5.13,Zweiter und kraftloser Wein,,
MMK782,5.14,Wein aus der wilden Traube,,
MMK783,5.15,Honigwein,μελιλίτης,Melitites
MMK784,5.16,Oinomeli,οἰνόμελι,Wine and honey mixture
MMK785,5.17,Melikraton,μελίκρατον,Mixture of honey and water = Hydromel
MMK786,5.18,Wasser,ὕδωρ,Water
MMK787,5.19,Meerwasser,θαλάττιον ὕδωρ,Seawater
MMK788,5.20,Honigmeerwasser,θαλασσόμελι,Seawater mixed with honey
MMK789,5.21,Essig,ὄξος,Vinegar
MMK790,5.22,Sauerhonig,ὀξύμελι,Oxymel
MMK791,5.23,Salzessig,ὀξάλμη,Brine vinegar
MMK792,5.24,Thymoxalme,θυμοξάλμη,Brine vinegar flavored with Cretan thyme
MMK793,5.25,Meerzwiebelessig,τὸ σκιλλητικὸν ὄξος,Vinegar flavored with squill
MMK794,5.26,Meerzwiebelwein,ὁ ἀπὸ τῆς σκίλλης οἶνος,Wine from squill
MMK795,5.27,Meerwasserwein,οἱ διὰ θαλάττης οἶνοι,Wines made with seawater
MMK796,5.28,Andere k?nstliche Weine,ὁ κυδωνίτης,Wine flavored with quinces
MMK797,5.29,Apfelhonig,μηλόμελι,Honey flavored with quinces
MMK798,5.30,Wassermeth,ὑδρόμηλον,Water and honey flavored with quinces
MMK799,5.31,Herbetraubenmeth,ὀμφακόμελι,Unripe grapes and honey drink
MMK800,5.32,Birnenwein,ἀπίτης,Pear wine
MMK801,5.33,Weinbl?thenwein,οἰνάνθινος,Wine flavored with flowers of the wild grape
MMK802,5.34,Granatenwein,ῥοίτης,Pomegranate wine
MMK803,5.35,Rosenwein,ῥοδίτης,Wine flavored with roses
MMK804,5.36,Myrtenbeerenwein,μυρτίτης,Myrtle wine
MMK805,5.37,Myrtenwein,μυρσινίτης,Wine flavored with myrtles
MMK806,5.38,Mastixwein,σχίνινος,Mastic wine
MMK807,5.39,Terebinthenwein,,
MMK808,5.40,Dattelwein,φοινικίτης,Date palm wine
MMK809,5.41,Feigenwein,ὁ τροχίτης,Fig wine
MMK810,5.42,Sykomorenwein,ὁ ἐκ τῶν συκομόρων,Wine of sycamore figs
MMK811,5.43,Geharzter Wein,ὁ ῥητινίτης,Wine flavored with resin
MMK812,5.44,Zirbelnusswein,6 στροβιλίτης,Wine flavored with strobilos pine cones
MMK813,5.45,Cedernwein,ὁ κέδρινος ἢ ἀρκεύθινος ἢ κυπαρίσσινος ἢ δάφνινος πιτύινος ἢ ἐλάτινος,Wine flavored with cedar or juniper or cypress or sweet bay or pitys pine or fir
MMK814,5.46,Wachholderwein,,
MMK815,5.47,Cedernharzwein,κεδρίτης,Wine flavored with resin of Syrian cedar
MMK816,5.48,Pechwein,οἶνος πισσίτης,Wine flavored with pitch
MMK817,5.49,Wermuthwein,ἀψινθίτης,Wine flavored with wormwood artemisia absinthium
MMK818,5.50,Hysopwein,ὑσσωπίτης,Wine flavored with hyssop
MMK819,5.51,Gamanderwein,ὁ χαμαιδρυίτης,Wine flavored with germander
MMK820,5.52,Lavendelwein,ὁ > στοιχαδίτης,Wine flavored with French lavender
MMK821,5.53,Lavendelessig,ὂξος διὰ στοιχάδος,French lavender vinegar
MMK822,5.54,Gliedkrautwein,ἐκ κέστρου τοῦ ψυχροτρόφου οἶνος,Wine made from betony
MMK823,5.55,Tragoriganoswein,τραγοριγανίτης,Wine flavored with goat’s marjoram
MMK824,5.56,Erdknotenwein,οἶνος διὰ βουνίου,Wine flavored with earthnuts
MMK825,5.57,Diptamwein,δικταμνίτης,Wine flavored with dittany of Crete
MMK826,5.58,Andornwein,ὁ διὰ πρασίου,Wine flavored with horehound
MMK827,5.59,Thymianwein,θυμίτης,Wine flavored with Cretan thyme
MMK828,5.60,Satureiwein,θυμβρίτης,Wine flavored with savory
MMK829,5.61,Dostenwein,οἶνος ὀριγανίτης,Wine flavored with oregano
MMK830,5.62,"Minzen-, Polei- und Beifusswein",οἶνος καλαμινθίτης,wormwood artemisia abrotonon
MMK831,5.63,Berufskrautwein,οἶνος κονυζίτης,Wine flavored with fleabane
MMK832,5.64,Gew?rzter Wein,οἶνος ἀρωματίτης,Wine made with aromatics
MMK833,5.65,"Wein aus Myrrhe, Pfeffer und Schwertlilie",οἶνος πρὸς κατάρρους,Wine for catarrhs
MMK834,5.66,Nektarwein,ὁ νεκταρίτης,Wine flavored with elecampane
MMK835,5.67,Wein aus syrischer und keltischer Narde und aus Malabathron,ὁ διὰ Συριακῆς νάρδου καὶ Κελτικῆς καὶ μαλαβάθρου,and leaf of malabar
MMK836,5.68,Aronswein,ἀσαρίτης,Wine flavored with hazelwort
MMK837,5.69,Wein aus der wilden Narde,ὁ διὰ τῆς ἀγρίας ἀγρίας,Wine flavored with Cretan spikenard
MMK838,5.70,M?hrenwein,δαυκίτης,Wine flavored with daucos
MMK839,5.71,Salbeiwein,ἐλελισφακίτης,Wine flavored with sage
MMK840,5.72,Panaxwein,πανακίτης,Wine flavored with allheal
MMK841,5.73,Akoronwein,ἀκορίτης καὶ ὁ ἀπὸ γλυκορρίζης,Wine flavored with yellow flag and wine flavored with licorice
MMK842,5.74,Selleriewein,σελινίτης,Wine flavored with celery
MMK843,5.75,Fenchel- und Dillwein,μαραθίτης καὶ ἀνήθινος καὶ πετροσελινίτης,and wine flavored parsley
MMK844,5.76,Salzbl?thewein,δι' ἁλὸς ἄνθους οἶνος,Wine from salt-water froth
MMK845,5.77,Abortivwein,φθόριος ἐμβρύων οἶνος,Abortifacient wine
MMK846,5.78,Seidelbastwein,θυμελαίτης,Wine flavored with spurge flax
MMK847,5.79,Bergseidelbastwein,χαμελαίτης,Wine flavored with spurge olive
MMK848,5.80,G?nselwein,χαμαιπιτύινος,Wine flavored with ground pine
MMK849,5.81,Mandragorawein,μανδραγορίτης,Wine flavored with mandrake
MMK850,5.82,Nieswurzwein,ἐλλεβορίτης,Wine flavored with hellebore
MMK851,5.83,Purgirwindenwein,σκαμμωνίτης,Wine flavored with scammony
