mm_id,chapter_key,berendes_term,beck_greek_lemma,beck_latin_lemma
MMK080,1.78,B?otische Myrrhe,Βοιωτικὴ σμύρνα,Boiotian myrrh
MMK081,1.79,Styrax,στύραξ,Storax
MMK082,1.80,Bdellion,βδέλλιον,Bdellium
MMK083,1.81,Weihrauch,λίβανος,Frankincense
MMK084,1.82,Weihrauchrinde,,
MMK085,1.83,Manna des Weihrauchs,,
MMK086,1.84,Weihrauchruss,,
MMK087,1.85,Bereitung des Russes,,
MMK088,1.86,Pinie,πίτυς,Pitys pine
MMK089,1.87,Pityiden,,
MMK090,1.88,Zapfen,,
MMK091,1.89,Schinos,σχῖνος,Mastic
MMK092,1.90,Mastixharz,,
MMK093,1.91,Terebinthe,τέρμινθος,Terebinth
MMK094,1.92,Andere Harze,,
MMK095,1.93,Die Art und Weise das Harz zu brennen,,
MMK096,1.94,Fl?ssiges Pech,πίσσα,Pitch
MMK097,1.95,Theer?l,,
MMK098,1.96,Russ des Theers,,
MMK099,1.97,Pech,,
MMK100,1.98,Zopissa,,
MMK101,1.99,Asphalt,ἀσφαλτος,Asphalt
MMK102,1.100,Pissasphalt,,
MMK103,1.101,Naphtha,,
MMK104,1.102,Cypresse,κυπάρισσος,Cypress
MMK105,1.103,Wachholder,ἄρκευθος,Juniper
MMK106,1.104,Sadebaum,βράθυ,Savin
MMK107,1.105,Ceder,κέδρος,Cedar
MMK108,1.106,Lorbeer,δάφνη,Sweet bay
MMK109,1.107,Platane,πλάτανος,Plane
MMK110,1.108,Manna-Esche,μελία,Manna ash
MMK111,1.109,Weisspappel,λεύκη,White poplar
MMK112,1.110,Schwarzpappel,αἴγειρος,Black poplar
MMK113,1.111,Makir,μάκιρ,Mace
MMK114,1.112,Ulme,πτελέα,Elm
MMK115,1.113,F?ule des Holzes,,
MMK116,1.114,Rohr,κάλαμος,Reed
MMK117,1.115,Papyrus,πάπυρος,Papyrus
MMK118,1.116,Tamariske,μυρίκη,Tamarisk
MMK119,1.117,Heide,ἐρείκη,Tree heath
MMK120,1.118,Akakalis,ἀκακαλλίς,Acacallis
MMK121,1.119,Wegdorn,ῥάμνος,Boxthorn
MMK122,1.120,Melde,ἅλιμον,Tree purslane
MMK123,1.121,Paliuros,παλίουρος,Christ’s-thorn
MMK124,1.122,Oxyankantha,ὀξυάκανθα,Fiery thorn
MMK125,1.123,Kynosbatos,κυνόσβατος,White rose
MMK126,1.124,Lawsonia,κύπρος,Henna
MMK127,1.125,Phillyrea,φιλύρα,Lime tree
MMK128,1.126,Kistos,κισθός,Rock rose
MMK129,1.127,Hypokistis,,
MMK130,1.128,Ladanum,,
MMK131,1.129,Ebenholz,ἔβενος,Ebony
MMK132,1.130,Rosen,ῥόδα,Roses
MMK133,1.131,Rosenpastillen,,
MMK134,1.132,Lykion,λύκιον,Dyer’s buckthorn
MMK135,1.133,Akazie,ἀκακία,Shittah tree
MMK136,1.134,Keuschlammstrauch,ἄγνος ἢ λύγος,Chaste tree
MMK137,1.135,Weide,ἰτέα,Willow
MMK138,1.136,Wilder Oelbaum,ἀγριελαία,Wild olive tree
MMK139,1.137,Oelbaum,,
MMK140,1.138,In Salzlake eingemachte Oliven,,
MMK141,1.139,Oel aus der wilden Olive,,
