id,edition_id,ref,segment,term,term_greek,term_latin,page,div_id,seg_id,url,notes
laguna:1.9,laguna,1.9,,nardo montano,"νάρδος, ὀρεινὴ",,9,div-21,,,
"barbaro:VIII",barbaro,"VIII",,Nardum montanum,,,2,,,,
lusitanus:8,lusitanus,8,,De montana nardo,,,20,,,,
monardes:VIII,monardes,VIII,,Du nard de Montaigne,,,29,,,,
wellmann:1.101,wellmann,1.101,,ἀκακία,,,,div-274,,,
berendes:1.9,berendes,1.9,,Haselwurz,ἄσαρον,,032,div-18,,,
beck:1.10,beck,1.10,,Hazelwort,ἄσαρον,,,div-30,,,
gunther:1.9,gunther,1.9,,ASARON,,,,div-10,,,
laguna:1.10,laguna,1.10,,ásaro,ἄσαρον,,10,div-23,,,
"barbaro:IX",barbaro,"IX",,Asaron,,,2,,,,
lusitanus:9,lusitanus,9,,De assaro,,,20,,,,
monardes:IX,monardes,IX,,Du cabaret,,,30,,,,
wellmann:1.11,wellmann,1.11,,φοῦ,,,,div-39,,,
berendes:1.10,berendes,1.10,,Phu,φοῦ,,033,div-20,,,
beck:1.11,beck,1.11,,Cretan spikenard,φοῦ,,,div-31,,,
gunther:1.10,gunther,1.10,,PHOU,,,,div-11,,,
laguna:1.11,laguna,1.11,,valeriana,φοῦ,,11,div-26,,,
"barbaro:X",barbaro,"X",,Phu,,,2,,,,
lusitanus:10,lusitanus,10,,De phu,,,21,,,,
monardes:X,monardes,X,,"De phu, ou grande valeriane",,,31,,,,
wellmann:1.12,wellmann,1.12,,μαλάβαθρον,,,,div-42,,,
berendes:1.11,berendes,1.11,,Malabathron,μαλάβαθρον,,034,div-35,,,
beck:1.12,beck,1.12,,Malabar,μαλάβαθρον,,,div-32,,,
laguna:1.12,laguna,1.12,,pachuli,μαλάβαθρον,,12,div-28,,,
"barbaro:XI",barbaro,"XI",,Malabathrum,,,2,,,,
lusitanus:11,lusitanus,11,,De malabathro,,,22,,,,
monardes:XI,monardes,XI,,Du malabatre,,,33,,,,
wellmann:1.13,wellmann,1.13,,κασσία,,,,div-45,,,
berendes:1.12,berendes,1.12,,Kassia,κασσία,,035,div-37,,,
beck:1.13,beck,1.13,,Cassia,κασσία,,,div-33,,,
gunther:1.12,gunther,1.12,,KASSIA,,,,div-12,,,
laguna:1.13,laguna,1.13,,canelero de China,κασσία,,13,div-31,,,
"barbaro:XII",barbaro,"XII",,Cassia,,,0,,,,
lusitanus:12,lusitanus,12,,De casia,,,23,,,,
monardes:XII,monardes,XII,,De la canelle,,,35,,,,
wellmann:1.14,wellmann,1.14,,κινάμωμον,,,,div-49,,,
berendes:1.13,berendes,1.13,,Zimmt,κιννάμωμον,,037,div-39,,,
beck:1.14,beck,1.14,,Cinnamon,κινάμωμον,,,div-34,,,
gunther:1.13,gunther,1.13,,KINAMOMON,,,,div-13,,,
laguna:1.14,laguna,1.14,,canelero de Ceilánfalso canelero,κιναμῶμος,,15,div-36,,,
"barbaro:XIII",barbaro,"XIII",,Cinnamomum,,,0,,,,
lusitanus:13,lusitanus,13,,De cinnamomo,,,24,,,,
monardes:XIII,monardes,XIII,,Du cinamome,,,35,,,,
wellmann:1.15,wellmann,1.15,,ἄμωμον,,,,div-54,,,
berendes:1.14,berendes,1.14,,Amomum,ἄμωμον,,039,div-41,,,
beck:1.15,beck,1.15,,Nepal cardamom,ἄμωμον,,,div-35,,,
gunther:1.14,gunther,1.14,,AMOMON,,,,div-14,,,
laguna:1.15,laguna,1.15,,amomo,ἄμωμον,,16,div-38,,,
"barbaro:XIIII",barbaro,"XIIII",,Amomum,,,3,,,,
lusitanus:14,lusitanus,14,,Amomum,,,27,,,,
monardes:XIIII,monardes,XIIII,,De l'amome,,,41,,,,
wellmann:1.16,wellmann,1.16,,κόστος,,,,div-57,,,
berendes:1.15,berendes,1.15,,Kostus,κόστος,,041,div-43,,,
beck:1.16,beck,1.16,,Costusroot,κόστος,,,div-36,,,
gunther:1.15,gunther,1.15,,KOSTOS,,,,div-15,,,
laguna:1.16,laguna,1.16,,costo,κόστος,,17,div-40,,,
"barbaro:XV",barbaro,"XV",,Costum,,,3,,,,
lusitanus:15,lusitanus,15,,"Costus (costum, costus). Falsus costus (hortulana romana, menta romana, menta sarracenica, costus hortulanus / du cocq)",,,28,,,,
monardes:CXXVI,monardes,CXXVI,,De l'escorce ou couverture des dattes en fleur,,,147,,,,
wellmann:1.17,wellmann,1.17,,σχοῖνος,,,,div-60,,,
berendes:1.16,berendes,1.16,,Bartgras,σχοῖνος,,042,div-44,,,
beck:1.17,beck,1.17,,Camel hay,σχοῖνος,,,div-37,,,
gunther:1.16,gunther,1.16,,SCHOINOS,,,,div-16,,,
laguna:1.17,laguna,1.17,,esquenanto,σχοῖνος,,18,div-43,,,
"barbaro:XVI",barbaro,"XVI",,Iuncus odoratus,,,3,,,,
lusitanus:16,lusitanus,16,,De schoeno,,,30,,,,
monardes:XVI,monardes,XVI,,Du ionc odorant,,,43,,,,
wellmann:1.18,wellmann,1.18,,κάλαμος ἀρωματικός,,,,div-63,,,
berendes:1.17,berendes,1.17,,Kalmus,κάλαμος,,043,div-46,,,
beck:1.18,beck,1.18,,Sweet flag,κάλαμος ἀρωματικός,,,div-38,,,
laguna:1.18,laguna,1.18,,cálamo aromático,κάλαμος ἀρωματικός,,19,div-45,,,
"barbaro:XVII",barbaro,"XVII",,Calamus odoratus,,,3,,,,
lusitanus:17,lusitanus,17,,De calamo aromatico,,,31,,,,
monardes:XVII,monardes,XVII,,De la canne odorante,,,44,,,,
wellmann:1.19,wellmann,1.19,,βάλσαμον,,,,div-65,,,
berendes:1.18,berendes,1.18,,Balsam,βάλσαμον,,045,div-48,,,
beck:1.19,beck,1.19,,Mecca balsam,βάλσαμον,,,div-39,,,
gunther:1.18,gunther,1.18,,BALSAMON,,,,div-17,,,
laguna:1.19,laguna,1.19,,balsameroopobálsamoxilobálsamo,βάλσαμον,,20,div-48,,,
"barbaro:XVIII",barbaro,"XVIII",,Balsamus,,,3,,,,
lusitanus:18,lusitanus,18,,De balsamo,,,33,,,,
monardes:XVIII,monardes,XVIII,,Du baume,,,46,,,,
wellmann:1.20,wellmann,1.20,,ἀσπάλαθος,,,26,div-71,,,
berendes:1.19,berendes,1.19,,Aspalathos,ἀσπάλαθος,,048,div-50,,,
beck:1.20,beck,1.20,,Camel’s-thorn,ἀσπάλαθος,,,div-40,,,
gunther:1.19,gunther,1.19,,ASPALATHOS,,,,div-18,,,
laguna:1.20,laguna,1.20,,aspálato,ἀσπάλαθος,,23,div-55,,,
"barbaro:XVIIII",barbaro,"XVIIII",,Aspalathus,,,0,,,,
lusitanus:19,lusitanus,19,,De aspalatho,,,36,,,,
monardes:XIX,monardes,XIX,,De l'aspalathe,,,48,,,,
wellmann:1.21,wellmann,1.21,,βρύον,,,,div-74,,,
berendes:1.20,berendes,1.20,,Bryon,βρύον,,049,div-52,,,
beck:1.21,beck,1.21,,Tree moss,βρύον,,,div-41,,,
gunther:1.20,gunther,1.20,,BRUON,,,,div-19,,,
laguna:1.21,laguna,1.21,,musgo arbóreo,βρῦον,,24,div-57,,,
"barbaro:XX",barbaro,"XX",,Bryon,,,0,,,,
lusitanus:20,lusitanus,20,,De musco arborum,,,37,,,,
monardes:XX,monardes,XX,,De la mousse d'arbre,,,48,,,,
wellmann:1.22,wellmann,1.22,,ἀγάλοχον,,,,div-75,,,
berendes:1.21,berendes,1.21,,Agallochon,ἀγάλλοχον,,049,div-53,,,
beck:1.22,beck,1.22,,Aloewood/Eagle-wood,ἀγάλοχον,,,div-42,,,
gunther:1.21,gunther,1.21,,AGALLOCHON,,,,div-20,,,
laguna:1.22,laguna,1.22,,agáloco,ἀγάλοχος,,25,div-60,,,
"barbaro:XXI",barbaro,"XXI",,Agallochum,,,0,,,,
lusitanus:21,lusitanus,21,,De agallocho,,,40,,,,
monardes:XXI,monardes,XXI,,De l'agalloche ou boi d'aloes,,,51,,,,
wellmann:1.23,wellmann,1.23,,νάσκαφθον,,,,div-76,,,
berendes:1.22,berendes,1.22,,Naskaphthon,νάσκαφθον,,051,div-55,,,
beck:1.23,beck,1.23,,Nascaphthon,νάσκαφθον,,,div-43,,,
laguna:1.23,laguna,1.23,,unknown,νάσκαφθον,,26,div-62,,,
"barbaro:XXII",barbaro,"XXII",,Nascaphthum,,,4,,,,
lusitanus:22,lusitanus,22,,De narcaphto,,,41,,,,
monardes:XXII,monardes,XXII,,Du narcaphthe,,,52,,,,
wellmann:1.24,wellmann,1.24,,κάγκαμον,,,,div-77,,,
berendes:1.23,berendes,1.23,,Kankamon,κάγκαμον,,051,div-56,,,
beck:1.24,beck,1.24,,Bisabol,κάγκαμον,,,div-44,,,
gunther:1.23,gunther,1.23,,KANKAMON,,,,div-21,,,
laguna:1.24,laguna,1.24,,mirra bisabol,κάγκαμον,,27,div-64,,,
"barbaro:XXIII",barbaro,"XXIII",,Cancamum,,,4,,,,
lusitanus:23,lusitanus,23,,De cancamo,,,42,,,,
monardes:XXIII,monardes,XXIII,,Du cancame,,,52,,,,
wellmann:1.25,wellmann,1.25,,κῦφι,,,,div-78,,,
berendes:1.24,berendes,1.24,,Kyphi,κῦφι,,052,div-57,,,
beck:1.25,beck,1.25,,Cyphi,κῦφι,,,div-45,,,
laguna:1.25,laguna,1.25,,kŷphi,κῦφι,,28,div-67,,,
"barbaro:XXIIII",barbaro,"XXIIII",,Cyphi,,,4,,,,
lusitanus:24,lusitanus,24,,De cyphi,,,43,,,,
monardes:XXIIII,monardes,XXIIII,,De cyphi,,,54,,,,
wellmann:1.26,wellmann,1.26,,κρόκος,,,,div-81,,,
berendes:1.25,berendes,1.25,,Safran,κρόκος,,053,div-59,,,
beck:1.26,beck,1.26,,Saffron,κρόκος,,,div-46,,,
gunther:1.25,gunther,1.25,,KROKOS,,,,div-22,,,
laguna:1.26,laguna,1.26,,azafrán,κρόκος,,29,div-69,,,
"barbaro:XXV",barbaro,"XXV",,Crocum,,,4,,,,
lusitanus:25,lusitanus,25,,De croco,,,45,,,,
monardes:XXV,monardes,XXV,,Du saffran,,,54,,,,
wellmann:1.27,wellmann,1.27,,κροκόμαγμα,,,,div-85,,,
berendes:1.26,berendes,1.26,,Krokomagma,κροκόμαγμα,,054,div-61,,,
beck:1.27,beck,1.27,,Saffron residuum,κροκόμαγμα,,,div-47,,,
laguna:1.27,laguna,1.27,,ungüento de azafrán,κροκόμαγμα,,30,div-71,,,
"barbaro:XXVI",barbaro,"XXVI",,Crocomagma,,,4,,,,
lusitanus:26,lusitanus,26,,De crocomagmate,,,46,,,,
monardes:XXVI,monardes,XXVI,,Du crocomagme,,,54,,,,
wellmann:1.28,wellmann,1.28,,ἐλένιον,,,,div-86,,,
berendes:1.27,berendes,1.27,,Alant,ἑλένιον,,054,div-62,,,
beck:1.28,beck,1.28,,Elecampane,ἑλένιον,,,div-48,,,
gunther:1.27,gunther,1.27,,ELENION,,,,div-23,,,
laguna:1.28,laguna,1.28,,helenio,ἑλένιον,,31,div-74,,,
"barbaro:XXVII",barbaro,"XXVII",,Helenium,,,4,,,,
lusitanus:27,lusitanus,27,,De enula campana,,,46,,,,
monardes:XXVII,monardes,XXVII,,De l'aunee,,,55,,,,
wellmann:1.29,wellmann,1.29,,ἐλένιον ἄλλο,,,,div-89,,,
berendes:1.28,berendes,1.28,,Aegyptischer Alant,ἑλένιον αἰγυπτίον,,055,div-63,,,
beck:1.29,beck,1.29,,Another elecampane,ἑλένιον ἄλλο,,,div-49,,,
gunther:1.28,gunther,1.28,,ELENION AIGUPTION,,,,div-24,,,
laguna:1.29,laguna,1.29,,calaminta cana,ἑλένιον ἄλλο,,32,div-76,,,
"barbaro:XXVIII",barbaro,"XXVIII",,Helenium Aegyptium,,,4,,,,
lusitanus:27,lusitanus,27,,De enula campana,,,46,,,,
monardes:XXVII,monardes,XXVII,,De l'aunee,,,55,,,,
wellmann:1.30,wellmann,1.30,,ἔλαιον,,,,div-90,,,
berendes:1.29,berendes,1.29,,Oel aus unreifen Oliven,ἔλαιον ὠμοτρίβες,,056,div-65,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.29,gunther,1.29,,ELAION OMOTRIBES,,,,div-25,,,
laguna:1.30,laguna,1.30,,aceite de oliva,ἔλαιον,,33,div-78,,,
"barbaro:XXIX",barbaro,"XXIX",,Omphacinum,,,0,,,,
lusitanus:28,lusitanus,28,,De oleo,,,48,,,,
monardes:XXVIII,monardes,XXVIII,,"De l'huile omphacin, et de tout huile en general",,,56,,,,
wellmann:1.30.2,wellmann,1.30.2,,ἔλαιον,,,,div-92,,,
berendes:1.30,berendes,1.30,,Gewöhnliches Oel,ἔλαιον κοινόν,,056,div-66,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.30,gunther,1.30,,ELAION KOINON,,,,div-26,,,
laguna:1.30,laguna,1.30,,aceite de oliva,ἔλαιον,,34,div-79,,,
"barbaro:XXX",barbaro,"XXX",,Oleum ex Drupa,,,0,,,,
lusitanus:28,lusitanus,28,,De oleo,,,48,,,,
monardes:XXVIII,monardes,XXVIII,,"De l'huile omphacin, et de tout huile en general",,,56,,,,
wellmann:1.30,wellmann,1.30,,ἔλαιον,,,,div-90,,,
berendes:1.31,berendes,1.31,,Oel des wilden Oelbaumes,ἔλαιον ἐκ τῆς ἀγρίας ἐλαίας,,057,div-68,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.31,gunther,1.31,,ELAION AGRIAS ELAIAS,,,,div-27,,,
laguna:1.30.3,laguna,1.30.3,,aceite de acebuche,ἔλαιον τὸ ἐκ τῆς ἀγρίας ἐλαίας,,,div-81,,,
"barbaro:XXXI",barbaro,"XXXI",,Oleum ex oleastro,,,0,,,,
lusitanus:29,lusitanus,29,,De oleo oleastri,,,49,,,,
monardes:XXIX,monardes,XXIX,,De l'huile d'olives sauvages,,,57,,,,
wellmann:1.30,wellmann,1.30,,ἔλαιον,,,,div-90,,,
berendes:1.32,berendes,1.32,,Weisses Oel,ἔλαιον λευκόν,,057,div-70,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.32,gunther,1.32,,ELAION LEUKON,,,,div-28,,,
laguna:1.31,laguna,1.31,,,,,35,,,,
"barbaro:XXXII",barbaro,"XXXII",,Oleum candidum,,,0,,,,
lusitanus:29,lusitanus,29,,De oleo oleastri,,,49,,,,
monardes:XXIX,monardes,XXIX,,De l'huile d'olives sauvages,,,57,,,,
wellmann:1.30,wellmann,1.30,,ἔλαιον,,,,div-90,,,
berendes:1.33,berendes,1.33,,Sikyonisches Oel,Σικυώνιον ἔλαιον,,057,div-71,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.33,gunther,1.33,,ELAION SIKUONION,,,,div-29,,,
laguna:1.31,laguna,1.31,,aceite de Sición,σικυώνιον ἔλαιον,,,div-83,,,
"barbaro:XXXIII",barbaro,"XXXIII",,Oleum Sicyonium,,,0,,,,
lusitanus:30,lusitanus,30,,De oleo albo sicyonio dicto,,,49,,,,
monardes:XXX,monardes,XXX,,De l'huile cycionien,,,57,,,,
wellmann:1.30,wellmann,1.30,,ἔλαιον,,,,div-90,,,
berendes:1.34,berendes,1.34,,Der Schmutz der Bäder,ῥύπος βαλανείων,,058,div-73,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.34,gunther,1.34,,RUPOS,,,,div-30,,,
"barbaro:XXXIIII",barbaro,"XXXIIII",,Strigmenta à balneis,,,0,,,,
lusitanus:30,lusitanus,30,,De oleo albo sicyonio dicto,,,49,,,,
monardes:XXXI,monardes,XXXI,,Des raclures,,,57,,,,
wellmann:1.30,wellmann,1.30,,ἔλαιον,,,,div-90,,,
berendes:1.35,berendes,1.35,,Der Schmutz aus den Ringplätzen,ῥύπος ἐκ τῆς παλαίστρας,,058,div-74,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.35,gunther,1.35,,RUPOS PALAISTRA,,,,div-31,,,
laguna:1.30.6,laguna,1.30.6,,mugre de la palestra,ῥύπος ἐκ τῆς παλαίστρας,,956,div-2185,,,
"barbaro:XXXV",barbaro,"XXXV",,Strigmenta palaestritarum,,,0,,,,
lusitanus:30,lusitanus,30,,De oleo albo sicyonio dicto,,,49,,,,
monardes:XXXI,monardes,XXXI,,Des raclures,,,57,,,,
wellmann:1.30,wellmann,1.30,,ἔλαιον,,,,div-90,,,
berendes:1.36,berendes,1.36,,Der Schmutz der Turnplätze,ῥύπος γυμνασίων,,059,div-75,,,
beck:1.30,beck,1.30,,Olive oil,ἔλαιον,,,div-50,,,
gunther:1.36,gunther,1.36,,RUPOS GYMNASION,,,,div-32,,,
laguna:1.30.6b,laguna,1.30.6b,,mugre de estatua,ῥύπος ἐν τοῖς τόχοις καὶ ἀπὸ τῶν ἀδριάντων,,957,div-2187,,,
"barbaro:XXXVI",barbaro,"XXXVI",,Strigmenta à partibus gymnasiorum,,,0,,,,
lusitanus:30,lusitanus,30,,De oleo albo sicyonio dicto,,,49,,,,
monardes:XXXI,monardes,XXXI,,Des raclures,,,57,,,,
wellmann:1.31,wellmann,1.31,,ἐλαιόμελι,,,,div-97,,,
berendes:1.37,berendes,1.37,,Honigöl,ἐλαιόμελι,,059,div-76,,,
beck:1.31,beck,1.31,,Olive tree sweet gum,ἐλαιόμελι,,,div-51,,,
gunther:1.38,gunther,1.38,,KIKINON ELAION,,,,div-33,,,
"barbaro:XXXVII",barbaro,"XXXVII",,Elaeomeli,,,0,,,,
lusitanus:31,lusitanus,31,,De elaeomelle,,,50,,,,
monardes:XXXII,monardes,XXXII,,De elaeomeli,,,58,,,,
wellmann:1.32,wellmann,1.32,,κίκινον,,,,div-98,,,
berendes:1.38,berendes,1.38,,Ricinusöl,κίκινον ἔλαιον,,060,div-77,,,
beck:1.32,beck,1.32,,Castor oil,κίκινον ἔλαιον,,,div-52,,,
gunther:1.39,gunther,1.39,,ELAION AMYGDALINON,,,,div-34,,,
laguna:1.32,laguna,1.32,,aceite de ricino,κίκινον ἔλαιον,,36,div-86,,,
"barbaro:XXXVIII",barbaro,"XXXVIII",,Oleum cicinum,,,5,,,,
lusitanus:32,lusitanus,32,,De oleo cicino,,,50,,,,
monardes:XXXIII,monardes,XXXIII,,De l'huile de la paulme de Christ,,,58,,,,
wellmann:1.33,wellmann,1.33,,ἀμυγδάλινον,,,,div-101,,,
berendes:1.39,berendes,1.39,,Mandelöl,ἀμυγδάλινον ἔλαιον,,060,div-78,,,
beck:1.33,beck,1.33,,Almond oil,ἀμυγδάλινον ἔλαιον,,,div-53,,,
gunther:1.40,gunther,1.40,,BALANINON ELAION,,,,div-35,,,
laguna:1.33,laguna,1.33,,aceite de almendra,ἀμυγδάλινον ἔλαιον,,37,div-88,,,
barbaro:XXXIX,barbaro,XXXIX,,Oleum amygdalinum,,,5,,,,
lusitanus:33,lusitanus,33,,De oleo amygdalarum,,,51,,,,
monardes:XXXIIII,monardes,XXXIIII,,De l'huile d'amandes,,,59,,,,
wellmann:1.34,wellmann,1.34,,βαλάνινον,,,,div-104,,,
berendes:1.40,berendes,1.40,,Behenöl,ἔλαιον βαλάνινον,,061,div-80,,,
beck:1.34,beck,1.34,,Oil from the nut of the ben tree,βαλάνινον,,,div-54,,,
gunther:1.41,gunther,1.41,,ELAION SESAMINON KAI KARUINON,,,,div-36,,,
laguna:1.34,laguna,1.34,,aceite de bellota,βαλάνινον ἔλαιον,,38,div-91,,,
barbaro:XL,barbaro,XL,,Oleum balaninum,,,5,,,,
lusitanus:34,lusitanus,34,,"De oleo balanino (oleum balaninum, oleum de myrobalano, unguentaria, oleum de muce sive glande ungunentaria, oleum de ben, oleum myrepsicum)",,,52,,,,
monardes:XXXV,monardes,XXXV,,"De l'huile de ben, sesamin, et de noix",,,59,,,,
wellmann:1.34,wellmann,1.34,,βαλάνινον,,,,div-104,,,
berendes:1.41,berendes,1.41,,Sesam- und Wallnussöl,ἔλαιον σησάμιον καἰ καρύϊνον,,061,div-81,,,
beck:1.34,beck,1.34,,Oil from the nut of the ben tree,βαλάνινον,,,div-54,,,
gunther:1.42,gunther,1.42,,YOSKUAMINON ELAION,,,,div-37,,,
barbaro:XLII,barbaro,XLII,,Oleum caryinum,,,5,,,,
lusitanus:34,lusitanus,34,,"De oleo sesamino (oleum sesaminum, oleum e sesamo semine). De oleo nucis (oleum nucis inglandis, oleum nucis basilicae, oleum nucis)",,,52,,,,
monardes:XXXV,monardes,XXXV,,"De l'huile de ben, sesamin, et de noix",,,59,,,,
wellmann:1.35,wellmann,1.35,,ὑοσκυάμινον,,,,div-105,,,
berendes:1.42,berendes,1.42,,Bilsenöl,ὑοσκυάμινον ἔλαιον,,062,div-82,,,
beck:1.35,beck,1.35,,Oil of henbane,ὑοσκυάμινον,,,div-55,,,
gunther:1.43,gunther,1.43,,KNIDELAION,,,,div-38,,,
laguna:1.35,laguna,1.35,,aceite de beleño,ὑοσκυάμινον ἔλαιον,,39,div-93,,,
"barbaro:XLIII",barbaro,"XLIII",,Oleum hyoscyaminum,,,5,,,,
lusitanus:35,lusitanus,35,,De oleo hyoscyamino,,,53,,,,
monardes:XXXVI,monardes,XXXVI,,"De l'huile de iusquiame, de la graine de thymelee, de saffran sauvage, des semences de Réfort, de Nielle & de Moutarde",,,60,,,,
wellmann:1.36,wellmann,1.36,,"Κνιδίου κόκκου, ἔλαιον σκευάζεται διὰ τοῦ",,,,div-106,,,
berendes:1.43,berendes,1.43,,Knidisches Oel,Κνιδέλαιον,,062,div-83,,,
beck:1.36,beck,1.36,,Oil from berries of spurge flax,Κνιδίου κόκκου,,,div-56,,,
gunther:1.44,gunther,1.44,,KNIKELAION,,,,div-39,,,
laguna:1.36a,laguna,1.36a,,aceite de torvisco,κνιδέλαιον (κνίδιον ἔλαιον),,40,div-95,,,
"barbaro:XLIIII",barbaro,"XLIIII",,Oleum gnidium,,,5,,,,
lusitanus:36,lusitanus,36,,De oleo de grano cnidio sive gnidio,,,44,,,,
