edition,edition_entry_id,barbaro_page,barbaro_book,barbaro_chapter,barbaro_term
barbaro,row128,27,CXXVIII,14,Halimon
barbaro,row129,27,CXXIX,14,Paliurus
barbaro,row130,27,CXXX,14,Oxyacanthos
barbaro,row131,27,CXXXI,14,Cynosbatos
barbaro,row132,27,CXXXII,14,Cyprus
barbaro,row133,28,CXXXIII,0,Tilia
barbaro,row134,28,CXXXIIII,0,Cistus
barbaro,row135,28,CXXXV,0,Hypocistis
barbaro,row136,28,CXXXVI,0,Cistos alia
barbaro,row137,28,CXXXVII,0,Ebenus
barbaro,row138,28,CXXXVIII,0,Rosa
barbaro,row139,29,CXXXIX,13,Rhodides
barbaro,row140,29,CXL,13,Lycium
barbaro,row141,29,CXLI,13,Acacia
barbaro,row142,30,CXLII,0,Acacia alia
barbaro,row143,30,CXLIII,0,Amurca
barbaro,row144,30,CXLIIII,0,Vitex
barbaro,row145,30,CXLV,0,Salix
barbaro,row146,30,CXLVI,0,Olea sylvestris
barbaro,row147,31,CXLVII,14,Olea
barbaro,row148,31,CXLVIII,14,Olivae Colymbades
barbaro,row149,32,CXLIX,0,Oleum sylvestris oleae
barbaro,row150,32,CL,0,Oleae Aethiopicae lachryma
barbaro,row151,32,CLI,0,Quercus
barbaro,row152,32,CLII,0,Glans
barbaro,row153,33,CLIII,15,Fagus et ilex
barbaro,row154,33,CLIIII,15,Castanea
barbaro,row155,34,CLV,0,Gallae
barbaro,row156,34,CLVI,0,Rhus
barbaro,row157,34,CLVII,0,Palma
barbaro,row158,35,CLVIII,16,Caryotae
barbaro,row159,35,CLIX,16,Thebaides
barbaro,row160,35,CLX,16,Palma elate
barbaro,row161,35,CLXI,16,Malum granatum
barbaro,row162,36,CLXIII,0,Cytinus
barbaro,row163,36,CLXIII,0,Malicorium
barbaro,row164,36,CLXIIII,0,Balaustium
barbaro,row165,36,CLXV,0,Myrtus
barbaro,row166,37,CLXVI,17,Myrtidanum
barbaro,row167,37,CLXVII,17,Cerasus
barbaro,row168,38,CLXVIII,0,Siliqua
barbaro,row169,38,CLXIX,0,Malus
barbaro,row170,39,CLXX,18,Cotonea
barbaro,row171,39,CLXXI,18,Melimela
barbaro,row172,39,CLXXII,18,Epirotica
barbaro,row173,39,CLXXIII,18,Sylvestria mala
barbaro,row174,39,CLXXIIII,18,Persicus
barbaro,row175,39,CLXXV,18,Armeniaca
barbaro,row176,39,CLXXVI,18,Citrea
barbaro,row177,40,CLXXVII,0,Pirus
barbaro,row178,41,CLXXVIII,19,Pirus sylvestris
barbaro,row179,41,CLXXIX,19,Mespilus
barbaro,row180,41,CLXXX,19,Epimelis
barbaro,row181,41,CLXXXI,19,Lotus arbor
barbaro,row182,42,CLXXXII,0,Cornus
barbaro,row183,42,CLXXXIII,0,Sorbus
barbaro,row184,43,CLXXXV,20,Arbutus
barbaro,row185,43,CLXXXVI,20,Amygdalus
barbaro,row186,43,CLXXXVII,20,Amygdalus dulcis
barbaro,row187,43,CLXXXVIII,20,Pistacea
barbaro,row188,44,CLXXXIX,0,Nux iuglans
barbaro,row189,44,CXC,0,Avellana
barbaro,row190,44,CXCI,0,Morus
barbaro,row191,45,CXCII,21,Ficus Aegyptia
barbaro,row192,45,CXCIII,21,Ficus Cypria
barbaro,row193,45,CXCIIII,21,Ficus
barbaro,row194,46,CXCV,0,Caprificus
barbaro,row195,47,CXCVI,22,Grossi
barbaro,row196,47,CXCVII,22,Lixivia è ficu
barbaro,row197,47,CXCVIII,22,Persea
barbaro,row198,47,CXCIX,22,Hiberis
barbaro,row199,47,CC,22,Halicacabus
