edition,edition_entry_id,dmm_id,greek_lemma,latin_lemma
beck,row478,DMM4005,πολύγονον θῆλυ,Mare’s tail
beck,row479,DMM4006,πολυγόνατον,P. officinale
beck,row480,DMM4007,κληματίς,Periwinkle
beck,row481,DMM4008,πολεμώνιον,Jacob’s ladder
beck,row482,DMM4009,σύμφυτον πετραῖον,Low pine
beck,row483,DMM4010,σύμφυτον ἄλλο,Comfrey
beck,row484,DMM4011,ὁλόστεον,Allbone
beck,row485,DMM4012,στοιβή,Thorny burnet
beck,row486,DMM4013,κλύμενον,Bearbind
beck,row487,DMM4014,περικλύμενον,Honeysuckle
beck,row488,DMM4015,τρίβολος χερσαῖος,Caltrops
beck,row489,DMM4016,λειμώνιον,Sea lavender
beck,row490,DMM4017,λαγώπουν,Hare’s foot trefoil
beck,row491,DMM4018,μήδιον,Medion
beck,row492,DMM4019,ἐπιμήδιον,Epimedion
beck,row493,DMM4020,ξίφιον,Corn flag
beck,row494,DMM4021,σπαργάνιον,Bur reed
beck,row495,DMM4022,ξυρίς,Gladwyn
beck,row496,DMM4023,ἄγχουσα,Alkanet
beck,row497,DMM4024,ἄγχουσα ἑτέρα,Another alkanet
beck,row498,DMM4025,ἄγχουσα ἄλλη,Another alkanet
beck,row499,DMM4026,λυκαψός,Viper’s herb
beck,row500,DMM4027,ἕχιον,Echion
beck,row501,DMM4028,ὠκιμοειδές,Catchfly
beck,row502,DMM4029,ἄγρωστις,Dogs-tooth grass
beck,row503,DMM4030,καλαμάγρωστις,Calamagrostis
beck,row504,DMM4031,ἡ δέ ἐν τῷ Παρνασσῷ ἄγρωστις,Grass of Parnassus
beck,row505,DMM4032,ἡ δέ ἐν Κιλικίᾳ γεννωμένη [ἄγρωστις],Wall barley
beck,row506,DMM4033,σιδηρῖτις,Iron wo rt
beck,row507,DMM4034,ἄλλη σιδηρῖτις,Burnet
beck,row508,DMM4035,σιδηρῖτις ἑτέρα,Figwort
beck,row509,DMM4036,Ἀχίλλειος,Achilles woundwort
beck,row510,DMM4037,βάτος,Bramble
beck,row511,DMM4038,βάτος Ἰδαία,Raspberry
beck,row512,DMM4039,ἑλξίνη,Bindweed
beck,row513,DMM4040,ἐλατίνη,Cankerwort
beck,row514,DMM4041,Εὐπατόριος,Agrimony
beck,row515,DMM4042,πεντέφυλλον,Cinquefoil
beck,row516,DMM4043,φοῖνιξ,Rye grass
beck,row517,DMM4044,Ἰδαία ῥιζα,Idaia rhiza
beck,row518,DMM4045,Ῥοδία ῥίζα,Shodia rhiza
beck,row519,DMM4046,ἵππουρις,Horsetail
beck,row520,DMM4047,ἑτέρα ἵππουρις,Another horse tail
beck,row521,DMM4048,κόκκος βαφική,Kermes oak
beck,row522,DMM4049,τράγιον,Stinking tutsan
beck,row523,DMM4050,τράγιον ἄλλο,Pimpinell
beck,row524,DMM4051,τράγος,Tragos
beck,row525,DMM4052,σχοῖνος ἐλείας,Rush
beck,row526,DMM4053,λειχήν ὁ ἐπὶ τῶν πετρῶν,The lichen growing on stones
beck,row527,DMM4054,παρωνυχία,Paronychia
beck,row528,DMM4055,χρυσοκόμη,Immortelle
beck,row529,DMM4056,χρυσόγονον,Black turrnip
beck,row530,DMM4057,ἐλίχρυσον ἢ χρυσάνθεμον,Gold flower
beck,row531,DMM4058,ἀγήρατον,Pot marjoram
beck,row532,DMM4059,περιστέριον,Vervain
beck,row533,DMM4060,ἱερὰ βοτάνη,Holy vervain
beck,row534,DMM4061,ἀστράγαλος,Milk vetch
beck,row535,DMM4062,ὑάκινθος,Wild hyacinth
beck,row536,DMM4063,μήκων ῥοιάς,Corn poppy
beck,row537,DMM4064,μήκων,Opium poppy
beck,row538,DMM4065,μήκων κερατῖτις,Horned poppy
beck,row539,DMM4066,μήκων ἀφρώδης,Frothy poppy
beck,row540,DMM4067,ὑπήκοον,Horned cumin
beck,row541,DMM4068,ὑοσκύαμος,Henbane
beck,row542,DMM4069,ψύλλιον,Fleawort
beck,row543,DMM4070,στρύχνον κηπαῖον,Hound’s berry
beck,row544,DMM4071,ἕτερον στρύχνον,Another hound’s
beck,row545,DMM4072,στρύχνον ὑπνωτικόν,Sleepy nightshade
beck,row546,DMM4073,στρύχνον μανικόν,Thorn apple
beck,row547,DMM4074,δορύκνιον,Convulvulus oleaefolius Desr. Dorycnion
beck,row548,DMM4075,μανδραγόρας,Mandrake
beck,row549,DMM4076,ἀκόνιτον,Leopard’s bane
beck,row550,DMM4077,ἀκόνιτον ἕτερον,Wolfsbane
beck,row551,DMM4078,κώνειον,Hemlock
beck,row552,DMM4079,σμῖλαξ,Yew
beck,row553,DMM4080,ἀπόκυνον,Dogbane
beck,row554,DMM4081,νήριον,Oleander
beck,row555,DMM4082,μύκητες,Mushrooms
beck,row556,DMM4083,Κολχικόν,Meadow saffron
beck,row557,DMM4084,ἐφήμερον,Ephemeron
beck,row558,DMM4085,ἐλξίνη,Pellitory
beck,row559,DMM4086,ἀλσίνη,Lichwort
beck,row560,DMM4087,φακὸς ὁ ἐπὶ τῶν τελμάτων,Duckweed
beck,row561,DMM4088,ἀείζῳον μέγα,Houseleek
beck,row562,DMM4089,ἀείζῳον τὸ μικρόν,Houseleek
beck,row563,DMM4090,τρίτον εἶδος ἀείζῳον,Stonecrop
beck,row564,DMM4091,κοτυληδών,Navelwort
beck,row565,DMM4092,ἕτερον εἶδος κοτυληδόνος,Another kind of navelwort
beck,row566,DMM4093,ἀκαλήφη,Stinging nettle
beck,row567,DMM4094,γαλήοψις,Brownwort
beck,row568,DMM4095,γάλιον,Bedstraw
beck,row569,DMM4096,ἠριγέρων,Groundsel
beck,row570,DMM4097,θαλίητρον,Meadow
beck,row571,DMM4098,βρύον θαλάσσιον,Sea lettuce
beck,row572,DMM4099,φῦκος,Seaweed
beck,row573,DMM4100,ποταμογείτων,Pondweed
beck,row574,DMM4101,στρατιώτης ὁ ἐπὶ τῶν ὑδάτων,Water lettuce
beck,row575,DMM4102,στρατιώτης ὁ χιλιόφυλλος,Yarrow or Milfoil
beck,row576,DMM4103,φλόμος,Mullein
beck,row577,DMM4104,Αἰθιοπίς,Silver sage
beck,row578,DMM4105,ἄρκτιον,Bearwort
beck,row579,DMM4106,ἄρκιον,Burdock
beck,row580,DMM4107,πετασῖτις,Butterbur
beck,row581,DMM4108,ἐπιπακτίς,Rupturewort
beck,row582,DMM4109,καπνὸς ὁ ἐν ταῖς κριθαῖς φυόμενος,Fumitory
beck,row583,DMM4110,λωτὸς ὁ ἐν τοῖς παραδείσοις φυόμενος,Italian melilot
beck,row584,DMM4111,λωτὸς ἄγριος,Wild fenugreek
beck,row585,DMM4112,κύτισος,Tree medick
beck,row586,DMM4113,λωτὸς ὁ ἐν Αἰγύπτῳ γεννώμενος,Egyptian lotus
beck,row587,DMM4114,μυριόφυλλον,Water milfoil
beck,row588,DMM4115,μυρρίς,Sweet cicely
beck,row589,DMM4116,μύαγρον,Ball mustard
beck,row590,DMM4117,ὀνάγρα,Oleander
beck,row591,DMM4118,κρίσσιον,Thistle
beck,row592,DMM4119,ἀστὴρ Ἀττικός,Blue daisy
beck,row593,DMM4120,ἰσόπυρον,Fumitory
beck,row594,DMM4121,ἴον,Violet
beck,row595,DMM4122,κακκαλία,Caccalia
beck,row596,DMM4123,βούνιον,Earthnut
beck,row597,DMM4124,ψευδοβούνιον,Cretan pimpinel
beck,row598,DMM4125,χαμαίκισσος,Ground ivy
beck,row599,DMM4126,χαμαιπεύκη,Fishbone thistle
beck,row600,DMM4127,βούγλωσσον,Bugloss
beck,row601,DMM4128,φύτευμα,Montpellier rocket
beck,row602,DMM4129,ὑπόγλωσσον,Horse tongue
beck,row603,DMM4130,ἀντίρρινον,Calf' s snout
beck,row604,DMM4131,κατανάγκη,Vetch
beck,row605,DMM4132,τριπόλιον,Sea starwort
beck,row606,DMM4133,κῆμος,Cemos
beck,row607,DMM4134,ἀδίαντον,Maidenhair
beck,row608,DMM4135,τριχομανές,Waterwort
beck,row609,DMM4136,ξάνθιον,Broad-leaved burweed
beck,row610,DMM4137,αἰγίλωψ,Haver grass
beck,row611,DMM4138,γλαύξ,Wart cress
beck,row612,DMM4139,πολύγαλον,Milkwort
beck,row613,DMM4140,ὄσιρις,Poet’s cassia
beck,row614,DMM4141,ἐχῖνος,Echinos
beck,row615,DMM4142,μῖλαξ τραχεῖα,Rough bindweed
beck,row616,DMM4143,μῖλαξ λεία,Great bindweed
beck,row617,DMM4144,μυρσίνη ἀγρία,Butcher’s broom
beck,row618,DMM4145,δάφνη Ἀλεξάνδρεια,Daphne
beck,row619,DMM4146,δαφνοειδές,Spurge laurel
beck,row620,DMM4147,χαμαιδάφνη,Chamaidaphne
beck,row621,DMM4148,ἐλλέβορος,White hellebore
beck,row622,DMM4149,σησαμοειδὲς τὸ μέγα,Bastard rocket
beck,row623,DMM4150,σίκυς ἄγριος,Squirting cu- cumber
beck,row624,DMM4151,ἡμέρου σικύου ἡ ῥιζα,Root of the cultivated cucumber
beck,row625,DMM4152,σταφὶς ἁγρία,Stavesacre
beck,row626,DMM4153,θαψία,Deadly carrot
beck,row627,DMM4154,σπάρτιον,Spanish broom
beck,row628,DMM4155,σίλλυβον,Milk thistle
beck,row629,DMM4156,βολβός ὁ ἐμετικός,Narcissus tazetta
beck,row630,DMM4157,βάλανος μυρεψική,Moringa sp. Ben
beck,row631,DMM4158,νάρκισσος,Narcissus
beck,row632,DMM4159,ἱπποφαές,Spurge
beck,row633,DMM4160,ἱππόφαιστον,Hippophaiston
beck,row634,DMM4161,κίκι,Castor oil tree
beck,row635,DMM4162,ἐλλέβορος ὁ μέλας,Black hellebore
beck,row636,DMM4163,σεσαμοειδὲς τὸ μικρόν,Purple rock
beck,row637,DMM4164,τιθύμαλλος,Euphorbia L. sp. Spurge
beck,row638,DMM4165,πιτυούσα,Quacksalver’s spurge
beck,row639,DMM4166,λαθυρίς,Caper spurge
beck,row640,DMM4167,πέπλος,Wartweed
beck,row641,DMM4168,πεπλίς,Wild purslane
beck,row642,DMM4169,χαμαισύκη,Thyme spurge
beck,row643,DMM4170,σκαμμωνία,Scam mony
beck,row644,DMM4171,χαμελαία,Spurge olive
beck,row645,DMM4172,θυμελαία ἢ χαμελαία,Spurge flax
beck,row646,DMM4173,ἀκτῆ,Elder
beck,row647,DMM4174,πυκνόκομον,Motherwort
beck,row648,DMM4175,ἄπιος,Tuberous spurge
beck,row649,DMM4176,κολόκυνθα ἀγρία,Colocynth
beck,row650,DMM4177,ἐπίθυμον,Epithymon
beck,row651,DMM4178,ἄλυπον,Herb terrible
beck,row652,DMM4179,ἔμπετρον,Sea heath
beck,row653,DMM4180,κληματίς,Traveler’s joy
beck,row654,DMM4181,ἄμπελος ἀγρία,Wild grapevine
beck,row655,DMM4182,ἄμπελος λευκή,Bryony
beck,row656,DMM4183,ἄμπελος μέλαινα,Black bryony
beck,row657,DMM4184,πετρίς,Male fern
beck,row658,DMM4185,θηλυπτερίς,Bracken
beck,row659,DMM4186,πολυπόδιον,Polypody
beck,row660,DMM4187,δρυπτερίς,Black oak fern
beck,row661,DMM4188,κνῆκος,Safflower
beck,row662,DMM4189,λινόζωστις,Mercury
beck,row663,DMM4190,ἡλιοτρόπιον τὸ μέγα,Large heliotrope
beck,row664,DMM4191,ἡλιοτρόπιον τὸ μικρόν,Small heliotrope
beck,row665,DMM4192,σκορπιοειδές,Scorpionwort
beck,row666,DMM5001,ἄμπελος οἰνοφόρος,Grapevine
beck,row667,DMM5002,ἄμπελος ἀγρία,Wild grapevine
beck,row668,DMM5003,σταφυλή,Grape
beck,row669,DMM5004,οἰνάνθη,Oinanthe
beck,row670,DMM5005,ὀμφάκιον,Omphacion
beck,row671,DMM5006,οἶνοι,Wines
beck,row672,DMM5007,μελιλίτης,Melitites
beck,row673,DMM5008,οἰνόμελι,Wine and honey mixture
beck,row674,DMM5009,μελίκρατον,Mixture of honey and water = Hydromel
beck,row675,DMM5010,ὕδωρ,Water
beck,row676,DMM5011,θαλάττιον ὕδωρ,Seawater
beck,row677,DMM5012,θαλασσόμελι,Seawater mixed with honey
beck,row678,DMM5013,ὄξος,Vinegar
beck,row679,DMM5014,ὀξύμελι,Oxymel
beck,row680,DMM5015,ὀξάλμη,Brine vinegar
beck,row681,DMM5016,θυμοξάλμη,Brine vinegar flavored with Cretan thyme
beck,row682,DMM5017,τὸ σκιλλητικὸν ὄξος,Vinegar flavored with squill
beck,row683,DMM5018,ὁ ἀπὸ τῆς σκίλλης οἶνος,Wine from squill
beck,row684,DMM5019,οἱ διὰ θαλάττης οἶνοι,Wines made with seawater
beck,row685,DMM5020,ὁ κυδωνίτης,Wine flavored with quinces
beck,row686,DMM5021,μηλόμελι,Honey flavored with quinces
beck,row687,DMM5022,ὑδρόμηλον,Water and honey flavored with quinces
beck,row688,DMM5023,ὀμφακόμελι,Unripe grapes and honey drink
beck,row689,DMM5024,ἀπίτης,Pear wine
beck,row690,DMM5025,οἰνάνθινος,Wine flavored with flowers of the wild grape
beck,row691,DMM5026,ῥοίτης,Pomegranate wine
beck,row692,DMM5027,ῥοδίτης,Wine flavored with roses
beck,row693,DMM5028,μυρτίτης,Myrtle wine
beck,row694,DMM5029,μυρσινίτης,Wine flavored with myrtles
beck,row695,DMM5306,σχίνινος,Mastic wine
beck,row696,DMM5031,φοινικίτης,Date palm wine
beck,row697,DMM5032,ὁ τροχίτης,Fig wine
beck,row698,DMM5033,ὁ ἐκ τῶν συκομόρων,Wine of sycamore figs
beck,row699,DMM5034,ὁ ῥητινίτης,Wine flavored with resin
beck,row700,DMM5035,6 στροβιλίτης,Wine flavored with strobilos pine cones
beck,row701,DMM5036,ὁ κέδρινος ἢ ἀρκεύθινος ἢ κυπαρίσσινος ἢ δάφνινος πιτύινος ἢ ἐλάτινος,Wine flavored with cedar or juniper or cypress or sweet bay or pitys pine or fir
beck,row702,DMM5037,κεδρίτης,Wine flavored with resin of Syrian cedar
beck,row703,DMM5038,οἶνος πισσίτης,Wine flavored with pitch
beck,row704,DMM5039,ἀψινθίτης,Wine flavored with wormwood artemisia absinthium
beck,row705,DMM5040,ὑσσωπίτης,Wine flavored with hyssop
beck,row706,DMM5041,ὁ χαμαιδρυίτης,Wine flavored with germander
beck,row707,DMM5042,ὁ > στοιχαδίτης,Wine flavored with French lavender
beck,row708,DMM5043,ὂξος διὰ στοιχάδος,French lavender vinegar
beck,row709,DMM5044,ἐκ κέστρου τοῦ ψυχροτρόφου οἶνος,Wine made from betony
beck,row710,DMM5045,τραγοριγανίτης,Wine flavored with goat’s marjoram
beck,row711,DMM5046,οἶνος διὰ βουνίου,Wine flavored with earthnuts
beck,row712,DMM5047,δικταμνίτης,Wine flavored with dittany of Crete
beck,row713,DMM5048,ὁ διὰ πρασίου,Wine flavored with horehound
beck,row714,DMM5049,θυμίτης,Wine flavored with Cretan thyme
beck,row715,DMM5050,θυμβρίτης,Wine flavored with savory
beck,row716,DMM5051,οἶνος ὀριγανίτης,Wine flavored with oregano
beck,row717,DMM5052,οἶνος καλαμινθίτης,wormwood artemisia abrotonon
beck,row718,DMM5053,οἶνος κονυζίτης,Wine flavored with fleabane
beck,row719,DMM5054,οἶνος ἀρωματίτης,Wine made with aromatics
beck,row720,DMM5055,οἶνος πρὸς κατάρρους,Wine for catarrhs
beck,row721,DMM5056,ὁ νεκταρίτης,Wine flavored with elecampane
beck,row722,DMM5057,ὁ διὰ Συριακῆς νάρδου καὶ Κελτικῆς καὶ μαλαβάθρου,and leaf of malabar
beck,row723,DMM5058,ἀσαρίτης,Wine flavored with hazelwort
beck,row724,DMM5059,ὁ διὰ τῆς ἀγρίας ἀγρίας,Wine flavored with Cretan spikenard
beck,row725,DMM5060,δαυκίτης,Wine flavored with daucos
beck,row726,DMM5061,ἐλελισφακίτης,Wine flavored with sage
beck,row727,DMM5062,πανακίτης,Wine flavored with allheal
beck,row728,DMM5063,ἀκορίτης καὶ ὁ ἀπὸ γλυκορρίζης,Wine flavored with yellow flag and wine flavored with licorice
beck,row729,DMM5064,σελινίτης,Wine flavored with celery
beck,row730,DMM5065,μαραθίτης καὶ ἀνήθινος καὶ πετροσελινίτης,and wine flavored parsley
beck,row731,DMM5066,δι' ἁλὸς ἄνθους οἶνος,Wine from salt-water froth
beck,row732,DMM5067,φθόριος ἐμβρύων οἶνος,Abortifacient wine
beck,row733,DMM5068,θυμελαίτης,Wine flavored with spurge flax
beck,row734,DMM5069,χαμελαίτης,Wine flavored with spurge olive
beck,row735,DMM5070,χαμαιπιτύινος,Wine flavored with ground pine
beck,row736,DMM5071,μανδραγορίτης,Wine flavored with mandrake
beck,row737,DMM5072,ἐλλεβορίτης,Wine flavored with hellebore
beck,row738,DMM5073,σκαμμωνίτης,Wine flavored with scammony
beck,row739,DMM5074,καδμεία,Calamine
beck,row740,DMM5075,πομφόλυξ,Pompholyx
beck,row741,DMM5076,κεκαυμένος χαλκός,Burned copper
beck,row742,DMM5077,χαλχοῦ ἄνθος,Flower of copper
beck,row743,DMM5078,λεπίς,Flake [of copper ore]
beck,row744,DMM5079,ἰὸς ξυστός,Verdigris
beck,row745,DMM5080,ἰὸς σιδίρου,Iron rust
beck,row746,DMM5081,πεπλυμένος μόλυβδος,Washed lead
beck,row747,DMM5082,σκωρία μολύβδου,Lead dross
beck,row748,DMM5083,ὁ μολυβδοειδὴς λίθος,Leadstone
beck,row749,DMM5084,στίβι,Antimony
beck,row750,DMM5085,μολύβδαινα,Galena
beck,row751,DMM5086,ἡ τοῦ ἀργρύρου σκωρία,Silver dross
beck,row752,DMM5087,λιθάργυρος,Litharge
beck,row753,DMM5088,ψιμύθιον,White lead
beck,row754,DMM5089,χρυσοκόλλα,Basic copper carbonate
beck,row755,DMM5090,Ἀρμένιον,Azurite
beck,row756,DMM5091,κύανος,Lapis lazuli
beck,row757,DMM5092,Ἰνδικόν,Indigo
beck,row758,DMM5093,ὦχρα,Yellow ocher
beck,row759,DMM5094,κιννάβαρι,Cinnabar
beck,row760,DMM5095,ὑδράργυρος,Mercury
beck,row761,DMM5096,μίλτος Σινωπική,Sinopic red earth
beck,row762,DMM5097,Λημνία γῆ,Lemnian earth
beck,row763,DMM5098,χαλκανθές,Vitriol
beck,row764,DMM5099,χαλκῖτις,Rock alum
beck,row765,DMM5100,μίσυ,Misy
beck,row766,DMM5101,μελαντηρία,Shoemaker’s black
beck,row767,DMM5102,σῶρι,Melanterite
beck,row768,DMM5103,διφρυγές,Pyrites
beck,row769,DMM5104,ἀρσενικόν,Yellow orpiment
beck,row770,DMM5105,σανδαράκη,Arsenic sulfide
beck,row771,DMM5106,στυπτηρία,Alum
beck,row772,DMM5107,θεῖον,Sulfur
beck,row773,DMM5108,κίσηρις,Pumice stone
beck,row774,DMM5109,ἅλς,Salt
beck,row775,DMM5110,ἁλὸς ἄχνη,Salt froth
beck,row776,DMM5111,ἅλμη,Brine
beck,row777,DMM5112,ἄνθος ἁλός,Salt efflorescenee/Salt scum
beck,row778,DMM5113,νίτρον,Soda
beck,row779,DMM5114,τρύξ,Wine lees
beck,row780,DMM5115,ἄσβεστος,Unslaked lime
beck,row781,DMM5116,γύψος,Gypsum
beck,row782,DMM5117,τέφρα κλημαντίνη,Ash of vine twigs
beck,row783,DMM5118,ἀλκυόνιον,Alcyonion
beck,row784,DMM5119,ἀδάρκης,Adarces
beck,row785,DMM5120,σπόγγοι,Sponges
beck,row786,DMM5121,τὸ κοράλιον,Coral
beck,row787,DMM5122,ἀντιπαθές,Antipathes
beck,row788,DMM5123,λίθος Φρύγιος,Phrygian stone
beck,row789,DMM5124,Ἄσσιος λίθος,Assian stone
beck,row790,DMM5125,πυρίτης λίθος,Copper pyrites
beck,row791,DMM5126,αἱματίτης λίθος,Hematite
beck,row792,DMM5127,σχιστὸς λίθος,Talc
beck,row793,DMM5128,Γαγάτης,Lignite
beck,row794,DMM5129,Θρακίας,Thracian stone
beck,row795,DMM5130,μαγνῆτις λίθος,Magnet
beck,row796,DMM5131,Ἀραβικὸς λίθος,Arabian stone
beck,row797,DMM5132,γαλακτίτης,Milkstone
beck,row798,DMM5133,μελιτίτης,Honeystone
beck,row799,DMM5134,λίθος μόροχθος,Pipe clay
beck,row800,DMM5135,λίθος ἀλαβαστρίτης,Alabaster
beck,row801,DMM5136,θυίτης,Thyites
beck,row802,DMM5137,Ἰουδαικὸς λίθος,Judaic stone
beck,row803,DMM5138,λίθος ἀμίαντος,Asbestos
beck,row804,DMM5139,λίθος σάπφειρος,Lapis lazuli
beck,row805,DMM5140,λίθος Μεμφίτης,~ Memphitic stone
beck,row806,DMM5141,λίθος σεληνίτης,Selenite
beck,row807,DMM5142,λίθος ἴασπις,Jasper
beck,row808,DMM5143,λίθος ὀφίτης,Serpentine
beck,row809,DMM5144,λίθοι οἱ ἐν τοῖς σπόγγοις,The stones in the sponges
beck,row810,DMM5145,λιθοκόλλα,Stone glue
beck,row811,DMM5146,λίθος ὀστρακίτης,Clay stone
beck,row812,DMM5147,σμύρις,Emery
beck,row813,DMM5148,ἄμμος,Sand
beck,row814,DMM5149,ἀκόνης Ναξίας ἀπότριμμα,Naxian whetstone powder
beck,row815,DMM5150,λίθος γεώδης,Earth-like stone
beck,row816,DMM5151,γῆ,Earth
beck,row817,DMM5152,Ἑρετριάδος γῆ,Eretrian earth
beck,row818,DMM5153,Σαμία γῆ,Samian earth
beck,row819,DMM5154,ἐν τῇ Σαμίᾳ γῇ λίθος,Stone found in Samian earth
beck,row820,DMM5155,Χία γῆ,Chian earth
beck,row821,DMM5156,Κιμωλία γῆ,Cimolian earth
beck,row822,DMM5157,πνιγῖτις γῆ,Pnigitis earth
beck,row823,DMM5158,ὄστρακα,Potsherds
beck,row824,DMM5159,Μηλία γῆ,Melian earth
beck,row825,DMM5160,ἀμπελῖτις γῆ,Ampelitis earth
beck,row826,DMM5161,ἀσβόλη,Soot
beck,row827,DMM5162,μέλαν,Black ink
