edition,edition_entry_id,dmm_id,greek_lemma,latin_lemma
beck,row110,DMM1110,ῥόα,Pomegranate
beck,row111,DMM1111,βαλαύστιον,Flower of the wild pomegranate
beck,row112,DMM1112,μυρσίνη ἡ ἥμερος,Cultivated myrtle
beck,row113,DMM1113,κεράσια,Fruit of the cherry tree
beck,row114,DMM1114,κεράτια,Fruit of the carob tree
beck,row115,DMM1115,μηλέα,Apple tree
beck,row116,DMM1116,ἄπιος,Pear
beck,row117,DMM1117,λωτός,Nettle tree
beck,row118,DMM1118,μέσπιλον,Medlar tree
beck,row119,DMM1119,κρανία,Cornelian cherry tree
beck,row120,DMM1120,οὖα,Sorb apples
beck,row121,DMM1121,κοκκυμηλέα,Plum tree
beck,row122,DMM1122,κόμαρος,Strawberry tree
beck,row123,DMM1123,ἀμυγδάλη,Almond
beck,row124,DMM1124,πιστάκια,Pistachio nuts
beck,row125,DMM1125,κάρυα βασιλικά,Walnuts
beck,row126,DMM1126,μορέα ἢ συκάμινον,Mulberry tree
beck,row127,DMM1127,συκόμορον,Sycamore fig
beck,row128,DMM1128,σῦκα,Figs
beck,row129,DMM1129,περσαία,Persea
beck,row130,DMM2001,ἐχῖνος θαλάσσιος,Sea urchin
beck,row131,DMM2002,ἐχῖνος χερσαῖος,Hedgehog
beck,row132,DMM2003,ἱππόκαμπος,Sea horse
beck,row133,DMM2004,πορφύρα,Murex
beck,row134,DMM2005,μύακες Ποντικοί,Pontic sea mussels
beck,row135,DMM2006,τελλῖναι,Tellina
beck,row136,DMM2007,πορφύρας πώματα,Opereula of murex
beck,row137,DMM2008,ὄνυξ,Onyx
beck,row138,DMM2009,κοχλίας χερσαῖος,Land snail
beck,row139,DMM2010,καρκίνων ποταμίων καέντων ἡ τέφρα,Ash of calcined riverine crabs.
beck,row140,DMM2011,σκόρπιος χερσαῖος,Land scorpion
beck,row141,DMM2012,θαλασσίου σκορπίου,Bile of sea scorpion
beck,row142,DMM2013,δράκων θαλάσσιος,Greater weever
beck,row143,DMM2014,σκολοπένδρα θαλασσία,Sea scolopendra
beck,row144,DMM2015,νάρκη θαλασσία,Electric ray
beck,row145,DMM2016,ἐχίδνη,Viper
beck,row146,DMM2017,ὄφις,Serpent
beck,row147,DMM2018,λαγωὸς θαλάσσιος,Sea hare
beck,row148,DMM2019,τοῦ δὲ χερσαίου λαγωοῦ ὁ ἐγκέφαλος,The brain of the land hare
beck,row149,DMM2020,τρυγόνος θαλασσίας τὸ κέντρον,Stingray sting
beck,row150,DMM2021,σηπίας τὸ μέλαν,Ink of boiled cuttlefish
beck,row151,DMM2022,τρίγλα,Red mullet
beck,row152,DMM2023,ὄρχις ἱπποποτάμου,Testicle of hippopotamus
beck,row153,DMM2024,καὶ ὁ τοῦ κάστορος ὄρχις,Testicle of beaver
beck,row154,DMM2025,γαλῆ κατοικίδιος,Domesticated weasel
beck,row155,DMM2026,βάτραχοι,Frogs
beck,row156,DMM2027,σίλουρος,Sheatfish
beck,row157,DMM2028,σμαρίδος ταριχηρᾶς ἡ κεφαλὴ καεῖσα,Head of salted smarts
beck,row158,DMM2029,καὶ ἡ τῆς μαινίδος κεφαλὴ,Head of Mainis
beck,row159,DMM2030,κωβίος,Goby
beck,row160,DMM2031,ὠμοτάριχος,Omotarichos
beck,row161,DMM2032,γάρος,Garum
beck,row162,DMM2033,ζωμὸς ἰχθύων,Fish broth
beck,row163,DMM2034,κόρεις οἱ ἀπὸ κλίνης,Bed-bugs
beck,row164,DMM2035,ὄνοι οἱ ὑπὸ τὰς ὑδρίας,Wood lice
beck,row165,DMM2036,σίλφη,Cockroach
beck,row166,DMM2037,πνεύμων θαλάσσιος,Jellyfish
beck,row167,DMM2038,ὁ δὲ χοίρειος καὶ ἄρνειος [καὶ ἅρκειος] πνεύμων,"Pig, lamb, [and bear] lung"
beck,row168,DMM2039,ἀλώπεκος πνεύμων,Lung of fox
beck,row169,DMM2040,ἧπαρ ὄνειον,Ass’s liver
beck,row170,DMM2041,αἰδοῖον ἄρρενος ἐλάφου,Genitalia of stag
beck,row171,DMM2042,ὄνυχες ὄνων,Asses’ hooves
beck,row172,DMM2043,λειχῆνες ἵππων,Chestnuts of horses
beck,row173,DMM2044,οἱ δὲ τῶν αἰγων ὄνύχες,Hooves of she-goats
