edition,edition_entry_id,matthiolo_book,matthiolo_chapter,matthiolo_greek,matthiolo_latin
matthiolo,row109,CIX,1.109,Κίστος,CISTUS
matthiolo,row110,CX,1.11,Λάδανον,LADANUM
matthiolo,row111,CXI,1.111,Ἔβενος,EBENUS
matthiolo,row112,CXII,1.112,Ῥόδον,ROSA
matthiolo,row113,CXIII,1.113,Ῥοδίδες,ROSEI PASTILLI
matthiolo,row114,CXIV,1.114,Λύκιον,LYCIUM
matthiolo,row115,CXV,1.115,Ἀκακία,ACACIA
matthiolo,row116,CXVI,1.116,Ἄγνος,VITEX
matthiolo,row117,CXVII,1.117,Ἰτέα,SALIX
matthiolo,row118,CXVIII,1.118,Ἀγριελαία,SYLVESTRIS OLEA
matthiolo,row119,CXIX,1.119,Δάκρυον αἰθιοπικῆς ἐλαίας,LACRYMA AETHIOPICAE OLEAE
matthiolo,row120,CXX,1.12,Ἀμόργη,AMURCA
matthiolo,row121,CXXI,1.121,Δρῦς,QUERCUS     Βάλανος
matthiolo,row122,CXXII,1.122,Κάστανα,CASTANEAE
matthiolo,row123,CXXIII,1.123,Κηκίς,GALLA
matthiolo,row124,CXXIV,1.124,Ῥοῦς,RHUS
matthiolo,row125,CXXV,1.125,Φοίνιξ,PALMA
matthiolo,row126,CXXVI,1.126,Φοίνιξ ἐλάτη,PALMA ELATE
matthiolo,row127,CXXVII,1.127,Ῥοιά,MALUM PUNICUM
matthiolo,row128,CXXVIII,1.128,Μυρσίνη,MYRTUS
matthiolo,row129,CXXIX,1.129,Κεράσια,CERASIA
matthiolo,row130,CXXX,1.13,Κεράτια,SILIQUAE
matthiolo,row131,CXXXI,1.131,Μῆλα,MALA
matthiolo,row132,CXXXII,1.132,Ἄπια,PYRA
matthiolo,row133,CXXXIII,1.133,,
matthiolo,row134,CXXXIV,1.134,Λωτὸς δένδρον,LOTUS ARBOR
matthiolo,row135,CXXXV,1.135,Κρανία,CORNUS
matthiolo,row136,CXXXVI,1.136,Οὖα,SORBA
matthiolo,row137,CXXXVII,1.137,Κοκκυμελέα,PRUNUS
matthiolo,row138,CXXXVIII,1.138,Κόμαρος,ARBUTUS
matthiolo,row139,CXXXIX,1.139,Ἀμυγδαλαί,AMYGDALAE
matthiolo,row140,CXL,1.14,Πιστάκια,PISTACIA
matthiolo,row141,CXLI,1.141,Κάρυον βασιλικὸν,NUX IUGLANS
matthiolo,row142,CXLII,1.142,Κάρυα ποντικὰ,NUCES AVELLANAE
matthiolo,row143,CXLIII,1.143,Μορέα,MORUS
matthiolo,row144,CXLIV,1.144,Συκόμορος,SYCOMORUS
matthiolo,row145,CXLV,1.145,Σῦκα,FICI
matthiolo,row146,CXLVI,1.146,Περσέα,PERSEA
matthiolo,row147,CXLVII,1.147,Ἰβερὶς,IBERIS
matthiolo,row148,I,2.1,Ἐχῖνος θαλάσσιος,ECHINUS MARINUS
matthiolo,row149,II,2.2,Ἐχῖνος χερσαῖος,ECHINUS TERRESTRIS
matthiolo,row150,III,2.3,Ἱππόκαμπος,HIPPOCAMPUS
matthiolo,row151,IV,2.4,"Πορφύρα, Κέρυκες, Κιόνια","PURPURA, BUCCINA, CIONIA"
matthiolo,row152,V,2.5,Μύακες,MITULI
matthiolo,row153,VI,2.6,Τελλῖναι,TELLINAE
matthiolo,row154,??,,,
matthiolo,row155,VII,2.7,,
matthiolo,row156,VIII,2.8,Ὄνυξ,UNGUIS ODORATUS
matthiolo,row157,IX,2.9,Κοχλίαι,COCHLEAE
matthiolo,row158,X,2.1,Καρκίνοι,CANCRI
matthiolo,row159,XI,2.11,Σκορπίος χερσαῖος,SCORPIO TERRESTRIS
matthiolo,row160,XII,2.12,Σκορπίος θαλάσσιος,SCORPIO MARINUS
matthiolo,row161,XIII,2.13,Δράκων θαλάσσιος,DRACO MARINUS
matthiolo,row162,XIV,2.14,Σκολόπενδρα,SCOLOPENDRA
matthiolo,row163,XV,2.15,Νάρκη,TORPEDO
matthiolo,row164,XVI,2.16,Ἔχιδνα,VIPERA
matthiolo,row165,XVII,2.17,Γῆρας ὄφεος,SENECTA ANGUIUM
matthiolo,row166,XVIII,2.18,Λαγωός θαλάσσιος καὶ χερσαῖος,LEPUS MARINUS ET TERRESTRIS
matthiolo,row167,XIX,2.19,Τρυγών θαλάσσιος,PASTINACA MARINA
matthiolo,row168,XX,2.2,Σηπία,SEPIA
matthiolo,row169,XXI,2.21,Τρίγλα,MULLUS PISCIS
matthiolo,row170,XXII,2.22,Ἱπποπόταμος,HIPPOPOTAMUS
matthiolo,row171,XXIII,2.23,Κάστωρ,FIBER
matthiolo,row172,XXIV,2.24,Γαλῆ κατοικίδιος,MUSTELA VULGARIS
matthiolo,row173,XXV,2.25,Βάτραχοι,RANAE
matthiolo,row174,XXVI,2.26,Αἴλουρος,SILURUS
matthiolo,row175,XXVII,2.27,Σμαρίδες,SMARIDES
matthiolo,row176,XXVIII,2.28,Μαινίδες,MAENAE
matthiolo,row177,XXIX,2.29,Κωβίος,GOBIUS
matthiolo,row178,XXX,2.3,Θύννος,THUNNUS
matthiolo,row179,XXXI,2.31,Γάῤῥον,GARUM
matthiolo,row180,XXXII,2.32,Ζομός ἰχθύων,IUS PISCIUM
matthiolo,row181,XXXIII,2.33,Κόρεις κλινικοί,CIMICES LECTULARII
matthiolo,row182,XXXIV,2.34,Ὄνοι_x0096_ MILLEPEDAE,
matthiolo,row183,XXXV,2.35,Σίλφη,BLATTA
matthiolo,row184,XXXVI,2.36,Πνεύμων θαλάσσιος,PULMO MARINUS
matthiolo,row185,XXXVII,2.37,Πνεύμονες,PULMONES
matthiolo,row186,XXXVIII,2.38,Ἥπατα,IOCINERA
matthiolo,row187,XXXIX,2.39,Αἰδοῖον ἐλάφου,GENITALE CERVI
matthiolo,row188,XL,2.4,Ὀνυχες ὄνου καὶ αἰγός,UNGULAE ASINI ET CAPRAE
matthiolo,row189,XLI,2.41,Λειχῆνες ἵππων,LICHENES EQUORUM
matthiolo,row190,XLII,2.42,Καττύματα,CORIA VETERAMENTARIA
matthiolo,row191,XLIII,2.43,Ἀλεκτορίδες καὶ ἀλεκτρυόνες,GALLINAE ET GALLI
matthiolo,row192,XLIV,2.44,Ὠόν,OVUM
matthiolo,row193,XLV,2.45,Τέττιγες,CICADAE
matthiolo,row194,XLVI,2.46,Ἀκρίδες,LOCUSTAE
matthiolo,row195,XLVII,2.47,Φίνις,OSSIFRAGUS
matthiolo,row196,XLVIII,2.48,Κορυδαλός,GALERITA
matthiolo,row197,XLIX,2.49,Χελιδών,HIRUNDO
matthiolo,row198,L,2.5,Ἐλέφας,EBUR
matthiolo,row199,LI,2.51,Ἀστράγαλος ὑός,SUILLUS TALUS
matthiolo,row200,LII,2.52,Ἐλάφαου κέρας,CERVINUM CORNU
matthiolo,row201,LIII,2.53,Κάμπαι,ERUCAE
matthiolo,row202,LIV,2.54,Κανθαρίδες,CANTHARIDES
matthiolo,row203,LV,2.55,Βουπρήστεις καὶ πιτυοκάμπαι BUPRESTES ET PINORUM ERUCAE,
matthiolo,row204,LVI,2.56,Σαλαμάνδρα,SALAMANDRA
matthiolo,row205,LVII,2.57,Ἀράχνη,ARANEUS
matthiolo,row206,LVIII,2.58,Σαῦρα,LACERTA
matthiolo,row207,LIX,2.59,Σήψ,SEPS
matthiolo,row208,LX,2.6,Σκίγκος,SCINCUS
matthiolo,row209,LXI,2.61,Γῆς ἔντερα,TERRENI VERMES
matthiolo,row210,LXII,2.62,Μυογάλη,MUS ARANEUS
matthiolo,row211,LXIII,2.63,Μῦες,MURES
matthiolo,row212,LXIV,2.64,Γάλα,LAC
matthiolo,row213,LXV,2.65,Τυρός,CASEUS
matthiolo,row214,LXVI,2.66,Βούτυρον καὶ αὐτοῦ λιγνύς,BUTYRUM ET EIUS FULIGO
matthiolo,row215,LXVII,2.67,Ἔρια καὶ οἴσυπος,LANAE ET OESYPUS
matthiolo,row216,LXVIII,2.68,Πιτύα,COAGULUM
matthiolo,row217,LXIX,2.69,Στέαρ,ADEPS
matthiolo,row218,LXX,2.7,Μυελός,MEDULLA
matthiolo,row219,LXXI,2.71,Χολή,FEL
matthiolo,row220,LXXII,2.72,Αἷμα,SANGUIS
matthiolo,row221,LXXIII,2.73,Ἀπόπατος,FIMUM
matthiolo,row222,LXXIV,2.74,Οὖρον,URINA
matthiolo,row223,LXXV,2.75,Μέλι,MEL
matthiolo,row224,LXXVI,2.76,Κηρός,CERA
matthiolo,row225,LXXVII,2.77,Πρόπολις,PROPOLIS
matthiolo,row226,LXXVIII,2.78,Πυρός,TRITICUM
matthiolo,row227,LXXIX,2.79,Κριθή,HORDEUM
matthiolo,row228,LXXX,2.8,Ζύθος,ZYTHUM
matthiolo,row229,LXXXI,2.81,Κοῦρμι,CURMI
matthiolo,row230,LXXXII,2.82,Ζειά,ZEA
matthiolo,row231,LXXXIII,2.83,Κρίμνον,CRIMNON
matthiolo,row232,LXXXIV,2.84,Ὄλυρα,OLYRA
matthiolo,row233,LXXXV,2.85,Ἀθήρα,ATHERA
matthiolo,row234,LXXXVI,2.86,Τράγος,TRAGOS
matthiolo,row235,LXXXVII,2.87,Βρῶμος,AVENA
matthiolo,row236,LXXXVIII,2.88,Ὄρυζα,ORYZA
matthiolo,row237,LXXXIX,2.89,Χόνδρος,HALICA
matthiolo,row238,XC,2.9,Κέγχρος,MILIUM
matthiolo,row239,XCI,2.91,Ἔλυμος,PANICUM
matthiolo,row240,XCII,2.92,Σήσαμον,SESAMUM
matthiolo,row241,XCIII,2.93,Αἶρα,LOLIUM
matthiolo,row242,XCIV,2.94,Ἄμυλον,AMYLUM
matthiolo,row243,XCV,2.95,Τῆλις,FOENUM GRAECUM
matthiolo,row244,XCVI,2.96,Λίνον,LINUM
matthiolo,row245,XCVII,2.97,Ἐρέβινθος,CICER
matthiolo,row246,XCVIII,2.98,Κύαμος,FABA
matthiolo,row247,XCIX,2.99,Κύαμος αἰγύπτιος,FABA AEGYPTIA
matthiolo,row248,C,2.1,Φακός,LENS
matthiolo,row249,CI,2.101,Φασίολοι,PHASIOLI
matthiolo,row250,CII,2.102,Ὄροβος,ERVUM
matthiolo,row251,CIII,2.103,Θέρμοι,LUPINI
matthiolo,row252,CIV,2.104,Γογγύλη,RAPUM
matthiolo,row253,CV,2.105,Βουνιάς,NAPUS
matthiolo,row254,CVI,2.106,Ῥαφανίς,RAPHANUS
matthiolo,row255,CVII,2.107,Σίσαρον,SISER
matthiolo,row256,CVIII,2.108,Λάπαθον,LAPATHUM SIVE RUMEX
matthiolo,row257,CIX,2.109,Λαμψάνη,LAMPSANA
matthiolo,row258,CX,2.11,Βλῆτον,BLITUM
matthiolo,row259,CXI,2.111,Μαλάχη,MALVA
matthiolo,row260,CXII,2.112,Ἀτράφαξις,ATRIPLEX
matthiolo,row261,CXIII,2.113,Κράμβη,BRASSICA
matthiolo,row262,CXIV,2.114,Κράμβη ἀγρία,BRASSICA SYLVESTRIS
matthiolo,row263,CXV,2.115,Κράμβη θαλασσία,BRASSICA MARINA
matthiolo,row264,CXVI,2.116,Τεῦτλον,BETA
matthiolo,row265,CXVII,2.117,Ἀνδράχνη,PORTULACA
matthiolo,row266,??,,,
matthiolo,row267,CXVIII,2.118,,
matthiolo,row268,CXIX,2.119,Ἀρνόγλωσσον,PLANTAGO
matthiolo,row269,CXX,2.12,Σίον,SIUM SEU LAVER
matthiolo,row270,CXXI,2.121,Σισύμβριον,SISYMBRIUM
matthiolo,row271,CXXII,2.122,Κρίθμον,CRITHMUM
matthiolo,row272,CXXIII,2.123,Κορωνόπους,CORONOPUS
matthiolo,row273,CXXIV,2.124,Σόγχος,SONCHUS
matthiolo,row274,CXXV,2.125,Σέρις,SERIS SIVE INTYBUS
matthiolo,row275,CXXVI,2.126,Χονδρίλλη,CHONDRILLA
matthiolo,row276,CXXVII,2.127,Κπλόκυνθα,CUCURBITA
matthiolo,row277,CXXVIII,2.128,Σίκυς ἥμερος,CUCUMER SATIVUS
matthiolo,row278,CXXIX,2.129,Θρίδαξ,LACTUCA
matthiolo,row279,CXXX,2.13,Θρίδαξ ἀγρία,LACTUCA SYLVESTRIS
matthiolo,row280,CXXXI,2.131,Γιγγίδιον,GINGIDIUM
matthiolo,row281,CXXXII,2.132,Σκάνδιξ,SCANDIX
matthiolo,row282,CXXXIII,2.133,Καυκαλίς,CAUCALIS
matthiolo,row283,CXXXIV,2.134,Εὔζωμον,ERUCA
matthiolo,row284,CXXXV,2.135,Ὤκιμον,OCIMUM
matthiolo,row285,CXXXVI,2.136,Ὀροβάκχη,OROBANCHE
matthiolo,row286,CXXXVII,2.137,Τραγοπώγων,BARBULA HIRCI
matthiolo,row287,CXXXVIII,2.138,Ὀρνιθόγαλον,ORNITHOGALUM
matthiolo,row288,CXXXIX,2.139,Ὕδνα_x0096_ TUBERA,
matthiolo,row289,CXL,2.14,Σμίλαξ κηπαῖα,SMILAX HORTENSIS
matthiolo,row290,CXLI,2.141,Μηδική,MEDICA
matthiolo,row291,CXLII,2.142,Ἀφάκη,APHACA
matthiolo,row292,CXLIII,2.143,Πράσον κεφαλωτόν,PORRUM CAPITATUM
matthiolo,row293,CXLIV,2.144,Ἀμπελόπρασον,AMPELOPRASUM
matthiolo,row294,CXLV,2.145,Κρόμμυον,CEPA
matthiolo,row295,CXLVI,2.146,Σκόροδον,ALLIUM
matthiolo,row296,CXLVII,2.147,Σκοροδόπρασον,SCORODOPRASUM
matthiolo,row297,CXLVIII,2.148,Σίνηπι,SINAPI
matthiolo,row298,CXLIX,2.149,Κάρδαμον,NASTURTIUM
matthiolo,row299,CL,2.15,Θλάσπι,THLASPI
matthiolo,row300,CLI,2.151,Ἀραβίς ἤ δράβη,ARABIS SIVE DRABA
matthiolo,row301,CLII,2.152,Ἐρύσιμον,IRIO
matthiolo,row302,CLIII,2.153,Πέπερι,PIPER
matthiolo,row303,CLIV,2.154,Ζιγγίβερ,GINGIBER
matthiolo,row304,CLV,2.155,Ὑδροπέπερι,HYDROPIPER
matthiolo,row305,CLVI,2.156,Πταρμική,PTARMICA
matthiolo,row306,CLVII,2.157,Στρούθιον,RADICULA SEU LANARIA HERBA
matthiolo,row307,CLVIII,2.158,Κυκλάμινος,CYCLAMINUS
matthiolo,row308,CLIX,2.159,Ἑτέρα κυκλάμινος,ALTERA CYCLAMINUS
matthiolo,row309,CLX,2.16,Δρακοντία μεγάλη,DRACUNCULUS MAIOR
matthiolo,row310,CLXI,2.161,Δρακοντία μικρά,DRACUNCULUS MINOR
matthiolo,row311,CLXII,2.162,Ἄρον,ARUM
matthiolo,row312,CLXIII,2.163,Ἀρίσαρον,ARISARUM
matthiolo,row313,CLXIV,2.164,Ἀσφόδελος,HASTULA REGIA
matthiolo,row314,CLXV,2.165,Βολβός ἐδώδιμος,BULBUS ESCULENTUS
matthiolo,row315,CLXVI,2.166,Βολβός ἐμετικός,BULBUS VOMITORIUS
matthiolo,row316,CLXVII,2.167,Σκίλλα,SCILLA
matthiolo,row317,CLXVIII,2.168,Παγκράτιον,PANCRATIUM
matthiolo,row318,CLXIX,2.169,Κάππαρις,CAPPARIS
matthiolo,row319,CLXX,2.17,Λεπίδιον,LEPIDIUM
matthiolo,row320,CLXXI,2.171,Βατράχιον,RANUNCULUS
matthiolo,row321,CLXXII,2.172,Ἀνεμώνη,ANEMONE
matthiolo,row322,CLXXIII,2.173,Ἀργεμώνη,ARGEMONE
matthiolo,row323,CLXXIV,2.174,Ἀναγαλλίς,ANAGALLIS
matthiolo,row324,CLXXV,2.175,Κισσός,HEDERA
matthiolo,row325,CLXXVI,2.176,Χελιδόνιον μέγα,CHELIDONIUM MAIUS
matthiolo,row326,CLXXVII,2.177,Χελιδόνιον μικρόν,CHELIDONIUM MINUS
matthiolo,row327,CLXXVIII,2.178,Ὀθόννα,OTHONNA
matthiolo,row328,CLXXIX,2.179,Μυός ὦτα,AURICULA MURIS
matthiolo,row329,CLXXX,2.18,Ἰσάτις,GLASTUM
matthiolo,row330,CLXXXI,2.181,Τηλέφιον,TELEPHIUM
matthiolo,row331,I,3.1,Ἀγαρικόν,AGARICUM
matthiolo,row332,II,3.2,"Ῥᾶ, ῥῆον",RHAPONTICUM
matthiolo,row333,III,3.3,Γεντιανή,GENTIANA
matthiolo,row334,IV,3.4,Ἀριστολοχία,ARISTOLOCHIA
matthiolo,row335,V,3.5,Γλυκύρριζα,DULCIS RADIX
matthiolo,row336,VI,3.6,Κενταύριον μέγα,CENTAURIUM MAGNUM
matthiolo,row337,VII,3.7,Κενταύριον μικρόν,CENTAURIUM MINUS
matthiolo,row338,VIII,3.8,Χαμαιλέων λευκός,CHAMAELEON ALBUS
matthiolo,row339,IX,3.9,Χαμαιλέων μέλας,CHAMAELEON NIGER
matthiolo,row340,X,3.1,Κροκοδείλιον,CROCODILIUM
matthiolo,row341,XI,3.11,Δίψακος,DIPSACUS SIVE LABRUM VENERIS
matthiolo,row342,XII,3.12,Ἄκανθα λευκή,SPINA ALBA
matthiolo,row343,XIII,3.13,Ἄκανθα ἀραβική,SPINA ARABICA
matthiolo,row344,XIV,3.14,Σκόλυμος,CARDUUS
matthiolo,row345,XV,3.15,Ποτήριον,POTERIUM
matthiolo,row346,XVI,3.16,Ἀκάνθιον,ACANTHIUM
matthiolo,row347,XVII,3.17,Ἄκανθος,ACANTHUS
matthiolo,row348,XVIII,3.18,Ἀνωνίς ἤ ὀνωνίς,ANONIS SIVE ONONIS
matthiolo,row349,XIX,3.19,Λευκάκανθα,LEUCACANTHA
matthiolo,row350,XX,3.2,Τραγάκανθα,TRAGACANTHA
matthiolo,row351,XXI,3.21,Ἠρύγγιον,ERYNGIUM
matthiolo,row352,XXII,3.22,Ἀλόη,ALOE
matthiolo,row353,XXIII,3.23,Ἀψίνθιον,ABSINTHIUM
matthiolo,row354,XXIV,3.24,Ἀψίνθιον θαλάσσιον,ABSINTHIUM MARINUM
matthiolo,row355,XXV,3.25,Ἀβρότονον,ABROTONUM
matthiolo,row356,XXVI,3.26,Ὕσσωπος,HYSSOPUM
matthiolo,row357,XXVII,3.27,Στοεχάς,STOECHAS
matthiolo,row358,XXVIII,3.28,Ὀρίγανος,ORIGANUM
matthiolo,row359,XXIX,3.29,Τραγορίγανος,TRAGORIGANUM
matthiolo,row360,XXX,3.3,Γλήχων,PULEGIUM
matthiolo,row361,XXXI,3.31,Δίκταμνος,DICTAMNUM
matthiolo,row362,XXXII,3.32,Ψευδοδίκταμνος,PSEUDODICTAMNUM
matthiolo,row363,XXXIII,3.33,Δίκταμνος ἕτερος,DICTAMNUM ALTERUM
matthiolo,row364,XXXIV,3.34,Ἐλελίσφακον,SALVIA
matthiolo,row365,XXXV,3.35,Ἡδύοσμος,MENTHA
matthiolo,row366,XXXVI,3.36,Καλαμίνθη,CALAMINTHA
matthiolo,row367,XXXVII,3.37,Θύμος,THYMUM
matthiolo,row368,XXXVIII,3.38,Θύμβρα,SATUREIA
matthiolo,row369,XXXIX,3.39,Ἕρπυλλος,SERPILLUM
matthiolo,row370,XL,3.4,Σάμψυχον,SAMPSUCHUM
matthiolo,row371,XLI,3.41,Μελίλωτος,"MELILOTUS, SIVE SERTULA CAMPANA"
matthiolo,row372,XLII,3.42,Μάρον,MARUM
matthiolo,row373,XLIII,3.43,Ἄκινος,ACINOS
matthiolo,row374,XLIV,3.44,Βάκχαρις,BACCHARIS
matthiolo,row375,XLV,3.45,Πήγανον,RUTA
matthiolo,row376,XLVI,3.46,Πήγανον ἄγριον,RUTA SYLVESTRIS
matthiolo,row377,XLVII,3.47,Μῶλη / Μῶλυ,MOLY
