edition,edition_entry_id,desmoulins_page,desmoulins_chapter,desmoulins_term
desmoulins,row105,115,Chap. CIIII,Du paliure.
desmoulins,row106,116,Chap. CV,De l'aubepin.
desmoulins,row107,120,Chap. CVI,De la ronce de chien.
desmoulins,row108,120,Chap. CVII,Du troesne.
desmoulins,row109,122,Chap. CVIII,De la phillyree.
desmoulins,row110,123,Chap. CIX,Du cyste.
desmoulins,row111,125,Chap. CX,"Du lede, et ladane."
desmoulins,row112,126,Chap. CXI,De l'ebene.
desmoulins,row113,129,Chap. CXII,De la rose.
desmoulins,row114,129,Chap. CXIII,Des trocisques des roses.
desmoulins,row115,131,Chap. CXIIII,Du lycium.
desmoulins,row116,134,Chap. CXV,De l'acacia.
desmoulins,row117,135,Chap. CXVI,De agnus castus.
desmoulins,row118,137,Chap. CXVII,Du saule.
desmoulins,row119,137,Chap. CXVIII,De l'olivier sauvage.
desmoulins,row120,138,Chap. CXIX.,De la larme de l'olivier ethiopic.
desmoulins,row121,138,Chap. CXX,De la lie des olives.
desmoulins,row122,139,Chap. CXXI,"Du chesne, du gland, du fau, de l'ieuse."
desmoulins,row123,142,Chap. CXXII,Des chastaignes.
desmoulins,row124,143,Chap. CXXIII,De la noix de galle.
desmoulins,row125,145,Chap. CXXIIII,Du sumac.
desmoulins,row126,147,Chap. CXXV,Du palmier.
desmoulins,row127,147,Chap. CXXVI,De l'escorce ou couverture des dattes en fleur.
desmoulins,row128,151,Chap. CXXVII,De la grenade.
desmoulins,row129,152,Chap. CXXVIII,Du meurte.
desmoulins,row130,154,Chap. CXXIX,Des cerises.
desmoulins,row131,156,Chap. CXXX,Des carrouges.
desmoulins,row132,157,Chap. CXXXI,Des pommes.
desmoulins,row133,163,Chap. CXXXII,Des poires.
desmoulins,row134,163,Chap. CXXXIII,Du nefflier.
desmoulins,row135,165,Chap. CXXXIIII,Du micocoulier.
desmoulins,row136,167,Chap. CXXXV,Du cornouiller.
desmoulins,row137,168,Chap. CXXXVI,Des cormes.
desmoulins,row138,169,Chap. CXXXVII,Du prunier.
desmoulins,row139,172,Chap. CXXXVIII,De l'arbousier.
desmoulins,row140,173,Chap. CXXXIX,Des amandes.
desmoulins,row141,174,Chap. CXL,Des pistaches.
desmoulins,row142,175,Chap. CXLI,De la noix.
desmoulins,row143,178,Chap. CXLII,Des noisettes.
desmoulins,row144,179,Chap. CXLIII,Du meurier.
desmoulins,row145,181,Chap. CXLIIII,Du sycomore.
desmoulins,row146,182,Chap. CXLV,Des figues.
desmoulins,row147,184,Chap. CXLVI,De persea.
desmoulins,row148,185,Chap. CXLVII,Du nasitort sauvage.
desmoulins,row149,187,Chap. I,De l'herisson de mer.
desmoulins,row150,188,Chap. II,De l'herisson de terre.
desmoulins,row151,189,Chap. III,Du cheval marin.
desmoulins,row152,190,Chap. IIII,"Des pourpres, cornets de mer, et de l'interieure partie nommee cionia."
desmoulins,row153,191,Chap. V,Des moules.
desmoulins,row154,192,Chap. VI,Des tellines.
desmoulins,row155,192,Chap. VII,Des chames.
desmoulins,row156,193,Chap. VIII,De l'ongle aromatic.
desmoulins,row157,195,Chap. IX,Des escargots ou limaçons.
desmoulins,row158,196,Chap. X,Des cancres.
desmoulins,row159,200,Chap. XI,Du scorpion de terre.
desmoulins,row160,201,Chap. XII,Du scorpion marin.
desmoulins,row161,202,Chap. XIII,Du dragon marin.
desmoulins,row162,203,Chap. XIIII,De la scolopendre de mer.
desmoulins,row163,204,Chap. XV,De la torpille.
desmoulins,row164,205,Chap. XVI,De la vipere.
desmoulins,row165,207,Chap. XVII,De la despouille des serpens.
desmoulins,row166,208,Chap. XVIII,Du lievre marin et terrestre.
desmoulins,row167,210,Chap. XIX,De la tareronde.
desmoulins,row168,210,Chap. XX,De la seche.
desmoulins,row169,211,Chap. XXI,Du surmulet ou barbarin.
desmoulins,row170,212,Chap. XXII,De l'hippopotame.
desmoulins,row171,213,Chap. XXIII,Du bieure.
desmoulins,row172,215,Chap. XXIIII,De la belette ou mustelle.
desmoulins,row173,216,Chap. XXV,Des grenouilles.
desmoulins,row174,217,Chap. XXVI,Du silure.
desmoulins,row175,217,Chap. XXVII,Des smarides.
desmoulins,row176,218,Chap. XXVIII,Des mendoles.
desmoulins,row177,218,Chap. XXIX,Du govion.
desmoulins,row178,220,Chap. XXX,Du thon.
desmoulins,row179,221,Chap. XXXI,Du garum.
