edition,edition_entry_id,laguna_scan_id,laguna_book,laguna_page,laguna_chapter,laguna_title
laguna,row94,81,Libro primero,69,Cap XCIII,De la carcoma de los Maderos
laguna,row95,82,Libro primero,70,Cap XCIIII,De la Cana
laguna,row96,83,Libro primero,71,Cap XCV,Del papyro
laguna,row97,83,Libro primero,71,Cap XCVI,Del Tamarisco
laguna,row98,84,Libro primero,72,Cap XCVII,De la Erica
laguna,row99,84,Libro primero,72,Cap XCVIII,Del Ramno
laguna,row100,85,Libro primero,73,Cap XCVIX,Del Acacalis
laguna,row101,85,Libro primero,73,Cap C,Del Halimo
laguna,row102,86,Libro primero,74,Cap CI,Del Paliuro
laguna,row103,87,Libro primero,75,Cap CII,De la Oxyacanta
laguna,row104,88,Libro primero,76,Cap CIII,De la Carça Perruna
laguna,row105,89,Libro primero,77,Cap CIIII,Del Ligustro
laguna,row106,89,Libro primero,77,Cap CV,De la Philyrea
laguna,row107,90,Libro primero,78,Cap CVI,Del Cisto
laguna,row108,91,Libro primero,79,Cap CVII,De la Hypocistide
laguna,row109,92,Libro primero,80,Cap CVIII,Del Ladano
laguna,row110,93,Libro primero,81,Cap CIX,Del Ebano
laguna,row111,95,Libro primero,83,Cap CX,De la Rosa
laguna,row112,96,Libro primero,84,Cap CXI,De las Pastillas de Rosas
laguna,row113,97,Libro primero,85,Cap CXII,Del Lycio
laguna,row114,98,Libro primero,86,Cap CXIII,De la Acacia
laguna,row115,100,Libro primero,88,Cap CXIIII,Del Agno
laguna,row116,101,Libro primero,89,Cap CXV,Del Sauz
laguna,row117,101,Libro primero,89,Cap CXVI,"Del Olivo faluage, y domestico"
laguna,row118,102,Libro primero,90,Cap CXVII,"De las Azeytunas faladas, y conseruadas en escaueche a adobo"
laguna,row119,103,Libro primero,91,Cap CXVIII,Del Azeyte de las Azeytunas saluages
laguna,row120,103,Libro primero,91,Cap CXIX,
laguna,row121,103,Libro primero,91,Cap CXX,
laguna,row122,103,Libro primero,91,Cap CXXI,"Del Roble, de la Bellota, de la Haya, y dela Enzina"
laguna,row123,105,Libro primero,93,Cap CXXII,Delas Castanas
laguna,row124,106,Libro primero,94,Cap CXXIII,Del Agalla
laguna,row125,107,Libro primero,95,Cap CXXIIII,Del Rhu
laguna,row126,108,Libro primero,96,Cap CXXV,De la palma
laguna,row127,108,Libro primero,96,Cap CXXVI,De la Palma Ilamada Elate
laguna,row128,109,Libro primero,97,Cap CXXVII,De la Granada
laguna,row129,111,Libro primero,99,Cap CXXVIII,"Del Arrayhan, y myrtidano"
laguna,row130,112,Libro primero,100,Cap CXXIX,De las Cerezas
laguna,row131,113,Libro primero,101,Cap CXXX,De las Algarrouas
laguna,row132,113,Libro primero,101,Cap CXXXI,De todo genero de Mançanos
laguna,row133,119,Libro primero,107,Cap CXXXII,De las Peras
laguna,row134,119,Libro primero,107,Cap CXXXIII,Del Mespero
laguna,row135,120,Libro primero,108,Cap CXXXIIII,Del Arbol Ilamado Loto
laguna,row136,121,Libro primero,109,Cap CXXXV,Del Corno
laguna,row137,122,Libro primero,110,Cap CXXXVII,Del Ciruelo
laguna,row138,123,Libro primero,111,Cap CXXXVIII,Del Madrono
laguna,row139,124,Libro primero,112,Cap CXXXIX,De las almendras
laguna,row140,125,Libro primero,113,Cap CXL,Del Alhocigo
laguna,row141,125,Libro primero,113,Cap CXLI,De las Nuezes
laguna,row142,127,Libro primero,115,Cap CXLII,De las Auellanas
laguna,row143,128,Libro primero,116,Cap CXLIII,Del Moral
laguna,row144,129,Libro primero,117,Cap CXLIIII,"De la higuera Egyptia, Ilamada Sycomoro en Grigo"
laguna,row145,130,Libro primero,118,Cap CXLV,"De los Higos, y de la leche de la higueras, y de la lexia de fu ceniza"
laguna,row146,133,Libro primero,121,Cap CXLVI,De la persea
laguna,row147,133,Libro primero,121,Cap CXLVII,De la Iberide
laguna,row148,135,Libro secundo,123,Cap I,Del Erizo marino
laguna,row149,135,Libro secundo,123,Cap II,Del Erizo terrestre
laguna,row150,136,Libro secundo,124,Cap III,Del Hippocampo
laguna,row151,137,Libro secundo,125,Cap IIII,"De la Purpura, y de la Bozina"
laguna,row152,138,Libro secundo,126,Cap V,De los Mitulos
laguna,row153,138,Libro secundo,126,Cap VI,De la Telinas
laguna,row154,138,Libro secundo,126,Cap VII,De las Camas
laguna,row155,139,Libro secundo,127,Cap VIII,De la Una Olorosa
laguna,row156,139,Libro secundo,127,Cap IX,De los Caracoles
laguna,row157,141,Libro secundo,129,Cap X,Del Cangrejo
laguna,row158,141,Libro secundo,129,Cap XI,Del Alacran Terrestre
laguna,row159,143,Libro secundo,131,Cap XII,Del Alacran Marino
laguna,row160,143,Libro secundo,131,Cap XIII,Del dragon Marino
laguna,row161,143,Libro secundo,131,Cap XIIII,De la Scolopendra
laguna,row162,144,Libro secundo,132,Cap XV,De la Torpedo
laguna,row163,144,Libro secundo,132,Cap XVI,De la Biuora
laguna,row164,146,Libro secundo,134,Cap XVII,Del despojo de las serpientes
laguna,row165,146,Libro secundo,134,Cap XVIII,"De la liebre marina, y de la terrestre"
laguna,row166,147,Libro secundo,135,Cap XIX,De la Pastinaca marina
laguna,row167,148,Libro secundo,136,Cap XX,De la Xibia
laguna,row168,148,Libro secundo,136,Cap XXI,Del pescado Ilamado Mulo
laguna,row169,149,Libro secundo,137,Cap XXII,Del Hippopotamo
laguna,row170,149,Libro secundo,137,Cap XXIII,Del castoreo
laguna,row171,150,Libro secundo,138,Cap XXIIII,De la Comadreja Casera
laguna,row172,151,Libro secundo,139,Cap XXV,De las ranas
laguna,row173,152,Libro secundo,140,Cap XXVI,Del pece Syluro
laguna,row174,153,Libro secundo,141,Cap XXVII,De las Menas
laguna,row175,153,Libro secundo,141,cap XXVIII,Del Gobio
laguna,row176,154,Libro secundo,142,Cap XXIX,Del Atun
laguna,row177,154,Libro secundo,142,cap XXX,Del Garo
laguna,row178,154,Libro secundo,142,Cap XXXI,Del Caldo de los peces
laguna,row179,155,Libro secundo,143,Cap XXXIIII,Del Animalejo Ilamado en Latin Milepeda
laguna,row180,156,Libro secundo,144,Cap XXXVII,De los Pulmones de Algunos Animales
laguna,row181,157,Libro secundo,145,Cap XXXVIII,De los higados de algunos animales
laguna,row182,157,Libro secundo,145,Cap XXXIX,Del Vergajo del Cieruo
laguna,row183,157,Libro secundo,145,Cap XL,"De las unas de los Asnos, y de las Cabras"
laguna,row184,158,Libro secundo,146,Cap XLI,"De los empeynes de los cavallos, en griego dichos Lichenes"
laguna,row185,159,Libro secundo,147,Cap XLII,De las suelas de los ça patos viejos
laguna,row186,159,Libro secundo,147,Cap XLIII,De los Gallos de las Gallinas
laguna,row187,160,Libro secundo,148,Cap XLIIII,De los Huevos
laguna,row188,162,Libro secundo,150,Cap XLV,De las Cigarras
laguna,row189,162,Libro secundo,150,Cap XLVI,De las langostas
laguna,row190,162,Libro secundo,150,Cap XLVII,Del paxaro Ilamado Ofsifrago
laguna,row191,163,Libro secundo,151,Cap XLVIII,De la Cugujada
laguna,row192,163,Libro secundo,151,Cap XLIX,De las Golondrinas
laguna,row193,164,Libro secundo,152,Cap L,Del Marfil
laguna,row194,165,Libro secundo,153,Cap LI,"Del Carnicol del puerco, Ilamado Astragalo"
laguna,row195,166,Libro secundo,154,Cap LII,Del Cuerno del Ciervo
laguna,row196,166,Libro secundo,154,Cap LIII,De las Orugas
laguna,row197,167,Libro secundo,155,Cap LIIII,"De las Cantharides, Buprestes, y Orugas de Pino"
laguna,row198,168,Libro secundo,156,Cap LV,De la Salamandra
laguna,row199,168,Libro secundo,156,Cap LVI,De la Arana
laguna,row200,169,Libro secundo,157,Cap LVII,De la Lagartija
laguna,row201,170,Libro secundo,158,Cap LVIII,De la sepa
laguna,row202,171,Libro secundo,159,Cap LIX,Del Scinco
laguna,row203,172,Libro secundo,160,Cap LX,De los gufanos de tierra
laguna,row204,172,Libro secundo,160,Cap LXI,Del Mufgano Ilamado mufarana por otro nombre
laguna,row205,173,Libro secundo,161,Cap LXII,De los ratones
laguna,row206,173,Libro secundo,161,Cap LXIII,De la leche
laguna,row207,174,Libro secundo,162,Cap LXIIII,Del Queso
laguna,row208,175,Libro secundo,163,Cap LXV,"de la Manteca, y de su hollin"
laguna,row209,177,Libro secundo,165,Cap LXVI,"De las Lanas, y de la graffa que tienen, Ilamada de los Griegos Oefypo"
laguna,row210,179,Libro secundo,167,Cap LXVII,Del Cuajo de algunos animales
laguna,row211,179,Libro secundo,167,Cap LXVIII,De la graffa
laguna,row212,183,Libro secundo,171,Cap LXIX,"De la medula, o tuetano de los hueffos"
laguna,row213,183,Libro secundo,171,Cap LXX,De la hiel de los animales
laguna,row214,184,Libro secundo,172,Cap LXXI,De la Sangre
laguna,row215,185,Libro secundo,173,Cap LXXII,Del estiercol
laguna,row216,186,Libro secundo,174,Cap LXXIII,De la Orina
laguna,row217,187,Libro secundo,175,Cap LXXIIII,De la Miel
laguna,row218,190,Libro secundo,178,Cap LXXV,De la Cera
laguna,row219,190,Libro secundo,178,Cap LXXVI,Del Betun de las colmenas Ilamado propolis
laguna,row220,192,Libro secundo,180,Cap LXXVII,Del Trigo
laguna,row221,193,Libro secundo,181,Cap LXXVIII,De la Ceuada
laguna,row222,194,Libro secundo,182,Cap LXXIX,"Del Zytho, y del Curmi"
laguna,row223,195,Libro secundo,183,Cap LXXX,De la Zea
laguna,row224,196,Libro secundo,184,Cap LXXXI,Del Crimno
laguna,row225,196,Libro secundo,184,Cap LXXXII,
laguna,row226,196,Libro secundo,184,Cap LXXXIII,
laguna,row227,196,Libro secundo,184,Cap LXXXIIII,
laguna,row228,196,Libro secundo,184,Cap LXXXV,De la Aven
laguna,row229,197,Libro secundo,185,Cap LXXXVI,Del Arroz
laguna,row230,197,Libro secundo,185,Cap LXXXVII,Del Condro
laguna,row231,198,Libro secundo,186,Cap LXXXVIII,Del Mijo
laguna,row232,198,Libro secundo,186,Cap LXXXIX,Del Panizo
laguna,row233,199,Libro secundo,187,Cap XC,Del Alegria
laguna,row234,199,Libro secundo,187,Cap XCI,De la Zizania
laguna,row235,200,Libro secundo,188,Cap XCII,"Del Almidon, o Amydon"
laguna,row236,200,Libro secundo,188,Cap XCIII,De las Alholuas
laguna,row237,201,Libro secundo,189,Cap XCIIII,Del Lino
laguna,row238,202,Libro secundo,190,Cap XCV,De los Garuanços
laguna,row239,203,Libro secundo,191,Cap XCVI,De las Huaus
laguna,row240,203,Libro secundo,191,Cap XCVII,De la haua de Egypto
laguna,row241,204,Libro secundo,192,Cap XCVIII,De las Lentejas
laguna,row242,205,Libro secundo,193,Cap XCIX,De los Phasiolos
laguna,row243,206,Libro secundo,194,Cap C,Del Yeruo
laguna,row244,207,Libro secundo,159,Cap CI,De los Altramuzes
laguna,row245,208,Libro secundo,196,Cap CII,"De los Nabos redondos y gressos, y de los nabos saluages"
laguna,row246,209,Libro secundo,197,Cap CIII,Del Rauano
laguna,row247,211,Libro secundo,199,Cap CV,Del Sifaro
laguna,row248,211,Libro secundo,199,Cap CVI,Del lapato
laguna,row249,213,Libro secundo,201,Cap CVII,De la lampsana
laguna,row250,213,Libro secundo,201,Cap CVIII,De los bledos
laguna,row251,213,Libro secundo,201,Cap CIX,De las Maluas
laguna,row252,215,Libro secundo,203,Cap CX,De los Armuelles
laguna,row253,215,Libro secundo,203,Cap CXI,De las Verças
laguna,row254,217,Libro secundo,205,Cap CXII,De las Acelgas
laguna,row255,218,Libro secundo,206,Cap CXIII,De las Verdolagas
laguna,row256,219,Libro secundo,207,Cap CXIIII,De los Esparragos
laguna,row257,220,Libro secundo,208,Cap CXV,Del Llanten
laguna,row258,222,Libro secundo,210,Cap CXVI,Del sio
laguna,row259,222,Libro secundo,210,Cap CXVII,Del sysimbrio
laguna,row260,224,Libro secundo,212,Cap CXVIII,Del Crithmo
laguna,row261,224,Libro secundo,212,Cap CXIX,Del Coronopode
laguna,row262,225,Libro secundo,213,Cap CXX,Del sonco
laguna,row263,226,Libro secundo,214,Cap CXXI,De la endivia
laguna,row264,228,Libro secundo,216,Cap CXXII,De la Condrila
laguna,row265,229,Libro secundo,217,Cap CXXIII,De la Calabaça
laguna,row266,229,Libro secundo,217,Cap CXXIIII,Del pepino domestico y de las Badeas
laguna,row267,232,Libro secundo,220,Cap CXXV,De la Lechuga
laguna,row268,234,Libro secundo,222,Cap CXXVI,Del Gingidio
laguna,row269,234,Libro secundo,222,Cap CXXVII,De la Scandice
laguna,row270,235,Libro secundo,223,Cap CXXVIII,De la Caucalide
laguna,row271,235,Libro secundo,223,Cap CXXIX,De la Oruga
laguna,row272,236,Libro secundo,224,Cap CXXX,Del Ocimo
laguna,row273,237,Libro secundo,225,Cap CXXXI,De la Orobanca
laguna,row274,238,Libro secundo,226,Cap CXXXII,De la Barba Cabruna
laguna,row275,238,Libro secundo,226,Cap CXXXIII,Del Ornithogalo
laguna,row276,239,Libro secundo,227,Cap CXXXIIII,De las Turmas de tierra
laguna,row277,239,Libro secundo,227,Cap CXXXV,De la Smilace hortense
laguna,row278,240,Libro secundo,228,Cap CXXXVI,De la medica
laguna,row279,241,Libro secundo,229,Cap CXXXVII,De la Aphaca
laguna,row280,241,Libro secundo,229,Cap CXXXVIII,Del puerro Cabeçudo
laguna,row281,242,Libro secundo,230,Cap CXXXIX,"Del puerro saluage, quelos Griegos Ilama ampeloprason"
laguna,row282,242,Libro secundo,230,Cap CXL,De la cebolla
laguna,row283,243,Libro secundo,231,Cap CXLI,Del Ajo
laguna,row284,245,Libro secundo,233,Cap CXLII,Del Scorodopraso
laguna,row285,245,Libro secundo,233,Cap CXLIII,De la Mostaza
laguna,row286,246,Libro secundo,234,Cap CXLIIII,Del Mastuerço
laguna,row287,247,Libro secundo,235,Cap CXLV,Del Thlaspi
laguna,row288,248,Libro secundo,236,Cap CXLVII,"Del Irion, o erysimo"
laguna,row289,249,Libro secundo,237,Cap CXLIII,De la pimienta
laguna,row290,250,Libro secundo,238,Cap CXLIX,Del gengibre
laguna,row291,251,Libro secundo,239,Cap CL,"De la pimienta aquatica, Ilamada hydropiper"
laguna,row292,251,Libro secundo,239,Cap CLI,De la ptarmica
laguna,row293,252,Libro secundo,240,Cap CLII,"De la Yerua Lanaria, en griego Ilamada Struthio"
laguna,row294,252,Libro secundo,240,Cap CLIII,Del Cyclamino
laguna,row295,253,Libro secundo,241,Cap CLIIII,Del Otro cyclamino
laguna,row296,254,Libro secundo,242,Cap CLV,De la Dragontea mayor
laguna,row297,255,Libro secundo,243,Cap CLVI,De la Dragontea menor
laguna,row298,255,Libro secundo,243,Cap CLVII,Del Aro
laguna,row299,256,Libro secundo,244,Cap CLVIII,Del Arisaro
laguna,row300,256,Libro secundo,244,Cap CLIX,Del Alphodelo
laguna,row301,258,Libro secundo,246,Cap CLX,Del bulbo bueno comer
laguna,row302,258,Libro secundo,246,Cap CLXI,Del bulbo vomitorio
laguna,row303,259,Libro secundo,247,Cap CLXII,De la scila o cebolla albarrana
laguna,row304,259,Libro secundo,247,Cap CLXIII,Del pancratio o scila menor
laguna,row305,260,Libro secundo,248,Cap CLXIIII,De las Alcaparras
laguna,row306,262,Libro secundo,250,Cap CLXV,Del lepidio
laguna,row307,262,Libro secundo,250,Cap CLXVI,Del Ranunculo
laguna,row308,264,Libro secundo,252,Cap CLVII,De la Anemone
laguna,row309,265,Libro secundo,253,Cap CLXVIII,De la Argemone
laguna,row310,265,Libro secundo,253,Cap CLXIX,De la Anagalide
laguna,row311,267,Libro secundo,255,Cap CLXX,De la yedra
laguna,row312,268,Libro secundo,256,Cap CLXXI,De la Celidonia mayor
laguna,row313,269,Libro secundo,257,Cap CLXXII,De la Celidonia menor
laguna,row314,269,Libro secundo,257,Cap CLXXIII,De la Othona
laguna,row315,270,Libro secundo,258,Cap CLXXIIII,"De la Oreja del raton, Ilamada Myos otis"
laguna,row316,271,Libro secundo,259,Cap CLXXV,Del glasto domestico
laguna,row317,271,Libro secundo,259,Cap CLXXVI,Del glasto saluage
laguna,row318,272,Libro secundo,260,Cap CLXXVII,Del telephio
laguna,row319,273,Libro tercero,261,Cap I,Del agarico
laguna,row320,274,Libro tercero,262,Cap II,Del Reopontico
laguna,row321,276,Libro tercero,264,Cap III,De la gentiana
laguna,row322,277,Libro tercero,265,Cap IIII,De la Aristoloquia
laguna,row323,278,Libro tercero,266,Cap V,De la Regaliza
laguna,row324,280,Libro tercero,268,Cap VI,De la Centaurea mayor
laguna,row325,280,Libro tercero,268,Cap VII,De la Centaurea menor
laguna,row326,281,Libro tercero,269,Cap VIII,Del camaleon blanco
laguna,row327,282,Libro tercero,270,Cap IX,Del camaleon negro
laguna,row328,283,Libro tercero,271,Cap X,Del crocodilio
laguna,row329,284,Libro tercero,272,Cap XI,Del dipsaco
laguna,row330,284,Libro tercero,272,Cap XII,De la espina blanca
laguna,row331,285,Libro tercero,273,Cap XIII,De la espina arabica
laguna,row332,285,Libro tercero,273,Cap XIIII,Del Cardo
laguna,row333,287,Libro tercero,275,Cap XV,Del Poterio
laguna,row334,287,Libro tercero,275,Cap XVI,Del Acanthio
laguna,row335,288,Libro tercero,276,Cap XVII,Del  Acantho
laguna,row336,288,Libro tercero,276,Cap XVIII,Del Acatho saluage
laguna,row337,288,Libro tercero,276,cap XIX,De la Ononide
laguna,row338,289,Libro tercero,277,Cap XX,De la Leucacanta o blanca espina
laguna,row339,290,Libro tercero,278,Cap XXI,De la tragacanta
laguna,row340,290,Libro tercero,278,Cap XXII,Del Eryngio
laguna,row341,291,Libro tercero,279,Cap XXIII,Del Aloe
laguna,row342,292,Libro tercero,280,Cap XXIIII,Del absinthio
laguna,row343,293,Libro tercero,281,Cap XXV,"Del Absinthio marino, Ilamada tambien seriphio"
laguna,row344,294,Libro tercero,282,Cap XXVI,Del Absinthio santonico
laguna,row345,294,Libro tercero,282,Cap XXVII,Del Abrotano
laguna,row346,295,Libro tercero,283,Cap XXVIII,Del Hyffopo
laguna,row347,296,Libro tercero,284,Cap XXIX,Del Cantuesso
laguna,row348,297,Libro tercero,285,Cap XXX,Del Oregano
laguna,row349,298,Libro tercero,286,Cap XXXI,"Del Oregano cabruno, Ilamado tragorigano e Griego"
laguna,row350,299,Libro tercero,287,Cap XXXII,Del Poleo
laguna,row351,299,Libro tercero,287,Cap XXXIII,Del dictamno
laguna,row352,300,Libro tercero,288,Cap XXXIIII,"Del dictamno salso, Ilamado speudodisctamno"
laguna,row353,300,Libro tercero,288,Cap XXXV,Del otro dictamno candioto
laguna,row354,301,Libro tercero,289,Cap XXXVI,De la Savia
laguna,row355,302,Libro tercero,290,Cap XXXVII,De la yerua buena
laguna,row356,302,Libro tercero,290,Cap XXXVIII,"Del Mastranto, Ilamado Mentrasto"
laguna,row357,303,Libro tercero,291,Cap XXXIX,De la Calaminta
laguna,row358,304,Libro tercero,292,Cap XL,Del Thymo
laguna,row359,305,Libro tercero,293,Cap XLI,"De la Thymbra, Ilamada  en espagnol Axedrea"
laguna,row360,306,Libro tercero,294,Cap XLII,Del Serpol
laguna,row361,307,Libro tercero,295,Cap XLIII,De la Maiorana
laguna,row362,307,Libro tercero,295,Cap XLIIII,Del Meliloto
laguna,row363,308,Libro tercero,296,Cap XLV,Del Maro
laguna,row364,308,Libro tercero,296,Cap XLVI,Del Acino
laguna,row365,309,Libro tercero,297,Cap XLVII,De la Bacara
laguna,row366,310,Libro tercero,298,Cap XLVIII,De la ruda
laguna,row367,311,Libro tercero,299,Cap XLIX,De la ruda saluage
laguna,row368,312,Libro tercero,300,Cap L,Del Moly
laguna,row369,312,Libro tercero,300,Cap LI,Del Panace Heraclio
laguna,row370,313,Libro tercero,301,Cap LII,Del Panace Asclepio
laguna,row371,313,Libro tercero,301,cap LIII,Del panace Chironio
laguna,row372,314,Libro tercero,302,Cap LIIII,Del Ligustico
laguna,row373,314,Libro tercero,302,Cap LV,De la Pastinaca
laguna,row374,316,Libro tercero,304,Cap LVI,Del Seseli massiliense
laguna,row375,316,Libro tercero,304,Cap LVII,Del seseli ethiopico
laguna,row376,317,Libro tercero,305,Cap LVIII,Del Seseli peloposense
laguna,row377,317,Libro tercero,305,Cap LIX,"Del seseli cretico, Ilamado tordylio"
laguna,row378,317,Libro tercero,305,Cap LX,Del sifon
laguna,row379,317,Libro tercero,305,Cap LXI,Del Anis
laguna,row380,318,Libro tercero,306,Cap LXII,Del Alcarouea
laguna,row381,319,Libro tercero,307,Cap LXIII,Del Eneldo
laguna,row382,319,Libro tercero,307,Cap LXIII,Del Comino hortense
laguna,row383,320,Libro tercero,308,Cap LXV,Del comino saluage
laguna,row384,321,Libro tercero,309,Cap LXVI,Del Ammi
laguna,row385,321,Libro tercero,309,Cap LXVII,Del Culantro
laguna,row386,322,Libro tercero,310,Cap LXVIII,Del Hieracio mayor
laguna,row387,322,Libro tercero,310,Cap LXIX,Del Hieracio menor
laguna,row388,323,Libro tercero,311,Cap LXX,Del Apio
laguna,row389,323,Libro tercero,311,Cap LXXI,Del Eleoselino
laguna,row390,323,Libro tercero,311,Cap LXXII,"Del apio montano, Ilamado Oreoselino"
laguna,row391,324,Libro tercero,312,Cap LXXIII,"Del apio que nace en las piedras, Ilamado petroselino"
laguna,row392,324,Libro tercero,312,Cap LXXIIII,"Del apio cavallar, Ilamado Hipposelino en Griego"
laguna,row393,325,Libro tercero,313,Cap LXXV,Del Smyrnio
laguna,row394,327,Libro tercero,315,Cap LXXVI,Del Elaphobosco
