edition_id,citation_ref,manifest_url,canvas_id,canvas_label,canvas_index,target_url,status,notes
barbaro,c100|p8v|i20,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0020.jpg,provisional,
barbaro,c101|p8v|i20,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0020.jpg,provisional,
barbaro,c102|p8v|i20,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0020.jpg,provisional,
barbaro,c103|p8v|i20,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0020.jpg,provisional,
barbaro,c104|p8v|i20,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0020.jpg,provisional,
barbaro,c105|p8v|i20,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0020.jpg,provisional,
barbaro,c106|p9r|i21,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0021.jpg,provisional,
barbaro,c107|p9r|i21,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0021.jpg,provisional,
barbaro,c108|p9r|i21,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0021.jpg,provisional,
barbaro,c109|p9r|i21,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0021.jpg,provisional,
barbaro,c10|p2r|i5,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0005.jpg,provisional,
barbaro,c110|p9r|i21,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0021.jpg,provisional,
barbaro,c111|p9r|i21,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0021.jpg,provisional,
barbaro,c112|p9v|i22,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0022.jpg,provisional,
barbaro,c113|p9v|i22,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0022.jpg,provisional,
barbaro,c114|p9v|i22,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0022.jpg,provisional,
barbaro,c115|p10r|i23,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0023.jpg,provisional,
barbaro,c116|p10r|i23,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0023.jpg,provisional,
barbaro,c117|p10r|i23,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0023.jpg,provisional,
barbaro,c118|p10v|i24,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0024.jpg,provisional,
barbaro,c119|p10v|i24,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0024.jpg,provisional,
barbaro,c11|p2r|i5,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0005.jpg,provisional,
barbaro,c120|p10v|i24,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0024.jpg,provisional,
barbaro,c121|p10v|i24,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0024.jpg,provisional,
barbaro,c122|p10v|i24,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0024.jpg,provisional,
barbaro,c123|p10v|i26,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0026.jpg,provisional,
barbaro,c124|p10v|i26,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0026.jpg,provisional,
barbaro,c125|p10v|i26,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0026.jpg,provisional,
barbaro,c126|p10v|i26,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0026.jpg,provisional,
barbaro,c127|p14r|i27,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0027.jpg,provisional,
barbaro,c128|p14r|i27,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0027.jpg,provisional,
barbaro,c129|p14r|i27,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0027.jpg,provisional,
barbaro,c12|p2v|i6,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0006.jpg,provisional,
barbaro,c130|p14r|i27,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0027.jpg,provisional,
barbaro,c131|p14r|i27,,,,,https://www.biusante.parisdescartes.fr/images/livres/00816x02/0027.jpg,provisional,
